method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
FLMM+S2,K30_union,N5K,1,94.0504,99.8707,96.8634,93.9419,97.7630,100.0000,0.0000,1.3243,64
FLMM+S2,K30_union,N5K,10,93.3758,83.0529,85.3523,77.6239,94.0046,71.9298,3.5088,3.7059,58
FLMM+S2,K30_union,N5K,2,98.3392,98.0096,98.1602,96.4131,99.4512,100.0000,0.0000,0.9179,61
FLMM+S2,K30_union,N5K,3,0.0000,0.0000,0.0000,0.0000,86.6064,0.0000,0.0000,0.0000,63
FLMM+S2,K30_union,N5K,4,72.9060,74.3095,73.5996,72.6247,97.6777,74.1935,0.0000,1.8944,63
FLMM+S2,K30_union,N5K,5,93.9321,97.9436,95.8491,92.2096,97.7492,100.0000,1.6667,2.3072,61
FLMM+S2,K30_union,N5K,6,95.2179,68.6390,78.3980,65.9860,92.8223,100.0000,3.1250,3.7296,65
FLMM+S2,K30_union,N5K,7,95.5915,99.6083,97.5284,95.2377,99.2289,100.0000,1.6949,1.9090,60
FLMM+S2,K30_union,N5K,8,97.3852,96.1812,96.6049,93.6611,98.8232,100.0000,0.0000,1.5686,63
FLMM+S2,K30_union,N5K,9,92.7980,96.5366,94.6243,92.5292,98.2409,96.7742,0.0000,2.4163,63
FLMM+S2,K30_union,VF,1,92.0624,99.9937,95.0587,92.0574,99.6323,92.9825,1.7544,2.4649,172
FLMM+S2,K30_union,VF,10,94.8568,99.7585,97.2334,94.6326,99.6648,100.0000,0.0000,1.2589,207
FLMM+S2,K30_union,VF,11,39.8810,73.0764,45.0010,31.6045,92.9300,12.5000,4.5000,7.2146,201
FLMM+S2,K30_union,VF,2,96.3997,99.7371,98.0327,96.1587,99.8543,100.0000,0.0000,0.7806,232
FLMM+S2,K30_union,VF,3,95.5963,98.4523,96.9905,95.4209,99.6715,98.6425,0.0000,1.4985,222
FLMM+S2,K30_union,VF,4,96.6250,99.9267,98.2434,96.5557,99.7921,100.0000,0.0000,0.9259,177
FLMM+S2,K30_union,VF,5,91.8506,99.9294,95.5678,91.7899,99.8299,99.0654,0.4673,1.7907,215
FLMM+S2,K30_union,VF,6,96.1735,99.8417,97.9313,96.0274,99.7859,99.0698,0.4651,1.1241,216
FLMM+S2,K30_union,VF,7,95.2456,99.8683,97.3473,95.1242,99.7037,98.6607,0.4464,1.5205,225
FLMM+S2,K30_union,VF,8,97.3668,99.8575,98.5799,97.2326,99.9181,100.0000,0.4717,0.7577,213
FLMM+S2,K30_union,VF,9,96.5314,98.9164,97.6095,96.3385,99.8435,98.2379,0.8811,1.6860,228
FLMM+S2,K30_union,MTF,1,94.3001,99.2552,96.4325,93.6116,99.8895,98.9899,2.0202,2.1587,199
FLMM+S2,K30_union,MTF,10,76.4537,71.0055,73.6254,70.8227,98.2561,75.8621,0.0000,3.8694,30
FLMM+S2,K30_union,MTF,11,0.1345,1.0475,0.2382,0.1193,89.1984,0.0000,0.0000,0.0455,30
FLMM+S2,K30_union,MTF,13,93.2740,90.2343,91.7089,90.1779,99.3144,93.1034,0.0000,5.0277,30
FLMM+S2,K30_union,MTF,14,95.2246,96.3221,95.7677,94.8894,99.5647,96.5517,0.0000,4.0295,30
FLMM+S2,K30_union,MTF,2,96.0973,99.9804,97.9644,96.0790,99.7334,100.0000,1.0050,1.0878,200
FLMM+S2,K30_union,MTF,3,96.0973,99.9804,97.9644,96.0790,99.7334,100.0000,1.0050,1.0878,200
FLMM+S2,K30_union,MTF,4,90.8201,87.6916,89.0728,85.5746,99.2318,90.9548,2.0101,2.3263,200
FLMM+S2,K30_union,MTF,5,96.2690,99.9200,98.0123,96.1943,99.7098,100.0000,1.0050,1.2676,200
FLMM+S2,K30_union,MTF,6,91.5091,93.8104,92.6025,91.3275,99.7558,93.9698,0.5025,1.4075,200
FLMM+S2,K30_union,MTF,7,88.6782,99.1248,93.3804,88.4137,99.6683,99.4975,0.0000,1.5089,200
FLMM+S2,K30_union,MTF,8,87.3257,94.2623,89.0824,85.6781,99.3525,82.9146,0.5025,1.5484,200
FLMM+S2,K30_union,MTF,9,99.8101,90.4146,94.8061,90.2648,99.5136,100.0000,0.0000,1.9150,30
