method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
FLMM+S2,base,N5K,1,73.9115,78.3594,75.6223,63.1551,82.7037,57.1429,7.9365,5.8615,64
FLMM+S2,base,N5K,10,69.0321,45.5584,53.8121,38.4426,81.9492,21.0526,3.5088,6.5114,58
FLMM+S2,base,N5K,2,65.7883,66.3831,65.7500,53.4619,90.4632,51.6667,8.3333,7.9137,61
FLMM+S2,base,N5K,3,0.0000,0.0000,0.0000,0.0000,86.6064,0.0000,0.0000,0.0000,63
FLMM+S2,base,N5K,4,39.7783,41.8570,40.6590,30.3232,92.6642,29.0323,4.8387,5.2874,63
FLMM+S2,base,N5K,5,64.1241,63.4952,63.5140,48.2521,80.5795,43.3333,6.6667,5.5376,61
FLMM+S2,base,N5K,6,64.9059,27.5102,37.8800,24.1794,82.6737,1.5625,3.1250,3.7549,65
FLMM+S2,base,N5K,7,62.6694,65.6797,63.8850,50.1436,89.2397,67.7966,5.0847,6.9973,60
FLMM+S2,base,N5K,8,69.5915,67.7340,68.1897,54.8877,89.4650,59.6774,8.0645,7.1558,63
FLMM+S2,base,N5K,9,63.3510,66.8451,64.7766,51.3306,85.0934,56.4516,4.8387,6.8682,63
FLMM+S2,base,VF,1,95.1417,99.9950,97.4567,95.1371,99.7480,100.0000,0.0000,0.9013,172
FLMM+S2,base,VF,10,94.6987,99.7801,97.1650,94.4957,99.6563,100.0000,0.0000,1.1202,207
FLMM+S2,base,VF,11,39.6556,73.0918,44.8894,31.4586,92.9045,12.0000,4.5000,7.2069,201
FLMM+S2,base,VF,2,97.2126,99.6686,98.4134,96.9004,99.8623,100.0000,0.0000,0.7967,232
FLMM+S2,base,VF,3,95.6718,98.4577,97.0414,95.5040,99.6724,98.6425,0.0000,1.1993,222
FLMM+S2,base,VF,4,96.7461,99.9214,98.3053,96.6719,99.7948,100.0000,0.0000,0.7594,177
FLMM+S2,base,VF,5,92.8406,99.9373,96.2444,92.7863,99.8715,100.0000,0.0000,0.8992,215
FLMM+S2,base,VF,6,95.5667,99.9333,97.6982,95.5070,99.7515,100.0000,0.0000,0.6295,216
FLMM+S2,base,VF,7,95.8594,99.8453,97.8070,95.7153,99.7329,100.0000,0.0000,0.9755,225
FLMM+S2,base,VF,8,97.2364,99.8943,98.5458,97.1379,99.9115,100.0000,0.0000,0.3718,213
FLMM+S2,base,VF,9,97.0548,98.8754,97.9369,96.8175,99.8522,99.1189,0.0000,0.7313,228
FLMM+S2,base,MTF,1,33.0302,34.1875,33.3043,23.1485,98.1527,9.5960,5.5556,8.9736,199
FLMM+S2,base,MTF,10,1.3473,0.8166,1.0045,0.5278,89.7488,0.0000,0.0000,0.8386,30
FLMM+S2,base,MTF,11,6.2144,48.6840,10.9948,5.9874,90.5884,0.0000,0.0000,2.9132,30
FLMM+S2,base,MTF,13,34.9186,32.9750,33.6004,21.8871,91.9377,0.0000,10.3448,11.4317,30
FLMM+S2,base,MTF,14,14.1702,14.4046,12.9705,8.7422,84.0782,0.0000,6.8966,10.8024,30
FLMM+S2,base,MTF,2,61.8841,63.3395,62.3448,46.9602,95.1440,27.1357,3.0151,7.9693,200
FLMM+S2,base,MTF,3,61.8841,63.3395,62.3448,46.9602,95.1440,27.1357,3.0151,7.9693,200
FLMM+S2,base,MTF,4,37.4683,35.3189,35.0157,22.8412,94.0671,0.0000,1.0050,3.6305,200
FLMM+S2,base,MTF,5,70.8207,71.5484,71.0111,56.4915,95.9462,53.2663,2.5126,7.0177,200
FLMM+S2,base,MTF,6,40.2459,39.9243,39.8740,28.4781,97.1395,14.0704,5.0251,8.6418,200
FLMM+S2,base,MTF,7,36.2320,39.7298,37.1822,25.6012,96.7644,6.0302,6.5327,9.1636,200
FLMM+S2,base,MTF,8,38.2474,37.8516,36.6996,24.6589,96.6970,2.0101,1.0050,6.8406,200
FLMM+S2,base,MTF,9,22.0374,20.1467,20.7121,14.8903,92.2859,3.4483,10.3448,11.1629,30
