method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
FLMM+S3,K30_accept_fresh,N5K,1,95.0429,97.0309,95.7026,92.2802,97.3627,100.0000,1.5873,1.7764,64
FLMM+S3,K30_accept_fresh,N5K,10,95.7795,65.4737,76.3963,63.2835,90.5308,57.8947,1.7544,3.4598,58
FLMM+S3,K30_accept_fresh,N5K,2,99.1409,96.2230,97.6526,95.4236,99.3387,100.0000,0.0000,0.7511,61
FLMM+S3,K30_accept_fresh,N5K,3,0.0000,0.0000,0.0000,0.0000,86.6064,0.0000,0.0000,0.0000,63
FLMM+S3,K30_accept_fresh,N5K,4,97.7707,99.3549,98.5526,97.1492,99.7712,100.0000,0.0000,0.5290,63
FLMM+S3,K30_accept_fresh,N5K,5,95.7490,95.6409,95.4503,91.6868,97.7306,98.3333,3.3333,2.8885,61
FLMM+S3,K30_accept_fresh,N5K,6,96.1670,67.2210,77.2336,65.2004,92.5626,81.2500,1.5625,2.6864,65
FLMM+S3,K30_accept_fresh,N5K,7,96.7062,99.2284,97.9376,95.9811,99.3840,100.0000,0.0000,1.4035,60
FLMM+S3,K30_accept_fresh,N5K,8,98.3964,92.9323,95.3854,91.4842,98.3841,100.0000,0.0000,1.0967,63
FLMM+S3,K30_accept_fresh,N5K,9,94.6986,99.8244,97.1869,94.5380,98.7822,100.0000,0.0000,1.0410,63
FLMM+S3,K30_accept_fresh,VF,1,82.6935,96.2560,87.4514,82.4005,99.4423,83.0409,2.9240,4.5854,172
FLMM+S3,K30_accept_fresh,VF,10,96.7552,98.6761,97.6517,95.4807,99.6707,100.0000,0.0000,1.5078,207
FLMM+S3,K30_accept_fresh,VF,11,37.9545,72.9655,44.1434,30.7505,92.6541,11.5000,4.5000,6.9920,201
FLMM+S3,K30_accept_fresh,VF,2,96.8793,99.5963,98.2100,96.5007,99.8531,100.0000,0.0000,0.8268,232
FLMM+S3,K30_accept_fresh,VF,3,70.0210,70.4942,70.2012,69.0085,98.9842,68.7783,2.7149,4.8248,222
FLMM+S3,K30_accept_fresh,VF,4,97.4096,99.7339,98.5527,97.1558,99.8245,100.0000,0.0000,0.9882,177
FLMM+S3,K30_accept_fresh,VF,5,92.4195,99.7775,95.8065,92.2368,99.8250,99.0654,0.4673,2.3799,215
FLMM+S3,K30_accept_fresh,VF,6,69.4959,72.1629,70.7984,69.4290,98.5172,71.6279,0.4651,1.3522,216
FLMM+S3,K30_accept_fresh,VF,7,92.3516,98.4938,94.8642,91.7345,99.5665,95.5357,0.4464,1.8243,225
FLMM+S3,K30_accept_fresh,VF,8,95.8423,98.2562,97.0159,95.5285,99.8818,98.5849,0.4717,1.2246,213
FLMM+S3,K30_accept_fresh,VF,9,97.0115,99.0088,97.9330,96.4898,99.8879,98.2379,1.3216,2.0152,228
