method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
FLMM+S3,K45,N5K,1,94.9796,99.8579,97.3546,94.8515,98.1271,100.0000,0.0000,0.7090,64
FLMM+S3,K45,N5K,10,95.7527,68.7172,79.5389,66.4712,91.7245,91.2281,1.7544,2.7809,58
FLMM+S3,K45,N5K,2,98.4095,97.1399,97.7648,95.6367,99.3561,100.0000,0.0000,0.5195,61
FLMM+S3,K45,N5K,3,0.0000,0.0000,0.0000,0.0000,86.6064,0.0000,0.0000,0.0000,63
FLMM+S3,K45,N5K,4,97.7707,99.3549,98.5526,97.1492,99.7712,100.0000,0.0000,0.5290,63
FLMM+S3,K45,N5K,5,96.1322,98.1025,97.0794,94.3717,98.4200,100.0000,0.0000,0.8950,61
FLMM+S3,K45,N5K,6,97.2441,58.0813,72.6464,57.1410,91.3408,96.8750,0.0000,1.1531,65
FLMM+S3,K45,N5K,7,96.7253,99.3802,98.0264,96.1482,99.4137,100.0000,0.0000,1.2733,60
FLMM+S3,K45,N5K,8,98.6862,91.6847,94.8581,90.5380,98.2127,100.0000,0.0000,1.0603,63
FLMM+S3,K45,N5K,9,94.6986,99.8244,97.1869,94.5380,98.7822,100.0000,0.0000,1.0410,63
FLMM+S3,K45,VF,1,82.9257,97.5626,88.0105,82.7074,99.4552,82.4561,2.9240,4.9197,172
FLMM+S3,K45,VF,10,92.3152,99.3456,95.6555,92.1650,99.5127,99.0291,0.9709,2.6113,207
FLMM+S3,K45,VF,11,40.0599,73.0033,45.1334,31.7288,92.9883,12.5000,4.5000,7.1771,201
FLMM+S3,K45,VF,2,97.0753,96.5094,96.0395,94.5633,99.8306,96.5368,0.4329,1.3432,232
FLMM+S3,K45,VF,3,97.1255,99.6487,98.3655,96.8071,99.7858,100.0000,0.4525,0.8794,222
FLMM+S3,K45,VF,4,96.8023,99.9100,98.3285,96.7167,99.7856,100.0000,0.0000,0.9341,177
FLMM+S3,K45,VF,5,91.8126,99.8910,95.6048,91.7148,99.8247,99.0654,0.4673,2.2877,215
FLMM+S3,K45,VF,6,95.5991,99.9191,97.7064,95.5253,99.7506,100.0000,0.0000,0.8470,216
FLMM+S3,K45,VF,7,94.9671,99.8961,97.3631,94.8712,99.6662,100.0000,0.0000,1.3071,225
FLMM+S3,K45,VF,8,96.6238,99.3440,97.9591,96.4430,99.8973,99.0566,0.4717,1.6117,213
FLMM+S3,K45,VF,9,97.5029,98.5282,98.0040,96.9249,99.9061,98.6784,0.8811,1.4084,228
