method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
FLMM+X2,K20,N5K,1,93.6461,99.9481,96.6908,93.6004,97.6737,100.0000,0.0000,0.7510,64
FLMM+X2,K20,N5K,10,96.9648,54.9709,69.9322,54.0229,88.7166,63.1579,0.0000,2.0891,58
FLMM+X2,K20,N5K,2,98.4285,96.5196,97.4513,95.0437,99.2623,100.0000,0.0000,0.5071,61
FLMM+X2,K20,N5K,3,0.0000,0.0000,0.0000,0.0000,86.6064,0.0000,0.0000,0.0000,63
FLMM+X2,K20,N5K,4,96.1209,99.4955,97.7711,95.6466,99.6488,100.0000,0.0000,0.6211,63
FLMM+X2,K20,N5K,5,94.7149,91.4795,92.6809,86.8571,96.3788,98.3333,0.0000,1.5243,61
FLMM+X2,K20,N5K,6,95.8663,63.6627,76.0187,61.8360,92.2135,100.0000,1.5625,2.3555,65
FLMM+X2,K20,N5K,7,96.0645,98.7331,97.3509,94.8645,99.2046,100.0000,0.0000,1.2310,60
FLMM+X2,K20,N5K,8,97.3827,92.0351,94.4251,89.7242,98.0706,100.0000,0.0000,0.7770,63
FLMM+X2,K20,N5K,9,94.7736,97.7509,96.2246,92.7709,98.4168,100.0000,0.0000,0.9953,63
FLMM+X2,K20,VF,1,65.3673,99.9351,75.4098,65.3513,98.1161,61.9883,3.5088,7.4479,172
FLMM+X2,K20,VF,10,94.8913,99.0413,96.8936,94.4494,99.6690,99.0291,0.4854,2.0842,207
FLMM+X2,K20,VF,11,33.6685,72.8371,40.7721,27.8650,91.2905,6.0000,3.5000,6.3414,201
FLMM+X2,K20,VF,2,92.7319,99.6247,95.5855,92.4111,99.6724,96.1039,0.4329,2.1106,232
FLMM+X2,K20,VF,3,93.1265,98.3547,94.8466,92.4827,99.4628,93.2127,2.2624,2.8240,222
FLMM+X2,K20,VF,4,97.8753,99.7016,98.7776,97.5877,99.8457,100.0000,0.0000,0.5657,177
FLMM+X2,K20,VF,5,65.6979,99.5936,73.4769,65.5682,98.6087,56.5421,4.6729,5.8449,215
FLMM+X2,K20,VF,6,94.7701,99.8244,97.2246,94.6199,99.6965,100.0000,0.0000,0.9322,216
FLMM+X2,K20,VF,7,97.6351,99.1664,98.3886,96.8321,99.7895,100.0000,0.0000,0.6587,225
FLMM+X2,K20,VF,8,96.8310,98.8490,97.8243,96.6304,99.9172,98.5849,0.4717,1.2334,213
FLMM+X2,K20,VF,9,97.1258,98.8857,97.9424,96.4732,99.8521,99.1189,0.4405,1.7195,228
FLMM+X2,K20,MTF,1,99.5938,98.5415,99.0629,98.1457,99.9733,100.0000,0.0000,0.3466,199
FLMM+X2,K20,MTF,10,99.3306,94.2253,96.7076,93.6329,99.6261,100.0000,0.0000,0.8480,30
FLMM+X2,K20,MTF,11,0.0676,0.5034,0.1190,0.0596,87.0269,0.0000,0.0000,0.0388,30
FLMM+X2,K20,MTF,13,99.9428,95.0223,97.3964,94.9692,99.6787,100.0000,0.0000,1.9713,30
FLMM+X2,K20,MTF,14,98.8179,99.5691,99.1906,98.4004,99.8602,100.0000,0.0000,0.7166,30
FLMM+X2,K20,MTF,2,97.6984,99.9962,98.8324,97.6947,99.8477,100.0000,0.0000,0.2052,200
FLMM+X2,K20,MTF,3,97.6984,99.9962,98.8324,97.6947,99.8477,100.0000,0.0000,0.2052,200
FLMM+X2,K20,MTF,4,99.9890,90.8786,94.8872,90.8773,99.5803,96.4824,0.5025,1.2306,200
FLMM+X2,K20,MTF,5,98.7803,99.9669,99.3682,98.7485,99.9094,100.0000,0.0000,0.1972,200
FLMM+X2,K20,MTF,6,98.8920,99.8846,99.3852,98.7794,99.9693,100.0000,0.0000,0.2301,200
FLMM+X2,K20,MTF,7,90.0375,99.7504,94.3976,89.8784,99.7120,100.0000,0.0000,0.9692,200
FLMM+X2,K20,MTF,8,98.2293,97.5848,97.8277,96.1828,99.8929,98.9950,1.0050,1.3854,200
FLMM+X2,K20,MTF,9,99.6789,91.1169,95.1211,90.8538,99.5413,100.0000,0.0000,2.1469,30
