method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
FLMM+X2,K30_accept_fresh,N5K,1,94.3349,96.0721,94.7847,90.7509,96.8406,100.0000,1.5873,1.7643,64
FLMM+X2,K30_accept_fresh,N5K,10,96.1380,55.1463,69.2592,53.8316,88.9369,45.6140,1.7544,3.3687,58
FLMM+X2,K30_accept_fresh,N5K,2,98.7658,96.2154,97.4602,95.0608,99.2664,100.0000,0.0000,0.5831,61
FLMM+X2,K30_accept_fresh,N5K,3,0.0000,0.0000,0.0000,0.0000,86.6064,0.0000,0.0000,0.0000,63
FLMM+X2,K30_accept_fresh,N5K,4,96.4202,99.3864,97.8718,95.8407,99.6632,100.0000,0.0000,0.6332,63
FLMM+X2,K30_accept_fresh,N5K,5,95.6598,82.6883,88.1892,79.5768,94.3866,98.3333,0.0000,2.8775,61
FLMM+X2,K30_accept_fresh,N5K,6,95.4786,51.7994,66.9228,50.6222,89.9293,57.8125,0.0000,1.8314,65
FLMM+X2,K30_accept_fresh,N5K,7,96.4728,97.8624,97.1230,94.4313,99.1243,100.0000,0.0000,1.2089,60
FLMM+X2,K30_accept_fresh,N5K,8,97.7063,92.7363,94.9263,90.6786,98.2512,100.0000,0.0000,0.7983,63
FLMM+X2,K30_accept_fresh,N5K,9,94.7736,97.7509,96.2246,92.7709,98.4168,100.0000,0.0000,0.9953,63
FLMM+X2,K30_accept_fresh,VF,1,94.5002,95.9863,94.8338,91.1679,99.4962,97.0760,2.9240,4.3065,172
FLMM+X2,K30_accept_fresh,VF,10,96.8187,98.4519,97.5741,95.3342,99.6731,100.0000,0.0000,1.4892,207
FLMM+X2,K30_accept_fresh,VF,11,35.0938,73.0681,41.6587,28.6958,91.7045,9.0000,3.5000,6.3737,201
FLMM+X2,K30_accept_fresh,VF,2,95.2745,99.6055,97.3660,94.9212,99.7703,100.0000,0.0000,1.3376,232
FLMM+X2,K30_accept_fresh,VF,3,94.9352,95.3866,94.9787,92.4681,99.6419,95.4751,2.7149,4.6914,222
FLMM+X2,K30_accept_fresh,VF,4,97.4743,99.6651,98.5523,97.1550,99.8294,100.0000,0.0000,0.8256,177
FLMM+X2,K30_accept_fresh,VF,5,82.7129,99.7251,87.8307,82.5547,99.3081,81.7757,4.2056,4.5792,215
FLMM+X2,K30_accept_fresh,VF,6,92.7780,99.3587,95.3785,92.6390,99.6167,96.7442,0.9302,1.9086,216
FLMM+X2,K30_accept_fresh,VF,7,94.8075,98.4731,96.3559,93.9812,99.6277,98.2143,1.3393,2.0092,225
FLMM+X2,K30_accept_fresh,VF,8,95.1882,98.3040,96.6455,94.9338,99.8874,97.6415,2.8302,2.8404,213
FLMM+X2,K30_accept_fresh,VF,9,91.0177,99.0854,93.8885,90.6234,99.6191,91.1894,2.2026,3.7207,228
FLMM+X2,K30_accept_fresh,MTF,1,98.2019,99.4526,98.8193,97.6701,99.9661,100.0000,0.0000,0.4526,199
FLMM+X2,K30_accept_fresh,MTF,10,99.3306,94.2253,96.7076,93.6329,99.6261,100.0000,0.0000,0.8480,30
FLMM+X2,K30_accept_fresh,MTF,11,0.0676,0.5034,0.1190,0.0596,87.0269,0.0000,0.0000,0.0388,30
FLMM+X2,K30_accept_fresh,MTF,13,98.7474,96.8596,97.7676,95.6895,99.7146,100.0000,0.0000,1.8745,30
FLMM+X2,K30_accept_fresh,MTF,14,98.9023,99.6016,99.2501,98.5148,99.8658,100.0000,0.0000,0.5326,30
FLMM+X2,K30_accept_fresh,MTF,2,96.9991,99.9990,98.4746,96.9982,99.8029,100.0000,0.0000,0.2373,200
FLMM+X2,K30_accept_fresh,MTF,3,96.9991,99.9990,98.4746,96.9982,99.8029,100.0000,0.0000,0.2373,200
FLMM+X2,K30_accept_fresh,MTF,4,99.5440,70.4840,80.1658,70.2773,98.4592,70.3518,1.5075,3.9068,200
FLMM+X2,K30_accept_fresh,MTF,5,98.4760,99.9713,99.2162,98.4487,99.8880,100.0000,0.0000,0.2138,200
FLMM+X2,K30_accept_fresh,MTF,6,98.6954,99.8998,99.2932,98.5979,99.9648,100.0000,0.0000,0.2624,200
FLMM+X2,K30_accept_fresh,MTF,7,89.8067,99.9964,94.3583,89.8037,99.7089,100.0000,0.0000,0.9479,200
FLMM+X2,K30_accept_fresh,MTF,8,90.9098,90.6595,90.1510,84.7059,99.5021,90.4523,0.5025,2.0449,200
FLMM+X2,K30_accept_fresh,MTF,9,99.6711,90.9843,95.0508,90.7164,99.5357,100.0000,0.0000,1.9902,30
