method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
FLMM+X2,K30_union,N5K,1,93.5444,99.9553,96.6403,93.5053,97.6288,100.0000,0.0000,0.7589,64
FLMM+X2,K30_union,N5K,10,95.8366,69.3125,79.6776,67.2220,91.7906,85.9649,1.7544,2.0633,58
FLMM+X2,K30_union,N5K,2,98.4709,96.9239,97.6817,95.4775,99.3277,100.0000,0.0000,0.4598,61
FLMM+X2,K30_union,N5K,3,0.0000,0.0000,0.0000,0.0000,86.6064,0.0000,0.0000,0.0000,63
FLMM+X2,K30_union,N5K,4,96.4202,99.3864,97.8718,95.8407,99.6632,100.0000,0.0000,0.6332,63
FLMM+X2,K30_union,N5K,5,94.5178,94.2623,94.2687,89.2717,96.9532,100.0000,0.0000,1.1446,61
FLMM+X2,K30_union,N5K,6,95.6444,59.3146,72.8316,57.6777,91.4362,85.9375,0.0000,1.6969,65
FLMM+X2,K30_union,N5K,7,95.8742,98.8171,97.2944,94.7561,99.1861,100.0000,0.0000,1.2191,60
FLMM+X2,K30_union,N5K,8,97.2306,93.0968,94.8624,90.5716,98.2282,100.0000,0.0000,0.8568,63
FLMM+X2,K30_union,N5K,9,94.7736,97.7509,96.2246,92.7709,98.4168,100.0000,0.0000,0.9953,63
FLMM+X2,K30_union,VF,1,49.1304,99.9845,61.8471,49.1290,96.2269,47.3684,2.9240,5.9753,172
FLMM+X2,K30_union,VF,10,94.8963,99.5670,97.1302,94.4954,99.6158,100.0000,0.0000,1.5663,207
FLMM+X2,K30_union,VF,11,34.3918,73.3468,41.2493,28.3134,91.5238,9.0000,3.5000,6.2446,201
FLMM+X2,K30_union,VF,2,93.8625,99.6896,96.6051,93.5903,99.6991,100.0000,0.0000,1.7796,232
FLMM+X2,K30_union,VF,3,95.2337,98.7152,96.8808,94.6971,99.7239,98.1900,1.8100,2.3122,222
FLMM+X2,K30_union,VF,4,96.8991,99.8525,98.3483,96.7594,99.7985,100.0000,0.0000,0.9052,177
FLMM+X2,K30_union,VF,5,82.4675,99.8923,87.9190,82.3943,99.3385,82.2430,4.2056,4.5020,215
FLMM+X2,K30_union,VF,6,92.8760,99.8275,95.7894,92.7525,99.6308,96.7442,0.4651,1.6281,216
FLMM+X2,K30_union,VF,7,94.5967,99.4238,96.6141,94.0918,99.6224,98.2143,0.8929,1.7328,225
FLMM+X2,K30_union,VF,8,95.2442,98.9129,96.9779,95.1099,99.8868,98.5849,0.9434,2.0830,213
FLMM+X2,K30_union,VF,9,90.5644,99.5896,93.8090,90.2346,99.5873,91.6300,2.2026,3.2586,228
FLMM+X2,K30_union,MTF,1,98.0348,99.6490,98.8321,97.6947,99.9666,100.0000,0.0000,0.4304,199
FLMM+X2,K30_union,MTF,10,99.3306,94.2253,96.7076,93.6329,99.6261,100.0000,0.0000,0.8480,30
FLMM+X2,K30_union,MTF,11,0.0676,0.5034,0.1190,0.0596,87.0269,0.0000,0.0000,0.0388,30
FLMM+X2,K30_union,MTF,13,98.7474,96.8596,97.7676,95.6895,99.7146,100.0000,0.0000,1.8745,30
FLMM+X2,K30_union,MTF,14,98.9023,99.6016,99.2501,98.5148,99.8658,100.0000,0.0000,0.5326,30
FLMM+X2,K30_union,MTF,2,96.8971,99.9994,98.4221,96.8966,99.7966,100.0000,0.0000,0.2439,200
FLMM+X2,K30_union,MTF,3,96.8971,99.9994,98.4221,96.8966,99.7966,100.0000,0.0000,0.2439,200
FLMM+X2,K30_union,MTF,4,99.5440,70.4840,80.1658,70.2773,98.4592,70.3518,1.5075,3.9068,200
FLMM+X2,K30_union,MTF,5,98.2418,99.9876,99.1054,98.2303,99.8727,100.0000,0.0000,0.2108,200
FLMM+X2,K30_union,MTF,6,98.6954,99.8998,99.2932,98.5979,99.9648,100.0000,0.0000,0.2624,200
FLMM+X2,K30_union,MTF,7,89.8067,99.9964,94.3583,89.8037,99.7089,100.0000,0.0000,0.9479,200
FLMM+X2,K30_union,MTF,8,90.9098,90.6595,90.1510,84.7059,99.5021,90.4523,0.5025,2.0449,200
FLMM+X2,K30_union,MTF,9,99.6711,90.9843,95.0508,90.7164,99.5357,100.0000,0.0000,1.9902,30
