method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
FLMM+X2,base,N5K,1,93.5511,99.9320,96.6323,93.4919,97.6412,100.0000,0.0000,0.8175,64
FLMM+X2,base,N5K,10,95.7860,55.3105,70.0263,53.9694,88.7109,75.4386,0.0000,1.4626,58
FLMM+X2,base,N5K,2,98.3031,96.6045,97.4329,95.0066,99.2595,100.0000,0.0000,0.5298,61
FLMM+X2,base,N5K,3,0.0000,0.0000,0.0000,0.0000,86.6064,0.0000,0.0000,0.0000,63
FLMM+X2,base,N5K,4,0.0000,0.0000,0.0000,0.0000,92.3182,0.0000,0.0000,0.0000,63
FLMM+X2,base,N5K,5,94.5721,92.0169,93.1475,87.3151,96.3858,100.0000,0.0000,1.4517,61
FLMM+X2,base,N5K,6,96.2752,53.7740,68.8541,52.6835,90.4347,70.3125,0.0000,1.6457,65
FLMM+X2,base,N5K,7,96.0788,98.6661,97.3301,94.8237,99.1946,100.0000,0.0000,1.2334,60
FLMM+X2,base,N5K,8,97.5256,90.0771,93.4396,87.9935,97.7485,100.0000,0.0000,1.0760,63
FLMM+X2,base,N5K,9,0.0000,0.0000,0.0000,0.0000,78.2524,0.0000,0.0000,0.0000,63
FLMM+X2,base,VF,1,49.5055,99.9948,62.1387,49.5048,96.2781,46.1988,2.3392,5.6338,172
FLMM+X2,base,VF,10,95.1203,99.6507,97.3239,94.7989,99.6662,100.0000,0.0000,1.1289,207
FLMM+X2,base,VF,11,34.8347,73.3192,41.5193,28.5711,91.6027,10.0000,3.5000,6.3896,201
FLMM+X2,base,VF,2,94.2902,99.6281,96.8101,93.9627,99.7114,100.0000,0.0000,1.7995,232
FLMM+X2,base,VF,3,96.9755,98.9169,97.8429,96.0289,99.7688,99.0950,0.9050,1.5608,222
FLMM+X2,base,VF,4,97.4996,99.7824,98.6250,97.2913,99.8279,100.0000,0.0000,0.6698,177
FLMM+X2,base,VF,5,94.0990,99.8188,96.8685,93.9367,99.8828,100.0000,0.0000,0.7416,215
FLMM+X2,base,VF,6,94.3766,99.8522,97.0311,94.2533,99.6713,100.0000,0.0000,0.9438,216
FLMM+X2,base,VF,7,97.2017,99.3924,98.2795,96.6213,99.7684,100.0000,0.0000,0.7498,225
FLMM+X2,base,VF,8,96.2340,98.8773,97.5333,96.0672,99.9001,98.5849,0.9434,1.2742,213
FLMM+X2,base,VF,9,92.1874,99.4343,94.8365,91.6989,99.6517,94.2731,1.3216,2.6286,228
FLMM+X2,base,MTF,1,99.5227,98.6526,99.0835,98.1862,99.9732,100.0000,0.0000,0.3634,199
FLMM+X2,base,MTF,10,0.0000,0.0000,0.0000,0.0000,93.9587,0.0000,0.0000,0.0000,30
FLMM+X2,base,MTF,11,0.0000,0.0000,0.0000,0.0000,98.5308,0.0000,0.0000,0.0000,30
FLMM+X2,base,MTF,13,0.0000,0.0000,0.0000,0.0000,93.5005,0.0000,0.0000,0.0000,30
FLMM+X2,base,MTF,14,98.9187,99.5337,99.2243,98.4650,99.8621,100.0000,0.0000,0.6296,30
FLMM+X2,base,MTF,2,97.6254,99.9967,98.7952,97.6222,99.8435,100.0000,0.0000,0.2107,200
FLMM+X2,base,MTF,3,97.6254,99.9967,98.7952,97.6222,99.8435,100.0000,0.0000,0.2107,200
FLMM+X2,base,MTF,4,0.0000,0.0000,0.0000,0.0000,94.9688,0.0000,0.0000,0.0000,200
FLMM+X2,base,MTF,5,98.4627,99.9658,99.2068,98.4301,99.8869,100.0000,0.0000,0.1882,200
FLMM+X2,base,MTF,6,0.0000,0.0000,0.0000,0.0000,97.5350,0.0000,0.0000,0.0000,200
FLMM+X2,base,MTF,7,89.9675,99.7542,94.3603,89.8107,99.7104,100.0000,0.0000,0.9616,200
FLMM+X2,base,MTF,8,0.0000,0.0000,0.0000,0.0000,97.2329,0.0000,0.0000,0.0000,200
FLMM+X2,base,MTF,9,99.6760,91.2300,95.1827,90.9700,99.5483,100.0000,0.0000,2.0713,30
