method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
FoodMem,K30_accept_fresh,N5K,1,93.4440,99.9791,96.5974,93.4257,97.5851,100.0000,0.0000,0.7511,64
FoodMem,K30_accept_fresh,N5K,10,93.3195,98.4703,95.8066,91.9642,97.9393,100.0000,0.0000,1.3107,58
FoodMem,K30_accept_fresh,N5K,2,95.9221,99.0052,97.4265,94.9866,99.2504,100.0000,0.0000,0.5328,61
FoodMem,K30_accept_fresh,N5K,3,94.6064,98.8659,96.6810,93.5791,99.0935,100.0000,0.0000,0.6001,63
FoodMem,K30_accept_fresh,N5K,4,97.2860,99.0619,98.1620,96.3942,99.7134,100.0000,0.0000,0.4893,63
FoodMem,K30_accept_fresh,N5K,5,94.4700,98.2937,96.3297,92.9277,98.0125,100.0000,0.0000,0.9190,61
FoodMem,K30_accept_fresh,N5K,6,92.9925,99.5559,96.1522,92.6018,98.4266,100.0000,0.0000,1.0975,65
FoodMem,K30_accept_fresh,N5K,7,93.5704,99.9325,96.6361,93.5107,98.9748,100.0000,0.0000,1.2513,60
FoodMem,K30_accept_fresh,N5K,8,97.6939,97.8393,97.7413,95.5934,99.2163,100.0000,0.0000,0.7323,63
FoodMem,K30_accept_fresh,N5K,9,96.7610,97.9324,97.3249,94.8269,98.9079,100.0000,0.0000,1.0630,63
FoodMem,K30_accept_fresh,VF,1,99.6958,97.8923,98.7783,97.5963,99.9322,100.0000,0.0000,0.4594,172
FoodMem,K30_accept_fresh,VF,10,95.5658,99.4730,97.4645,95.0802,99.6616,100.0000,0.0000,1.2278,207
FoodMem,K30_accept_fresh,VF,11,41.0914,72.6672,45.6677,32.4431,93.1777,13.5000,5.5000,7.3905,201
FoodMem,K30_accept_fresh,VF,2,95.3571,96.5863,95.9198,92.2394,99.6682,100.0000,0.0000,1.4724,232
FoodMem,K30_accept_fresh,VF,3,96.3063,99.0502,97.5492,95.5439,99.7103,98.1900,0.9050,1.7684,222
FoodMem,K30_accept_fresh,VF,4,97.1026,99.6777,98.3705,96.7991,99.8047,100.0000,0.0000,0.7851,177
FoodMem,K30_accept_fresh,VF,5,98.1514,98.3716,98.2544,96.5751,99.9400,100.0000,0.0000,0.6558,215
FoodMem,K30_accept_fresh,VF,6,98.3293,98.9854,98.6484,97.3571,99.8667,100.0000,0.0000,0.8710,216
FoodMem,K30_accept_fresh,VF,7,96.4152,99.5484,97.9513,95.9908,99.7188,100.0000,0.0000,0.9299,225
FoodMem,K30_accept_fresh,VF,8,94.4007,98.6921,96.1964,94.0514,99.6263,97.1698,1.4151,2.7889,213
FoodMem,K30_accept_fresh,VF,9,96.0697,99.8134,97.8944,95.9008,99.8700,100.0000,0.0000,0.9634,228
FoodMem,K30_accept_fresh,MTF,1,99.3763,97.7519,98.5456,97.1456,99.9571,100.0000,0.0000,0.6269,199
FoodMem,K30_accept_fresh,MTF,10,97.4645,97.2992,97.2091,94.9808,99.6577,100.0000,0.0000,2.2298,30
FoodMem,K30_accept_fresh,MTF,11,93.8617,97.9825,95.8187,92.0733,99.8683,100.0000,0.0000,3.6816,30
FoodMem,K30_accept_fresh,MTF,13,98.2760,97.4200,97.8118,95.7884,99.7184,100.0000,0.0000,2.9978,30
FoodMem,K30_accept_fresh,MTF,14,99.6404,99.8066,99.7233,99.4488,99.9503,100.0000,0.0000,0.2432,30
FoodMem,K30_accept_fresh,MTF,2,98.7925,99.8146,99.2995,98.6106,99.9092,100.0000,0.0000,0.2243,200
FoodMem,K30_accept_fresh,MTF,3,98.7925,99.8146,99.2995,98.6106,99.9092,100.0000,0.0000,0.2243,200
FoodMem,K30_accept_fresh,MTF,4,99.9967,94.3789,97.1032,94.3759,99.7270,100.0000,0.0000,0.2795,200
FoodMem,K30_accept_fresh,MTF,5,99.0761,99.7286,99.4006,98.8095,99.9173,100.0000,0.0000,0.2243,200
FoodMem,K30_accept_fresh,MTF,6,96.4391,99.9711,98.1713,96.4124,99.9084,100.0000,0.0000,0.4347,200
FoodMem,K30_accept_fresh,MTF,7,94.2893,97.2125,95.5665,91.7628,99.7855,100.0000,0.0000,1.2498,200
FoodMem,K30_accept_fresh,MTF,8,99.8196,78.4674,87.5002,78.3514,99.3681,100.0000,0.0000,1.4028,200
FoodMem,K30_accept_fresh,MTF,9,99.9928,97.1401,98.5383,97.1332,99.8577,100.0000,0.0000,0.8378,30
