method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
FoodMem,K30_union,N5K,1,92.7630,99.9904,96.2371,92.7546,97.3450,100.0000,0.0000,0.7376,64
FoodMem,K30_union,N5K,10,92.5139,99.2560,95.7523,91.8670,97.8966,100.0000,0.0000,1.3220,58
FoodMem,K30_union,N5K,2,95.5101,99.1123,97.2662,94.6819,99.2055,100.0000,0.0000,0.5451,61
FoodMem,K30_union,N5K,3,94.3106,99.0675,96.6232,93.4725,99.0850,100.0000,0.0000,0.6568,63
FoodMem,K30_union,N5K,4,96.2418,99.3920,97.7845,95.6697,99.6504,100.0000,0.0000,0.5192,63
FoodMem,K30_union,N5K,5,92.5404,99.1973,95.7383,91.8465,97.6388,100.0000,0.0000,0.9560,61
FoodMem,K30_union,N5K,6,91.9706,99.8346,95.7362,91.8302,98.2405,100.0000,0.0000,1.0726,65
FoodMem,K30_union,N5K,7,93.3759,99.9364,96.5345,93.3198,98.9408,100.0000,0.0000,1.2508,60
FoodMem,K30_union,N5K,8,95.1401,99.4623,97.2467,94.6465,99.0495,100.0000,0.0000,1.1633,63
FoodMem,K30_union,N5K,9,96.2767,98.1668,97.1944,94.5822,98.8547,100.0000,0.0000,1.0577,63
FoodMem,K30_union,VF,1,98.6730,99.5832,99.1252,98.2676,99.9432,100.0000,0.0000,0.2904,172
FoodMem,K30_union,VF,10,94.6452,99.7052,97.0930,94.3756,99.6286,100.0000,0.0000,1.3558,207
FoodMem,K30_union,VF,11,40.9991,72.9198,45.6766,32.4587,93.1522,13.5000,5.5000,7.3701,201
FoodMem,K30_union,VF,2,94.8637,97.9728,96.3541,93.0251,99.6943,100.0000,0.0000,1.3945,232
FoodMem,K30_union,VF,3,95.8186,99.2150,97.3890,95.2160,99.6846,98.1900,0.9050,1.7485,222
FoodMem,K30_union,VF,4,96.8864,99.8020,98.3190,96.6998,99.7985,100.0000,0.0000,0.8161,177
FoodMem,K30_union,VF,5,96.1711,99.5795,97.8413,95.7794,99.9229,100.0000,0.0000,0.6217,215
FoodMem,K30_union,VF,6,96.9938,99.6196,98.2811,96.6419,99.8227,100.0000,0.0000,0.9229,216
FoodMem,K30_union,VF,7,96.0441,99.7299,97.8471,95.7915,99.7048,100.0000,0.0000,0.9637,225
FoodMem,K30_union,VF,8,94.0102,98.8727,96.0844,93.8332,99.6207,97.1698,1.4151,2.7594,213
FoodMem,K30_union,VF,9,95.8871,99.9240,97.8529,95.8176,99.8640,100.0000,0.0000,0.9110,228
FoodMem,K30_union,MTF,1,99.1969,98.8750,99.0302,98.0833,99.9718,100.0000,0.0000,0.4775,199
FoodMem,K30_union,MTF,10,97.4645,97.2992,97.2091,94.9808,99.6577,100.0000,0.0000,2.2298,30
FoodMem,K30_union,MTF,11,93.8617,97.9825,95.8187,92.0733,99.8683,100.0000,0.0000,3.6816,30
FoodMem,K30_union,MTF,13,98.2760,97.4200,97.8118,95.7884,99.7184,100.0000,0.0000,2.9978,30
FoodMem,K30_union,MTF,14,99.6404,99.8066,99.7233,99.4488,99.9503,100.0000,0.0000,0.2432,30
FoodMem,K30_union,MTF,2,98.0881,99.9864,99.0270,98.0750,99.8751,100.0000,0.0000,0.1928,200
FoodMem,K30_union,MTF,3,98.0881,99.9864,99.0270,98.0750,99.8751,100.0000,0.0000,0.1928,200
FoodMem,K30_union,MTF,4,99.9965,95.1882,97.5303,95.1850,99.7653,100.0000,0.0000,0.2309,200
FoodMem,K30_union,MTF,5,98.8898,99.8907,99.3871,98.7827,99.9151,100.0000,0.0000,0.1974,200
FoodMem,K30_union,MTF,6,96.2461,99.9930,98.0816,96.2397,99.9040,100.0000,0.0000,0.4426,200
FoodMem,K30_union,MTF,7,92.5431,99.6536,95.7727,92.2824,99.7933,100.0000,0.0000,1.0283,200
FoodMem,K30_union,MTF,8,99.4053,91.4393,95.1360,90.9860,99.7183,100.0000,0.0000,0.6908,200
FoodMem,K30_union,MTF,9,99.9928,97.1401,98.5383,97.1332,99.8577,100.0000,0.0000,0.8378,30
