method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
FoodMem,K45,N5K,1,93.0497,99.9828,96.3877,93.0346,97.4491,100.0000,0.0000,0.7571,64
FoodMem,K45,N5K,10,92.5648,99.3635,95.8311,92.0108,97.9344,100.0000,0.0000,1.1851,58
FoodMem,K45,N5K,2,95.8364,98.8905,97.3255,94.7952,99.2189,100.0000,0.0000,0.5587,61
FoodMem,K45,N5K,3,95.0902,98.0431,96.5348,93.3054,99.0694,100.0000,0.0000,0.6133,63
FoodMem,K45,N5K,4,96.8407,99.2631,98.0308,96.1435,99.6841,100.0000,0.0000,0.5217,63
FoodMem,K45,N5K,5,92.7987,98.3699,95.4820,91.3879,97.5046,100.0000,0.0000,1.0372,61
FoodMem,K45,N5K,6,92.2588,99.8129,95.8811,92.0988,98.2975,100.0000,0.0000,1.1165,65
FoodMem,K45,N5K,7,94.0688,99.8927,96.8839,93.9732,99.0460,100.0000,0.0000,1.2958,60
FoodMem,K45,N5K,8,95.4400,99.3479,97.3487,94.8399,99.0831,100.0000,0.0000,1.1378,63
FoodMem,K45,N5K,9,96.2181,97.0674,96.6292,93.5470,98.6558,100.0000,0.0000,0.9451,63
FoodMem,K45,VF,1,98.7174,99.5260,99.1192,98.2556,99.9423,100.0000,0.0000,0.2468,172
FoodMem,K45,VF,10,95.7083,99.4883,97.5524,95.2321,99.6894,100.0000,0.0000,1.1081,207
FoodMem,K45,VF,11,41.0706,72.8886,45.7035,32.4847,93.1634,14.5000,5.5000,7.3895,201
FoodMem,K45,VF,2,96.1112,94.3216,95.1510,90.8443,99.5922,100.0000,0.0000,1.3363,232
FoodMem,K45,VF,3,95.6253,98.8607,96.8488,94.9225,99.6780,96.8326,1.3575,1.9924,222
FoodMem,K45,VF,4,98.3284,99.4512,98.8839,97.7972,99.8657,100.0000,0.0000,0.5622,177
FoodMem,K45,VF,5,96.3978,99.5165,97.9278,95.9455,99.9269,100.0000,0.0000,0.6163,215
FoodMem,K45,VF,6,97.3459,99.5224,98.4155,96.8963,99.8356,100.0000,0.0000,0.7887,216
FoodMem,K45,VF,7,97.3266,99.2662,98.2789,96.6212,99.7600,100.0000,0.0000,0.7357,225
FoodMem,K45,VF,8,98.4464,99.4962,98.9665,97.9644,99.9404,100.0000,0.0000,0.4895,213
FoodMem,K45,VF,9,98.1919,99.5390,98.8594,97.7454,99.9190,100.0000,0.0000,0.3413,228
FoodMem,K45,MTF,1,99.8875,97.5559,98.7051,97.4477,99.9624,100.0000,0.0000,0.4101,199
FoodMem,K45,MTF,10,97.4645,97.2992,97.2091,94.9808,99.6577,100.0000,0.0000,2.2298,30
FoodMem,K45,MTF,11,93.8617,97.9825,95.8187,92.0733,99.8683,100.0000,0.0000,3.6816,30
FoodMem,K45,MTF,13,98.2760,97.4200,97.8118,95.7884,99.7184,100.0000,0.0000,2.9978,30
FoodMem,K45,MTF,14,99.6404,99.8066,99.7233,99.4488,99.9503,100.0000,0.0000,0.2432,30
FoodMem,K45,MTF,2,98.5809,99.9658,99.2675,98.5475,99.9057,100.0000,0.0000,0.1765,200
FoodMem,K45,MTF,3,98.5809,99.9658,99.2675,98.5475,99.9057,100.0000,0.0000,0.1765,200
FoodMem,K45,MTF,4,99.9998,94.6414,97.2445,94.6412,99.7381,100.0000,0.0000,0.2444,200
FoodMem,K45,MTF,5,99.5647,99.7708,99.6673,99.3372,99.9533,100.0000,0.0000,0.1628,200
FoodMem,K45,MTF,6,98.6962,99.9516,99.3190,98.6491,99.9657,100.0000,0.0000,0.2320,200
FoodMem,K45,MTF,7,93.3220,99.6376,96.1853,93.0399,99.8169,100.0000,0.0000,0.9902,200
FoodMem,K45,MTF,8,99.4684,89.9414,94.3073,89.5463,99.6727,100.0000,0.0000,0.6010,200
FoodMem,K45,MTF,9,99.9928,97.1401,98.5383,97.1332,99.8577,100.0000,0.0000,0.8378,30
