method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
FoodMem,base,N5K,1,92.7661,99.9875,96.2366,92.7551,97.3564,100.0000,0.0000,0.7995,64
FoodMem,base,N5K,10,92.4804,99.3657,95.7870,91.9298,97.9161,100.0000,0.0000,1.1385,58
FoodMem,base,N5K,2,95.7143,99.0496,97.3408,94.8239,99.2224,100.0000,0.0000,0.5706,61
FoodMem,base,N5K,3,95.0179,98.1679,96.5588,93.3513,99.0783,100.0000,0.0000,0.6028,63
FoodMem,base,N5K,4,96.7219,99.2180,97.9455,95.9796,99.6725,100.0000,0.0000,0.5538,63
FoodMem,base,N5K,5,92.6748,98.2067,95.3406,91.1282,97.4307,100.0000,0.0000,1.0814,61
FoodMem,base,N5K,6,92.0718,99.8011,95.7747,91.9030,98.2534,100.0000,0.0000,1.0990,65
FoodMem,base,N5K,7,93.9102,99.9153,96.8092,93.8345,99.0286,100.0000,0.0000,1.2939,60
FoodMem,base,N5K,8,95.6590,99.2354,97.4080,94.9517,99.1091,100.0000,0.0000,1.1066,63
FoodMem,base,N5K,9,96.4626,97.1474,96.7904,93.8421,98.7170,100.0000,0.0000,0.8921,63
FoodMem,base,VF,1,98.6407,99.4799,99.0568,98.1337,99.9406,100.0000,0.0000,0.2726,172
FoodMem,base,VF,10,95.2576,99.6353,97.3881,94.9209,99.6747,100.0000,0.0000,1.1078,207
FoodMem,base,VF,11,41.0594,72.8829,45.6859,32.4582,93.1639,14.5000,5.5000,7.3805,201
FoodMem,base,VF,2,95.2300,95.8424,95.4518,91.3988,99.6025,100.0000,0.0000,1.4937,232
FoodMem,base,VF,3,96.0085,99.1447,97.4632,95.3876,99.7066,98.1900,0.9050,1.7871,222
FoodMem,base,VF,4,98.1121,99.4221,98.7601,97.5542,99.8486,100.0000,0.0000,0.6057,177
FoodMem,base,VF,5,95.8800,99.5759,97.6872,95.4884,99.9207,100.0000,0.0000,0.6603,215
FoodMem,base,VF,6,97.1475,99.5929,98.3492,96.7696,99.8321,100.0000,0.0000,0.7914,216
FoodMem,base,VF,7,96.6819,99.5285,98.0780,96.2339,99.7300,100.0000,0.0000,0.8423,225
FoodMem,base,VF,8,97.7312,98.9126,98.3015,97.1331,99.9293,99.0566,0.4717,1.4745,213
FoodMem,base,VF,9,97.6594,99.7181,98.6770,97.3897,99.9054,100.0000,0.0000,0.3653,228
FoodMem,base,MTF,1,99.8682,97.2151,98.5162,97.0886,99.9583,100.0000,0.0000,0.5785,199
FoodMem,base,MTF,10,96.9989,96.9308,96.7607,94.1708,99.6021,100.0000,0.0000,3.0477,30
FoodMem,base,MTF,11,93.8103,98.0578,95.8277,92.0954,99.8689,100.0000,0.0000,3.7376,30
FoodMem,base,MTF,13,98.8478,97.1826,97.9912,96.0996,99.7462,100.0000,0.0000,2.2020,30
FoodMem,base,MTF,14,99.3642,99.6960,99.5289,99.0633,99.9137,100.0000,0.0000,0.3686,30
FoodMem,base,MTF,2,98.7218,99.9402,99.3259,98.6629,99.9140,100.0000,0.0000,0.1682,200
FoodMem,base,MTF,3,98.7218,99.9402,99.3259,98.6629,99.9140,100.0000,0.0000,0.1682,200
FoodMem,base,MTF,4,99.9998,94.5911,97.2179,94.5909,99.7325,100.0000,0.0000,0.2562,200
FoodMem,base,MTF,5,99.5990,99.7802,99.6890,99.3809,99.9566,100.0000,0.0000,0.1636,200
FoodMem,base,MTF,6,98.3774,99.9689,99.1656,98.3473,99.9587,100.0000,0.0000,0.2385,200
FoodMem,base,MTF,7,94.5958,99.3585,96.7426,94.0266,99.8456,100.0000,0.0000,1.1464,200
FoodMem,base,MTF,8,99.5746,89.8171,94.3008,89.5350,99.6736,100.0000,0.0000,0.6735,200
FoodMem,base,MTF,9,99.9497,96.9927,98.4406,96.9443,99.8496,100.0000,0.0000,0.9146,30
