method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
S+X2,K30,N5K,1,80.0074,100.0000,88.8183,80.0074,91.0844,100.0000,0.0000,1.0741,64
S+X2,K30,N5K,10,88.2901,99.8325,93.6972,88.1570,96.8207,100.0000,0.0000,1.1994,58
S+X2,K30,N5K,2,82.3734,99.5655,90.1413,82.0756,96.9071,100.0000,0.0000,0.9234,61
S+X2,K30,N5K,3,87.8471,97.6533,92.4364,86.0272,97.8542,100.0000,0.0000,1.0569,63
S+X2,K30,N5K,4,93.4960,82.6765,86.5375,78.0339,98.1603,90.3226,0.0000,2.1642,63
S+X2,K30,N5K,5,78.5316,93.5496,84.3100,73.1442,90.7342,100.0000,0.0000,1.7608,61
S+X2,K30,N5K,6,82.4165,99.9767,90.2896,82.4050,95.6080,100.0000,0.0000,1.2850,65
S+X2,K30,N5K,7,73.3719,99.8717,83.3528,73.2734,92.1979,88.1356,1.6949,3.3999,60
S+X2,K30,N5K,8,83.8421,99.9815,91.1758,83.8290,96.6710,100.0000,0.0000,1.5647,63
S+X2,K30,N5K,9,84.0892,99.8198,91.2308,83.9622,95.8768,100.0000,0.0000,1.3222,63
S+X2,K30,VF,1,97.7722,89.2334,92.8332,87.0322,99.2207,100.0000,0.0000,1.8064,172
S+X2,K30,VF,10,95.0885,99.6125,97.2909,94.7358,99.6701,100.0000,0.0000,1.1940,207
S+X2,K30,VF,11,0.9950,0.0016,0.0032,0.0016,94.8885,0.0000,0.0000,0.0017,201
S+X2,K30,VF,2,0.0000,0.0000,0.0000,0.0000,95.4878,0.0000,0.0000,0.0000,232
S+X2,K30,VF,3,97.5534,65.1804,77.4749,65.0826,97.9726,81.4480,1.3575,3.9028,222
S+X2,K30,VF,4,97.7861,70.8948,78.3385,69.8876,99.0745,69.8864,2.2727,5.6343,177
S+X2,K30,VF,5,99.7177,84.6948,90.9708,84.4639,99.6856,94.3925,2.8037,5.2226,215
S+X2,K30,VF,6,99.0802,75.6540,84.6475,75.3397,98.8222,88.3721,3.7209,7.2888,216
S+X2,K30,VF,7,98.9604,73.4996,82.1328,72.6173,99.0580,74.5536,0.4464,3.8840,225
S+X2,K30,VF,8,3.7448,0.0430,0.0823,0.0430,96.1761,0.0000,0.0000,0.0777,213
S+X2,K30,VF,9,46.0384,4.9002,8.3184,4.8998,96.6550,0.0000,0.4405,1.6350,228
S+X2,K30,MTF,1,52.7638,5.4514,9.6139,5.4514,98.6602,0.0000,0.0000,1.0673,199
S+X2,K30,MTF,10,0.0000,0.0000,0.0000,0.0000,93.9587,0.0000,0.0000,0.0000,30
S+X2,K30,MTF,11,99.6246,68.5980,80.8818,68.4698,99.5318,96.5517,0.0000,6.9545,30
S+X2,K30,MTF,13,99.9692,72.6297,83.4068,72.6083,98.1746,93.1034,3.4483,8.6740,30
S+X2,K30,MTF,14,92.2783,6.6385,11.6276,6.6337,91.3062,0.0000,0.0000,4.2181,30
S+X2,K30,MTF,2,42.8223,99.9314,59.8548,42.8068,91.5202,3.5176,0.0000,0.4857,200
S+X2,K30,MTF,3,42.8223,99.9314,59.8548,42.8068,91.5202,3.5176,0.0000,0.4857,200
S+X2,K30,MTF,4,26.0000,2.2811,3.9828,2.2811,95.0634,0.0000,0.5025,0.5607,200
S+X2,K30,MTF,5,94.3136,91.9599,92.3546,86.6104,98.9747,96.4824,0.0000,1.6988,200
S+X2,K30,MTF,6,93.4989,96.8880,94.8451,90.5024,99.7502,98.9950,1.5075,1.5411,200
S+X2,K30,MTF,7,87.1994,99.0199,91.9115,86.3639,99.5808,96.4824,1.0050,2.6752,200
S+X2,K30,MTF,8,51.0317,96.6862,64.1489,48.5520,96.8425,27.1357,1.5075,2.6342,200
S+X2,K30,MTF,9,3.3333,0.0021,0.0042,0.0021,94.9472,0.0000,0.0000,0.0043,30
