method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
S+X2,K30_accept_fresh,N5K,1,78.7430,99.9872,88.0017,78.7342,90.5728,100.0000,0.0000,1.0658,64
S+X2,K30_accept_fresh,N5K,10,87.1133,99.8536,93.0384,87.0002,96.4823,100.0000,0.0000,1.2448,58
S+X2,K30_accept_fresh,N5K,2,87.1622,97.5763,91.9898,85.2252,97.5085,100.0000,0.0000,0.9718,61
S+X2,K30_accept_fresh,N5K,3,81.4757,97.3879,88.6663,79.7169,96.6223,100.0000,0.0000,1.5301,63
S+X2,K30_accept_fresh,N5K,4,93.2172,79.7625,84.7991,75.3809,97.9632,87.0968,0.0000,2.5832,63
S+X2,K30_accept_fresh,N5K,5,80.7409,93.5666,85.7948,75.3621,91.6753,100.0000,0.0000,1.5619,61
S+X2,K30_accept_fresh,N5K,6,76.7271,91.9095,82.6461,70.9970,92.5141,100.0000,0.0000,2.0366,65
S+X2,K30_accept_fresh,N5K,7,73.3719,99.8717,83.3528,73.2734,92.1979,88.1356,1.6949,3.3999,60
S+X2,K30_accept_fresh,N5K,8,80.5599,99.2799,88.8332,80.0097,95.8354,100.0000,0.0000,1.7660,63
S+X2,K30_accept_fresh,N5K,9,76.6031,99.7694,86.2522,76.4505,92.2955,100.0000,1.6129,2.2044,63
S+X2,K30_accept_fresh,VF,1,97.7722,89.2334,92.8332,87.0322,99.2207,100.0000,0.0000,1.8064,172
S+X2,K30_accept_fresh,VF,10,98.0084,85.9951,91.0956,84.2460,99.3746,99.0291,0.4854,3.4881,207
S+X2,K30_accept_fresh,VF,11,0.9950,0.0016,0.0032,0.0016,94.8885,0.0000,0.0000,0.0017,201
S+X2,K30_accept_fresh,VF,2,0.0000,0.0000,0.0000,0.0000,95.4878,0.0000,0.0000,0.0000,232
S+X2,K30_accept_fresh,VF,3,97.1014,61.1606,72.9542,61.0461,98.1310,63.8009,1.8100,4.1743,222
S+X2,K30_accept_fresh,VF,4,96.3505,66.1601,73.8621,63.7171,98.5793,58.5227,3.4091,5.8249,177
S+X2,K30_accept_fresh,VF,5,99.8066,72.7046,83.2019,72.5738,99.4774,88.3178,3.2710,6.8495,215
S+X2,K30_accept_fresh,VF,6,99.3050,66.1387,77.9775,66.0029,98.3612,79.0698,4.6512,7.9439,216
S+X2,K30_accept_fresh,VF,7,98.5953,68.2312,78.1864,67.0704,98.7053,68.3036,0.4464,3.7110,225
S+X2,K30_accept_fresh,VF,8,3.7448,0.0430,0.0823,0.0430,96.1761,0.0000,0.0000,0.0777,213
S+X2,K30_accept_fresh,VF,9,46.0384,4.9002,8.3184,4.8998,96.6550,0.0000,0.4405,1.6350,228
S+X2,K30_accept_fresh,MTF,1,52.7638,5.4514,9.6139,5.4514,98.6602,0.0000,0.0000,1.0673,199
S+X2,K30_accept_fresh,MTF,10,0.0000,0.0000,0.0000,0.0000,93.9587,0.0000,0.0000,0.0000,30
S+X2,K30_accept_fresh,MTF,11,99.6246,68.5980,80.8818,68.4698,99.5318,96.5517,0.0000,6.9545,30
S+X2,K30_accept_fresh,MTF,13,99.9692,72.6297,83.4068,72.6083,98.1746,93.1034,3.4483,8.6740,30
S+X2,K30_accept_fresh,MTF,14,92.2783,6.6385,11.6276,6.6337,91.3062,0.0000,0.0000,4.2181,30
S+X2,K30_accept_fresh,MTF,2,50.3736,99.8496,66.8735,50.3335,93.7513,50.2513,0.0000,0.6675,200
S+X2,K30_accept_fresh,MTF,3,50.3736,99.8496,66.8735,50.3335,93.7513,50.2513,0.0000,0.6675,200
S+X2,K30_accept_fresh,MTF,4,26.0000,2.2811,3.9828,2.2811,95.0634,0.0000,0.5025,0.5607,200
S+X2,K30_accept_fresh,MTF,5,80.9843,97.3580,87.5621,78.5411,98.1396,96.4824,0.0000,1.6442,200
S+X2,K30_accept_fresh,MTF,6,81.2628,96.5824,87.5153,78.1631,99.3199,97.9899,0.5025,2.7459,200
S+X2,K30_accept_fresh,MTF,7,77.5915,99.0956,86.3637,76.8597,99.2470,97.9899,1.0050,2.8398,200
S+X2,K30_accept_fresh,MTF,8,70.5315,95.8115,79.8013,67.3336,98.5849,97.4874,0.5025,3.6359,200
S+X2,K30_accept_fresh,MTF,9,3.3333,0.0021,0.0042,0.0021,94.9472,0.0000,0.0000,0.0043,30
