method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
S+X2,K30_union,N5K,1,74.7613,100.0000,85.5348,74.7613,88.2981,100.0000,0.0000,0.9178,64
S+X2,K30_union,N5K,10,86.6256,99.8800,92.7680,86.5326,96.3501,100.0000,0.0000,1.2523,58
S+X2,K30_union,N5K,2,82.3074,99.5679,90.1030,82.0117,96.8948,100.0000,0.0000,0.9242,61
S+X2,K30_union,N5K,3,80.8024,98.5114,88.7193,79.7973,96.6042,100.0000,0.0000,1.4588,63
S+X2,K30_union,N5K,4,92.6147,84.7565,87.2218,79.1977,98.2301,90.3226,0.0000,1.9747,63
S+X2,K30_union,N5K,5,68.1678,99.9667,80.9842,68.1534,87.5531,100.0000,0.0000,1.2773,61
S+X2,K30_union,N5K,6,76.4269,99.9770,86.5194,76.4158,93.7670,100.0000,0.0000,1.5228,65
S+X2,K30_union,N5K,7,73.3719,99.8717,83.3528,73.2734,92.1979,88.1356,1.6949,3.3999,60
S+X2,K30_union,N5K,8,78.7291,99.9768,88.0541,78.7134,95.4727,100.0000,0.0000,1.6942,63
S+X2,K30_union,N5K,9,74.9957,99.9214,85.3419,74.9482,91.8760,100.0000,0.0000,2.1204,63
S+X2,K30_union,VF,1,97.7722,89.2334,92.8332,87.0322,99.2207,100.0000,0.0000,1.8064,172
S+X2,K30_union,VF,10,94.5151,99.6624,97.0134,94.2114,99.6213,100.0000,0.0000,1.2420,207
S+X2,K30_union,VF,11,0.9950,0.0016,0.0032,0.0016,94.8885,0.0000,0.0000,0.0017,201
S+X2,K30_union,VF,2,0.0000,0.0000,0.0000,0.0000,95.4878,0.0000,0.0000,0.0000,232
S+X2,K30_union,VF,3,97.8796,72.0837,82.2455,71.8806,98.5066,90.4977,1.3575,4.2486,222
S+X2,K30_union,VF,4,94.3165,99.9004,96.9906,94.2244,99.4483,100.0000,0.0000,1.1669,177
S+X2,K30_union,VF,5,99.1860,94.9922,96.9867,94.2273,99.8557,100.0000,0.0000,1.2486,215
S+X2,K30_union,VF,6,98.8979,95.2823,96.9989,94.2514,99.6517,100.0000,0.0000,1.6018,216
S+X2,K30_union,VF,7,96.1161,99.2109,97.6260,95.3738,99.6523,100.0000,0.0000,0.9887,225
S+X2,K30_union,VF,8,3.7448,0.0430,0.0823,0.0430,96.1761,0.0000,0.0000,0.0777,213
S+X2,K30_union,VF,9,49.9915,8.6685,14.5088,8.6675,96.8694,0.0000,0.0000,1.3638,228
S+X2,K30_union,MTF,1,52.7638,5.4514,9.6139,5.4514,98.6602,0.0000,0.0000,1.0673,199
S+X2,K30_union,MTF,10,0.0000,0.0000,0.0000,0.0000,93.9587,0.0000,0.0000,0.0000,30
S+X2,K30_union,MTF,11,99.6246,68.5980,80.8818,68.4698,99.5318,96.5517,0.0000,6.9545,30
S+X2,K30_union,MTF,13,99.9692,72.6297,83.4068,72.6083,98.1746,93.1034,3.4483,8.6740,30
S+X2,K30_union,MTF,14,92.2783,6.6385,11.6276,6.6337,91.3062,0.0000,0.0000,4.2181,30
S+X2,K30_union,MTF,2,42.4076,99.9355,59.4524,42.3930,91.3862,3.5176,0.0000,0.4434,200
S+X2,K30_union,MTF,3,42.4076,99.9355,59.4524,42.3930,91.3862,3.5176,0.0000,0.4434,200
S+X2,K30_union,MTF,4,26.0000,2.2811,3.9828,2.2811,95.0634,0.0000,0.5025,0.5607,200
S+X2,K30_union,MTF,5,80.9442,97.3702,87.5222,78.4958,98.1357,96.4824,0.0000,1.6106,200
S+X2,K30_union,MTF,6,79.2217,99.8803,88.2334,79.1392,99.3342,98.9950,0.5025,1.7394,200
S+X2,K30_union,MTF,7,78.1895,99.6562,87.2190,77.9829,99.2849,98.9950,1.0050,1.8822,200
S+X2,K30_union,MTF,8,41.6018,99.7225,58.4329,41.5355,96.0919,6.0302,0.0000,0.4876,200
S+X2,K30_union,MTF,9,3.3333,0.0021,0.0042,0.0021,94.9472,0.0000,0.0000,0.0043,30
