method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
S+X2,base,N5K,1,79.3535,100.0000,88.4055,79.3535,90.7460,100.0000,0.0000,1.2038,64
S+X2,base,N5K,10,88.0678,99.9312,93.6172,88.0141,96.7689,100.0000,0.0000,1.2306,58
S+X2,base,N5K,2,80.7795,99.5258,89.1637,80.4693,96.5633,100.0000,0.0000,1.0317,61
S+X2,base,N5K,3,86.1656,97.5133,91.4121,84.2965,97.5125,100.0000,0.0000,1.2747,63
S+X2,base,N5K,4,94.0028,74.0867,81.6094,70.6652,97.5032,74.1935,0.0000,2.6380,63
S+X2,base,N5K,5,69.2482,99.9708,81.7223,69.2350,88.0921,100.0000,0.0000,1.2781,61
S+X2,base,N5K,6,81.2594,99.9698,89.5827,81.2438,95.2390,100.0000,0.0000,1.3660,65
S+X2,base,N5K,7,85.4108,99.9998,92.1118,85.4107,97.4344,100.0000,0.0000,1.3291,60
S+X2,base,N5K,8,82.4519,99.9257,90.3185,82.4003,96.2981,100.0000,0.0000,1.5272,63
S+X2,base,N5K,9,81.3331,99.9759,89.6239,81.3179,94.9186,100.0000,0.0000,1.7161,63
S+X2,base,VF,1,97.7722,89.2334,92.8332,87.0322,99.2207,100.0000,0.0000,1.8064,172
S+X2,base,VF,10,93.9773,99.5897,96.6919,93.6113,99.6159,100.0000,0.0000,1.2277,207
S+X2,base,VF,11,0.9950,0.0016,0.0032,0.0016,94.8885,0.0000,0.0000,0.0017,201
S+X2,base,VF,2,0.0000,0.0000,0.0000,0.0000,95.4878,0.0000,0.0000,0.0000,232
S+X2,base,VF,3,97.1764,68.7659,79.9179,68.4420,98.0947,90.0452,3.6199,5.9409,222
S+X2,base,VF,4,96.4130,99.7910,98.0688,96.2173,99.7582,100.0000,0.0000,0.8164,177
S+X2,base,VF,5,98.3031,93.3034,95.5044,91.6655,99.7861,100.0000,0.0000,1.7147,215
S+X2,base,VF,6,97.8301,94.3827,95.9255,92.3273,99.4898,100.0000,0.0000,2.0171,216
S+X2,base,VF,7,95.7574,97.0757,96.3414,92.9739,99.4591,100.0000,0.0000,1.2037,225
S+X2,base,VF,8,3.7448,0.0430,0.0823,0.0430,96.1761,0.0000,0.0000,0.0777,213
S+X2,base,VF,9,56.5375,7.5941,12.3331,7.5932,96.8106,0.0000,0.4405,1.7767,228
S+X2,base,MTF,1,0.0000,0.0000,0.0000,0.0000,98.5733,0.0000,0.0000,0.0000,199
S+X2,base,MTF,10,0.0000,0.0000,0.0000,0.0000,93.9587,0.0000,0.0000,0.0000,30
S+X2,base,MTF,11,99.6553,68.9854,81.1702,68.8739,99.5351,96.5517,0.0000,7.0976,30
S+X2,base,MTF,13,99.9535,72.9805,84.0759,72.9479,98.1957,100.0000,0.0000,6.0870,30
S+X2,base,MTF,14,83.3171,5.3427,9.1386,5.3406,91.1389,0.0000,3.4483,3.9356,30
S+X2,base,MTF,2,44.8834,99.8863,61.6359,44.8542,92.1129,18.0905,0.0000,0.8066,200
S+X2,base,MTF,3,44.8834,99.8863,61.6359,44.8542,92.1129,18.0905,0.0000,0.8066,200
S+X2,base,MTF,4,0.0000,0.0000,0.0000,0.0000,94.9688,0.0000,0.0000,0.0000,200
S+X2,base,MTF,5,99.6478,73.7364,82.3104,73.6188,98.1268,72.8643,1.0050,2.4396,200
S+X2,base,MTF,6,90.0640,99.0333,94.3267,89.2954,99.7065,100.0000,0.0000,0.5924,200
S+X2,base,MTF,7,91.3341,97.6073,94.1323,89.4123,99.7044,100.0000,0.0000,1.0665,200
S+X2,base,MTF,8,41.1309,99.4749,57.8513,41.0090,95.9357,8.5427,0.0000,0.7361,200
S+X2,base,MTF,9,3.3333,0.0021,0.0042,0.0021,94.9472,0.0000,0.0000,0.0043,30
