method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
SC+S2,K30_accept_fresh,N5K,1,94.3426,92.1675,91.3683,86.9302,95.4514,93.6508,3.1746,3.2230,64
SC+S2,K30_accept_fresh,N5K,10,93.2085,91.1639,91.0004,85.3587,95.9898,85.9649,0.0000,2.0376,58
SC+S2,K30_accept_fresh,N5K,2,95.0425,99.4264,97.1326,94.5006,99.0825,100.0000,0.0000,0.7532,61
SC+S2,K30_accept_fresh,N5K,3,90.8586,99.5720,94.9948,90.4988,98.5821,100.0000,0.0000,1.2009,63
SC+S2,K30_accept_fresh,N5K,4,94.9573,90.2531,90.8552,85.7415,98.9045,93.5484,3.2258,3.7237,63
SC+S2,K30_accept_fresh,N5K,5,88.5965,99.6590,93.7313,88.3315,96.3349,100.0000,0.0000,1.5942,61
SC+S2,K30_accept_fresh,N5K,6,77.7413,99.9325,87.2406,77.6912,93.8075,100.0000,0.0000,1.9521,65
SC+S2,K30_accept_fresh,N5K,7,96.5141,99.1573,97.7972,95.7154,99.3425,100.0000,0.0000,1.4429,60
SC+S2,K30_accept_fresh,N5K,8,93.8938,99.5806,96.6436,93.5176,98.8426,100.0000,0.0000,1.3664,63
SC+S2,K30_accept_fresh,N5K,9,95.2172,60.9447,65.2948,58.3378,89.3653,50.0000,0.0000,2.8111,63
SC+S2,K30_accept_fresh,VF,1,1.7442,0.0713,0.1344,0.0713,95.8464,0.0000,0.0000,0.0960,172
SC+S2,K30_accept_fresh,VF,10,94.3838,99.2008,96.4916,93.6178,99.6009,99.0291,0.4854,2.0948,207
SC+S2,K30_accept_fresh,VF,11,41.7460,70.4494,45.3329,32.1353,93.3815,14.0000,6.0000,8.0408,201
SC+S2,K30_accept_fresh,VF,2,86.7160,46.0580,54.5020,46.0147,97.5058,42.8571,9.5238,14.2250,232
SC+S2,K30_accept_fresh,VF,3,3.5963,0.0149,0.0287,0.0144,92.3636,0.0000,0.0000,0.0239,222
SC+S2,K30_accept_fresh,VF,4,57.3569,24.7932,30.7990,24.6868,96.0182,15.3409,7.3864,8.8503,177
SC+S2,K30_accept_fresh,VF,5,99.7242,85.9279,91.6401,85.7017,99.7434,96.7290,4.6729,6.5986,215
SC+S2,K30_accept_fresh,VF,6,30.9630,14.2206,17.3795,14.2066,95.2422,8.3721,8.3721,11.8402,216
SC+S2,K30_accept_fresh,VF,7,0.0174,0.0003,0.0006,0.0003,93.2929,0.0000,0.0000,0.0006,225
SC+S2,K30_accept_fresh,VF,8,99.8089,96.9075,98.0737,96.7249,99.9071,99.0566,0.9434,1.9694,213
SC+S2,K30_accept_fresh,VF,9,1.3158,0.0162,0.0320,0.0162,96.3523,0.0000,0.0000,0.0261,228
SC+S2,K30_accept_fresh,MTF,1,55.1023,10.1454,16.5898,10.1343,98.7157,0.0000,0.0000,1.2753,199
SC+S2,K30_accept_fresh,MTF,10,99.2566,94.9213,97.0263,94.2355,99.6570,100.0000,0.0000,0.9328,30
SC+S2,K30_accept_fresh,MTF,11,90.7349,98.2189,94.2654,89.2784,99.8183,100.0000,0.0000,4.2268,30
SC+S2,K30_accept_fresh,MTF,13,99.9973,92.9193,96.3043,92.9171,99.5313,100.0000,0.0000,2.3232,30
SC+S2,K30_accept_fresh,MTF,14,97.9973,99.7232,98.8502,97.7319,99.7977,100.0000,0.0000,0.7313,30
SC+S2,K30_accept_fresh,MTF,2,99.5384,97.3556,98.4159,96.9116,99.8022,100.0000,0.0000,0.8835,200
SC+S2,K30_accept_fresh,MTF,3,99.5384,97.3556,98.4159,96.9116,99.8022,100.0000,0.0000,0.8835,200
SC+S2,K30_accept_fresh,MTF,4,99.5000,25.4562,36.9872,25.4562,96.2444,8.0402,2.0101,5.0760,200
SC+S2,K30_accept_fresh,MTF,5,99.2229,98.1804,98.6713,97.4176,99.8211,100.0000,0.0000,0.5743,200
SC+S2,K30_accept_fresh,MTF,6,96.8087,99.6174,98.1878,96.4448,99.9090,100.0000,0.0000,0.5813,200
SC+S2,K30_accept_fresh,MTF,7,86.3931,40.2150,54.0417,37.2930,98.3252,0.5025,0.0000,1.8271,200
SC+S2,K30_accept_fresh,MTF,8,96.7798,95.7258,95.7398,92.8490,99.7834,97.4874,1.0050,2.8339,200
SC+S2,K30_accept_fresh,MTF,9,98.2385,99.0723,98.6463,97.3424,99.8638,100.0000,0.0000,1.1673,30
