method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
SC+S2,K30_union,N5K,1,94.0633,98.1069,95.9398,92.4093,97.1118,100.0000,0.0000,1.8215,64
SC+S2,K30_union,N5K,10,93.2085,91.1639,91.0004,85.3587,95.9898,85.9649,0.0000,2.0376,58
SC+S2,K30_union,N5K,2,91.6868,99.9182,95.5889,91.6192,98.6295,100.0000,0.0000,1.3129,61
SC+S2,K30_union,N5K,3,89.6696,99.6178,94.3498,89.3599,98.4060,100.0000,0.0000,1.4321,63
SC+S2,K30_union,N5K,4,94.4078,87.6812,88.7127,83.0302,98.7253,90.3226,4.8387,4.1969,63
SC+S2,K30_union,N5K,5,87.5431,99.7605,93.1928,87.3645,96.0226,100.0000,0.0000,1.6208,61
SC+S2,K30_union,N5K,6,78.3192,99.8724,87.5710,78.2217,93.9887,100.0000,0.0000,2.3419,65
SC+S2,K30_union,N5K,7,95.4811,99.4017,97.3846,95.0001,99.1880,100.0000,1.6949,2.0486,60
SC+S2,K30_union,N5K,8,93.4100,99.5872,96.3652,93.0428,98.7429,100.0000,0.0000,2.1144,63
SC+S2,K30_union,N5K,9,95.2150,62.1661,66.3806,59.6045,89.6679,53.2258,1.6129,3.2522,63
SC+S2,K30_union,VF,1,1.7442,0.0713,0.1344,0.0713,95.8464,0.0000,0.0000,0.0960,172
SC+S2,K30_union,VF,10,93.9407,99.7364,96.7441,93.7050,99.6011,100.0000,0.0000,1.2130,207
SC+S2,K30_union,VF,11,41.6038,72.0168,45.7977,32.5236,93.2974,13.5000,5.5000,7.4822,201
SC+S2,K30_union,VF,2,99.3350,97.2846,98.2632,96.6524,99.8556,100.0000,0.0000,0.9416,232
SC+S2,K30_union,VF,3,3.5963,0.0149,0.0287,0.0144,92.3636,0.0000,0.0000,0.0239,222
SC+S2,K30_union,VF,4,96.3941,46.1574,56.4350,45.9158,97.2498,25.5682,12.5000,16.8075,177
SC+S2,K30_union,VF,5,99.5808,91.9833,95.5605,91.6201,99.8495,100.0000,0.0000,2.2643,215
SC+S2,K30_union,VF,6,36.0455,14.6012,17.9945,14.5793,95.1933,8.3721,8.8372,11.0282,216
SC+S2,K30_union,VF,7,0.0174,0.0003,0.0006,0.0003,93.2929,0.0000,0.0000,0.0006,225
SC+S2,K30_union,VF,8,99.3647,99.2320,99.2975,98.6072,99.9609,100.0000,0.0000,0.2704,213
SC+S2,K30_union,VF,9,1.3158,0.0162,0.0320,0.0162,96.3523,0.0000,0.0000,0.0261,228
SC+S2,K30_union,MTF,1,84.3852,43.5604,55.2826,43.2250,99.1919,45.9596,1.0101,2.5417,199
SC+S2,K30_union,MTF,10,99.2566,94.9213,97.0263,94.2355,99.6570,100.0000,0.0000,0.9328,30
SC+S2,K30_union,MTF,11,90.7349,98.2189,94.2654,89.2784,99.8183,100.0000,0.0000,4.2268,30
SC+S2,K30_union,MTF,13,99.9973,92.9193,96.3043,92.9171,99.5313,100.0000,0.0000,2.3232,30
SC+S2,K30_union,MTF,14,97.9973,99.7232,98.8502,97.7319,99.7977,100.0000,0.0000,0.7313,30
SC+S2,K30_union,MTF,2,97.3179,98.1294,97.5867,95.6555,99.6899,100.0000,1.0050,1.1985,200
SC+S2,K30_union,MTF,3,97.3179,98.1294,97.5867,95.6555,99.6899,100.0000,1.0050,1.1985,200
SC+S2,K30_union,MTF,4,83.3998,76.9219,79.9542,75.7909,98.6381,81.4070,1.5075,2.5257,200
SC+S2,K30_union,MTF,5,97.6716,99.1321,98.3526,96.8871,99.7637,100.0000,0.5025,0.7827,200
SC+S2,K30_union,MTF,6,95.9076,99.6359,97.6663,95.5885,99.8780,100.0000,1.0050,1.3067,200
SC+S2,K30_union,MTF,7,86.3931,40.2150,54.0417,37.2930,98.3252,0.5025,0.0000,1.8271,200
SC+S2,K30_union,MTF,8,95.8887,97.5647,96.5801,94.0123,99.8069,98.4925,3.0151,3.2258,200
SC+S2,K30_union,MTF,9,98.2385,99.0723,98.6463,97.3424,99.8638,100.0000,0.0000,1.1673,30
