method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
SC+S2,base,N5K,1,73.8002,75.0734,73.8549,60.6567,81.6404,57.1429,4.7619,5.1046,64
SC+S2,base,N5K,10,68.2805,67.7698,66.7869,53.7767,84.6092,49.1228,5.2632,6.3040,58
SC+S2,base,N5K,2,62.9740,70.9458,66.3491,53.9390,90.1056,51.6667,6.6667,7.6999,61
SC+S2,base,N5K,3,63.1174,69.3804,65.7125,52.8565,90.4897,58.0645,8.0645,7.9983,63
SC+S2,base,N5K,4,52.3709,35.6994,40.2271,27.3371,92.8053,1.6129,8.0645,8.0795,63
SC+S2,base,N5K,5,63.0599,71.1981,66.5705,51.7932,81.1447,53.3333,6.6667,5.6285,61
SC+S2,base,N5K,6,58.0491,73.8606,64.5322,49.4170,83.9011,46.8750,3.1250,5.8019,65
SC+S2,base,N5K,7,62.5009,66.1551,64.0277,50.3187,89.2391,67.7966,5.0847,6.9740,60
SC+S2,base,N5K,8,67.6497,72.3564,69.6348,56.9037,89.6138,59.6774,9.6774,7.0798,63
SC+S2,base,N5K,9,43.1381,4.4606,7.9514,4.3015,78.1611,0.0000,0.0000,1.2902,63
SC+S2,base,VF,1,4.2811,0.2126,0.3827,0.2026,95.8472,0.0000,0.0000,0.2889,172
SC+S2,base,VF,10,94.3304,99.4218,96.7997,93.8130,99.6046,100.0000,0.0000,1.2056,207
SC+S2,base,VF,11,41.7667,71.7521,45.6084,32.3807,93.2977,13.5000,6.0000,7.8106,201
SC+S2,base,VF,2,99.6292,94.3419,96.8497,94.0077,99.7117,100.0000,0.4329,2.0758,232
SC+S2,base,VF,3,3.5963,0.0149,0.0287,0.0144,92.3636,0.0000,0.0000,0.0239,222
SC+S2,base,VF,4,97.2127,46.5481,56.9962,46.3300,96.8678,25.5682,15.3409,19.3294,177
SC+S2,base,VF,5,99.5006,87.7887,92.9958,87.3566,99.7618,99.0654,1.8692,5.1782,215
SC+S2,base,VF,6,11.8389,0.1179,0.2326,0.1179,94.1445,0.0000,0.0000,0.1391,216
SC+S2,base,VF,7,0.0174,0.0003,0.0006,0.0003,93.2929,0.0000,0.0000,0.0006,225
SC+S2,base,VF,8,99.5131,98.3492,98.9208,97.8765,99.9225,100.0000,0.0000,0.5911,213
SC+S2,base,VF,9,1.3158,0.0162,0.0320,0.0162,96.3523,0.0000,0.0000,0.0261,228
SC+S2,base,MTF,1,38.4194,6.3524,9.5370,5.4034,98.4677,0.0000,0.5051,2.5364,199
SC+S2,base,MTF,10,7.8747,7.4737,7.5959,6.8082,89.0082,3.4483,3.4483,4.2289,30
SC+S2,base,MTF,11,26.4845,30.4317,27.9381,20.2472,97.8186,6.8966,20.6897,16.4043,30
SC+S2,base,MTF,13,41.7783,37.9377,39.4671,27.5272,92.4612,3.4483,13.7931,13.7778,30
SC+S2,base,MTF,14,17.3916,17.8160,16.2769,11.9455,84.3102,3.4483,6.8966,7.5614,30
SC+S2,base,MTF,2,63.4311,60.6462,61.7526,46.2928,95.2206,26.1307,3.5176,7.9872,200
SC+S2,base,MTF,3,63.4311,60.6462,61.7526,46.2928,95.2206,26.1307,3.5176,7.9872,200
SC+S2,base,MTF,4,40.8510,33.6504,35.4515,23.1339,94.2087,1.0050,1.5075,3.6046,200
SC+S2,base,MTF,5,71.1204,71.1483,70.9613,56.4329,95.9588,52.2613,3.0151,7.0428,200
SC+S2,base,MTF,6,42.9195,45.8914,44.1075,31.7870,97.1099,14.5729,5.5276,9.1604,200
SC+S2,base,MTF,7,37.1312,16.9004,22.7796,14.0805,97.2291,0.5025,2.0101,5.2015,200
SC+S2,base,MTF,8,41.5977,24.8344,29.9084,18.6872,96.9382,0.0000,1.0050,4.3794,200
SC+S2,base,MTF,9,21.2465,22.1421,21.3158,15.5105,91.9782,3.4483,6.8966,11.4146,30
