method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
SC+S3,K10,N5K,1,94.7998,76.2905,81.6877,72.7454,91.4541,74.6032,4.7619,5.7809,64
SC+S3,K10,N5K,10,93.1737,90.6568,89.1874,84.3657,95.9915,87.7193,3.5088,8.3860,58
SC+S3,K10,N5K,2,87.1801,99.8767,93.0799,87.0815,97.8675,100.0000,0.0000,0.9679,61
SC+S3,K10,N5K,3,87.8782,99.6134,93.3593,87.5708,98.0998,100.0000,0.0000,0.8687,63
SC+S3,K10,N5K,4,96.8724,89.5055,91.9987,86.9368,98.9235,96.7742,1.6129,3.6897,63
SC+S3,K10,N5K,5,86.0492,99.9774,92.4504,86.0327,95.5430,100.0000,0.0000,1.0627,61
SC+S3,K10,N5K,6,80.4188,99.9985,89.0726,80.4178,94.9755,100.0000,0.0000,1.8161,65
SC+S3,K10,N5K,7,95.2464,98.0710,95.8140,93.3458,99.0331,96.6102,1.6949,4.2852,60
SC+S3,K10,N5K,8,91.4130,99.8268,95.4295,91.2680,98.3782,100.0000,0.0000,1.4615,63
SC+S3,K10,N5K,9,95.8574,79.5002,80.8932,76.5089,94.3445,75.8065,3.2258,7.2765,63
SC+S3,K10,VF,1,92.2028,28.6716,41.1734,28.6390,96.8070,7.6023,7.6023,8.6091,172
SC+S3,K10,VF,10,92.0117,97.9003,94.0869,89.9758,99.3763,97.0874,1.4563,4.0167,207
SC+S3,K10,VF,11,41.0186,64.5083,42.1729,29.7625,93.4177,10.0000,7.5000,8.4656,201
SC+S3,K10,VF,2,99.5686,25.7384,32.6882,25.6977,97.1161,20.3463,1.2987,4.0728,232
SC+S3,K10,VF,3,75.2358,0.8229,1.5949,0.8227,92.4079,0.0000,0.0000,0.5811,222
SC+S3,K10,VF,4,73.0770,6.2269,10.1999,6.2224,93.8069,0.5682,1.1364,3.2273,177
SC+S3,K10,VF,5,99.9345,71.4451,80.3699,71.4071,99.5512,71.4953,4.6729,6.8855,215
SC+S3,K10,VF,6,99.8982,8.5237,14.8957,8.5231,94.5527,0.0000,3.2558,4.3909,216
SC+S3,K10,VF,7,77.2605,1.8736,3.6342,1.8727,93.3892,0.0000,0.0000,0.6980,225
SC+S3,K10,VF,8,95.7830,83.3923,85.8313,82.9931,99.2996,82.0755,2.8302,4.8889,213
SC+S3,K10,VF,9,99.9177,82.7007,86.9107,82.6348,99.0536,89.4273,0.8811,2.7593,228
SC+S3,K10,MTF,1,99.9658,32.6507,46.1184,32.6487,99.0391,18.6869,2.0202,5.0732,199
SC+S3,K10,MTF,10,98.9998,96.9956,97.9830,96.0535,99.7674,100.0000,0.0000,0.8407,30
SC+S3,K10,MTF,11,93.9789,89.0126,89.8701,83.5128,99.7371,93.1034,10.3448,11.2571,30
SC+S3,K10,MTF,13,99.9983,92.5750,96.1245,92.5736,99.5153,100.0000,0.0000,1.7319,30
SC+S3,K10,MTF,14,98.4594,95.1638,95.6484,93.6533,99.5858,93.1034,3.4483,7.6497,30
SC+S3,K10,MTF,2,97.9498,82.7706,87.8485,82.7278,98.9136,82.4121,6.0302,7.7189,200
SC+S3,K10,MTF,3,97.9498,82.7706,87.8485,82.7278,98.9136,82.4121,6.0302,7.7189,200
SC+S3,K10,MTF,4,99.5000,61.0728,68.9514,61.0728,98.0710,64.8241,2.0101,4.0827,200
SC+S3,K10,MTF,5,97.6364,70.4131,74.7814,69.9686,97.9198,68.3417,3.0151,4.9394,200
SC+S3,K10,MTF,6,95.5385,88.8474,90.4052,85.5052,99.6419,90.9548,3.5176,4.2295,200
SC+S3,K10,MTF,7,86.9867,98.6562,92.0916,86.0165,99.5956,98.4925,0.0000,1.4526,200
SC+S3,K10,MTF,8,93.9664,86.9426,88.6216,81.3773,99.4332,95.4774,2.5126,3.7118,200
SC+S3,K10,MTF,9,98.2631,91.3029,93.3139,89.6119,99.4527,82.7586,6.8966,9.3778,30
