method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
SC+X2,K30_accept_fresh,N5K,1,91.9265,90.4615,89.9604,83.4591,93.8828,95.2381,1.5873,3.4019,64
SC+X2,K30_accept_fresh,N5K,10,89.8366,65.8548,75.3202,61.1688,89.8170,75.4386,0.0000,1.7641,58
SC+X2,K30_accept_fresh,N5K,2,92.3965,99.6578,95.8542,92.0854,98.7098,100.0000,0.0000,0.7796,61
SC+X2,K30_accept_fresh,N5K,3,88.9062,99.1331,93.7252,88.2106,98.2286,100.0000,0.0000,0.8804,63
SC+X2,K30_accept_fresh,N5K,4,89.6974,83.7239,83.3309,74.5280,97.8885,91.9355,3.2258,2.8156,63
SC+X2,K30_accept_fresh,N5K,5,84.4591,99.0311,91.1200,83.7568,94.7907,100.0000,0.0000,0.9853,61
SC+X2,K30_accept_fresh,N5K,6,73.3150,100.0000,84.5082,73.3150,92.5000,100.0000,0.0000,1.1863,65
SC+X2,K30_accept_fresh,N5K,7,96.5758,97.9391,97.2175,94.6127,99.1654,100.0000,0.0000,1.3382,60
SC+X2,K30_accept_fresh,N5K,8,91.7310,99.5515,95.4714,91.3477,98.4331,100.0000,0.0000,1.4497,63
SC+X2,K30_accept_fresh,N5K,9,94.7232,60.9446,67.5988,58.0576,89.6173,64.5161,0.0000,2.9658,63
SC+X2,K30_accept_fresh,VF,1,96.3924,56.7210,59.7491,54.9775,96.9369,54.9708,1.7544,4.7745,172
SC+X2,K30_accept_fresh,VF,10,93.8042,97.4818,95.2841,91.4763,99.4765,99.0291,0.9709,2.5268,207
SC+X2,K30_accept_fresh,VF,11,41.5361,70.7331,45.2668,32.0908,93.3241,14.0000,6.0000,7.9940,201
SC+X2,K30_accept_fresh,VF,2,96.5859,66.8649,74.6573,64.4644,98.6404,71.4286,5.6277,9.5128,232
SC+X2,K30_accept_fresh,VF,3,1.3514,0.0016,0.0032,0.0016,92.3730,0.0000,0.0000,0.0020,222
SC+X2,K30_accept_fresh,VF,4,49.0559,6.9656,11.2633,6.9640,94.0736,0.0000,0.5682,2.2266,177
SC+X2,K30_accept_fresh,VF,5,99.9026,85.7842,91.7244,85.7028,99.7362,96.7290,3.2710,4.7474,215
SC+X2,K30_accept_fresh,VF,6,94.5232,72.6357,76.9231,70.8219,97.9554,71.6279,8.3721,9.6452,216
SC+X2,K30_accept_fresh,VF,7,0.4444,0.0000,0.0000,0.0000,93.2712,0.0000,0.0000,0.0000,225
SC+X2,K30_accept_fresh,VF,8,95.8958,87.3433,89.0960,87.0110,99.8124,88.2075,3.3019,3.8812,213
SC+X2,K30_accept_fresh,VF,9,11.3767,0.0554,0.1097,0.0554,96.3537,0.0000,0.0000,0.0580,228
SC+X2,K30_accept_fresh,MTF,1,99.4975,18.2818,29.5639,18.2818,98.8159,0.0000,0.0000,2.6079,199
SC+X2,K30_accept_fresh,MTF,10,98.8503,97.9214,98.3831,96.8248,99.8159,100.0000,0.0000,0.6099,30
SC+X2,K30_accept_fresh,MTF,11,90.8328,98.3686,94.3950,89.4921,99.8221,100.0000,0.0000,3.8510,30
SC+X2,K30_accept_fresh,MTF,13,98.4522,92.8356,95.5128,91.5103,99.4294,100.0000,0.0000,2.6540,30
SC+X2,K30_accept_fresh,MTF,14,98.4142,99.8878,99.1444,98.3069,99.8462,100.0000,0.0000,0.5067,30
SC+X2,K30_accept_fresh,MTF,2,99.6223,96.0388,97.7568,95.6801,99.7143,100.0000,0.0000,0.7320,200
SC+X2,K30_accept_fresh,MTF,3,99.6223,96.0388,97.7568,95.6801,99.7143,100.0000,0.0000,0.7320,200
SC+X2,K30_accept_fresh,MTF,4,100.0000,76.3976,84.1215,76.3976,98.9292,88.4422,1.5075,4.2784,200
SC+X2,K30_accept_fresh,MTF,5,99.3497,98.6633,98.9867,98.0225,99.8647,100.0000,0.0000,0.4210,200
SC+X2,K30_accept_fresh,MTF,6,97.4405,99.7367,98.5715,97.1887,99.9281,100.0000,0.0000,0.3297,200
SC+X2,K30_accept_fresh,MTF,7,79.3138,15.1758,24.1908,14.1477,97.7568,0.0000,0.0000,1.2996,200
SC+X2,K30_accept_fresh,MTF,8,94.3460,87.1828,89.5667,82.5023,99.4830,97.4874,0.5025,2.8191,200
SC+X2,K30_accept_fresh,MTF,9,97.9267,99.8592,98.8789,97.7947,99.8878,100.0000,0.0000,1.0069,30
