method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
SC+X2,K30_union,N5K,1,91.4100,95.5171,93.2451,87.5987,95.1219,100.0000,0.0000,0.8645,64
SC+X2,K30_union,N5K,10,89.8366,65.8548,75.3202,61.1688,89.8170,75.4386,0.0000,1.7641,58
SC+X2,K30_union,N5K,2,87.8608,99.9993,93.5253,87.8603,98.0340,100.0000,0.0000,0.8165,61
SC+X2,K30_union,N5K,3,88.3942,99.5868,93.6448,88.0702,98.2009,100.0000,0.0000,0.8727,63
SC+X2,K30_union,N5K,4,89.3977,92.5654,90.3354,82.9401,98.4333,100.0000,0.0000,1.3660,63
SC+X2,K30_union,N5K,5,81.8093,99.9018,89.8995,81.7470,93.9338,100.0000,0.0000,0.9751,61
SC+X2,K30_union,N5K,6,71.4374,100.0000,83.2435,71.4374,91.7484,100.0000,0.0000,1.1908,65
SC+X2,K30_union,N5K,7,95.1017,99.5587,97.2688,94.7001,99.1823,100.0000,0.0000,1.1572,60
SC+X2,K30_union,N5K,8,90.3722,99.8179,94.8520,90.2204,98.1920,100.0000,0.0000,1.4504,63
SC+X2,K30_union,N5K,9,94.6892,61.4548,67.9638,58.5397,89.7280,66.1290,0.0000,2.9395,63
SC+X2,K30_union,VF,1,98.1915,94.0241,94.8042,92.2882,99.4226,95.3216,1.7544,3.3446,172
SC+X2,K30_union,VF,10,92.3246,99.7943,95.9045,92.1474,99.4988,100.0000,0.0000,1.2933,207
SC+X2,K30_union,VF,11,41.3654,72.3036,45.7170,32.4780,93.2343,13.5000,5.5000,7.4457,201
SC+X2,K30_union,VF,2,98.0946,96.4001,97.1228,94.5892,99.7122,100.0000,0.4329,1.5819,232
SC+X2,K30_union,VF,3,1.3514,0.0016,0.0032,0.0016,92.3730,0.0000,0.0000,0.0020,222
SC+X2,K30_union,VF,4,86.8985,23.4906,35.6673,23.4800,95.2114,0.0000,0.5682,3.8052,177
SC+X2,K30_union,VF,5,98.7912,96.7290,97.7277,95.5777,99.9042,100.0000,0.0000,0.8637,215
SC+X2,K30_union,VF,6,94.5232,72.6357,76.9231,70.8219,97.9554,71.6279,8.3721,9.6452,216
SC+X2,K30_union,VF,7,0.4444,0.0000,0.0000,0.0000,93.2712,0.0000,0.0000,0.0000,225
SC+X2,K30_union,VF,8,97.9873,98.2092,98.0921,97.1548,99.9431,98.5849,0.4717,1.2204,213
SC+X2,K30_union,VF,9,11.3767,0.0554,0.1097,0.0554,96.3537,0.0000,0.0000,0.0580,228
SC+X2,K30_union,MTF,1,99.4975,18.2818,29.5639,18.2818,98.8159,0.0000,0.0000,2.6079,199
SC+X2,K30_union,MTF,10,98.8503,97.9214,98.3831,96.8248,99.8159,100.0000,0.0000,0.6099,30
SC+X2,K30_union,MTF,11,90.8328,98.3686,94.3950,89.4921,99.8221,100.0000,0.0000,3.8510,30
SC+X2,K30_union,MTF,13,98.4522,92.8356,95.5128,91.5103,99.4294,100.0000,0.0000,2.6540,30
SC+X2,K30_union,MTF,14,98.4142,99.8878,99.1444,98.3069,99.8462,100.0000,0.0000,0.5067,30
SC+X2,K30_union,MTF,2,98.7805,98.5265,98.6084,97.3121,99.8115,100.0000,0.0000,0.3783,200
SC+X2,K30_union,MTF,3,98.7805,98.5265,98.6084,97.3121,99.8115,100.0000,0.0000,0.3783,200
SC+X2,K30_union,MTF,4,100.0000,90.3735,94.9147,90.3735,99.5245,100.0000,0.0000,0.5074,200
SC+X2,K30_union,MTF,5,98.6066,99.9149,99.2553,98.5255,99.8946,100.0000,0.0000,0.2059,200
SC+X2,K30_union,MTF,6,95.6610,99.9950,97.7782,95.6567,99.8880,100.0000,0.0000,0.3165,200
SC+X2,K30_union,MTF,7,79.3138,15.1758,24.1908,14.1477,97.7568,0.0000,0.0000,1.2996,200
SC+X2,K30_union,MTF,8,93.3866,87.6547,89.7342,82.3631,99.4892,99.4975,0.0000,1.4373,200
SC+X2,K30_union,MTF,9,97.9267,99.8592,98.8789,97.7947,99.8878,100.0000,0.0000,1.0069,30
