method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
SC+X2,K45,N5K,1,92.1724,94.8463,93.3203,87.7787,95.2056,100.0000,0.0000,0.8935,64
SC+X2,K45,N5K,10,89.7773,70.8556,78.5430,65.4391,90.8936,80.7018,0.0000,1.4532,58
SC+X2,K45,N5K,2,87.7774,99.9580,93.4572,87.7439,98.0133,100.0000,0.0000,0.8407,61
SC+X2,K45,N5K,3,89.2933,99.1953,93.9616,88.6397,98.3044,100.0000,0.0000,0.8878,63
SC+X2,K45,N5K,4,93.8355,91.2815,92.0624,86.1531,98.8014,100.0000,0.0000,1.2796,63
SC+X2,K45,N5K,5,81.6593,99.8749,89.7777,81.5865,93.8249,100.0000,0.0000,1.0200,61
SC+X2,K45,N5K,6,75.1423,90.3705,77.1452,66.5513,91.2398,89.0625,1.5625,3.6903,65
SC+X2,K45,N5K,7,95.1981,99.4786,97.2816,94.7217,99.1835,100.0000,0.0000,1.1721,60
SC+X2,K45,N5K,8,91.9980,99.7884,95.7301,91.8178,98.4998,100.0000,0.0000,1.3944,63
SC+X2,K45,N5K,9,94.9413,58.5634,65.1214,56.2794,89.0274,50.0000,0.0000,2.2695,63
SC+X2,K45,VF,1,96.3924,56.7210,59.7491,54.9775,96.9369,54.9708,1.7544,4.7745,172
SC+X2,K45,VF,10,94.0894,97.9193,95.6520,92.1438,99.5193,99.0291,0.9709,2.8402,207
SC+X2,K45,VF,11,41.3321,71.9425,45.4499,32.2372,93.2375,13.0000,6.0000,7.8107,201
SC+X2,K45,VF,2,98.2691,43.9476,55.5846,43.6369,97.8600,36.3636,7.3593,9.7817,232
SC+X2,K45,VF,3,1.3514,0.0016,0.0032,0.0016,92.3730,0.0000,0.0000,0.0020,222
SC+X2,K45,VF,4,49.0559,6.9656,11.2633,6.9640,94.0736,0.0000,0.5682,2.2266,177
SC+X2,K45,VF,5,98.6043,96.9847,97.7619,95.6461,99.9040,100.0000,0.0000,0.8524,215
SC+X2,K45,VF,6,94.4381,88.5034,89.1978,86.3409,98.8463,88.3721,3.7209,5.2853,216
SC+X2,K45,VF,7,0.4444,0.0000,0.0000,0.0000,93.2712,0.0000,0.0000,0.0000,225
SC+X2,K45,VF,8,92.3711,88.5262,89.0429,87.5199,99.8135,87.2642,2.8302,3.9112,213
SC+X2,K45,VF,9,11.3767,0.0554,0.1097,0.0554,96.3537,0.0000,0.0000,0.0580,228
SC+X2,K45,MTF,1,99.9686,35.3395,49.1501,35.3342,99.0481,20.7071,0.0000,2.8054,199
SC+X2,K45,MTF,10,98.8503,97.9214,98.3831,96.8248,99.8159,100.0000,0.0000,0.6099,30
SC+X2,K45,MTF,11,90.8328,98.3686,94.3950,89.4921,99.8221,100.0000,0.0000,3.8510,30
SC+X2,K45,MTF,13,98.4522,92.8356,95.5128,91.5103,99.4294,100.0000,0.0000,2.6540,30
SC+X2,K45,MTF,14,98.4142,99.8878,99.1444,98.3069,99.8462,100.0000,0.0000,0.5067,30
SC+X2,K45,MTF,2,99.7341,89.1769,92.6344,88.9226,99.3218,91.4573,1.0050,1.3949,200
SC+X2,K45,MTF,3,99.7341,89.1769,92.6344,88.9226,99.3218,91.4573,1.0050,1.3949,200
SC+X2,K45,MTF,4,44.2407,19.1165,23.0112,19.1161,95.6137,21.1055,1.0050,1.6390,200
SC+X2,K45,MTF,5,98.8115,98.2278,98.3615,97.0740,99.7978,98.9950,0.5025,1.0664,200
SC+X2,K45,MTF,6,96.3066,99.9951,98.1141,96.3023,99.9050,100.0000,0.0000,0.3040,200
SC+X2,K45,MTF,7,87.6870,85.8756,85.6979,79.7972,99.4210,80.9045,0.0000,1.9655,200
SC+X2,K45,MTF,8,97.9143,85.9927,91.0815,84.8240,99.5600,99.4975,0.0000,1.1813,200
SC+X2,K45,MTF,9,97.9267,99.8592,98.8789,97.7947,99.8878,100.0000,0.0000,1.0069,30
