method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
SC+X2,base,N5K,1,92.1924,95.7170,93.7886,88.5381,95.5372,100.0000,0.0000,1.1548,64
SC+X2,base,N5K,10,89.9037,68.5107,77.0524,63.5096,90.3012,75.4386,0.0000,1.9788,58
SC+X2,base,N5K,2,87.2655,99.9672,93.1723,87.2409,97.9130,100.0000,0.0000,0.9303,61
SC+X2,base,N5K,3,88.5740,99.3587,93.6395,88.0698,98.2168,100.0000,0.0000,0.9289,63
SC+X2,base,N5K,4,93.9463,92.0727,92.5911,86.9512,98.8782,100.0000,0.0000,1.2379,63
SC+X2,base,N5K,5,82.1568,99.7961,90.0564,82.0247,94.0230,100.0000,0.0000,0.9652,61
SC+X2,base,N5K,6,71.9627,100.0000,83.5563,71.9627,91.8489,100.0000,0.0000,1.2264,65
SC+X2,base,N5K,7,95.0361,99.4787,97.1961,94.5623,99.1594,100.0000,0.0000,1.1732,60
SC+X2,base,N5K,8,91.4881,99.7267,95.4249,91.2583,98.3851,100.0000,0.0000,1.3430,63
SC+X2,base,N5K,9,89.3967,5.1229,9.3798,5.0958,79.3976,0.0000,0.0000,1.5596,63
SC+X2,base,VF,1,96.3574,56.8607,59.6964,55.0794,96.9067,54.9708,0.5848,3.5082,172
SC+X2,base,VF,10,91.8184,99.7012,95.5864,91.5651,99.4830,100.0000,0.0000,1.4570,207
SC+X2,base,VF,11,41.3861,72.2934,45.7076,32.4625,93.2382,13.5000,5.5000,7.4455,201
SC+X2,base,VF,2,96.0057,94.4040,94.8995,90.6373,99.5064,100.0000,0.4329,2.0946,232
SC+X2,base,VF,3,1.3514,0.0016,0.0032,0.0016,92.3730,0.0000,0.0000,0.0020,222
SC+X2,base,VF,4,88.0032,25.0009,36.3036,24.9715,95.3809,3.4091,2.2727,5.4692,177
SC+X2,base,VF,5,98.7109,95.6636,97.1102,94.4302,99.8723,100.0000,0.0000,0.9456,215
SC+X2,base,VF,6,3.2300,0.6153,0.8736,0.6141,94.0912,0.0000,0.4651,0.5453,216
SC+X2,base,VF,7,0.4444,0.0000,0.0000,0.0000,93.2712,0.0000,0.0000,0.0000,225
SC+X2,base,VF,8,97.8253,97.8062,97.8095,96.6044,99.9275,98.5849,0.4717,1.2887,213
SC+X2,base,VF,9,11.3767,0.0554,0.1097,0.0554,96.3537,0.0000,0.0000,0.0580,228
SC+X2,base,MTF,1,20.6030,0.4735,0.9159,0.4735,98.5807,0.0000,0.0000,0.4813,199
SC+X2,base,MTF,10,98.7681,97.7241,98.2418,96.5508,99.7956,100.0000,0.0000,0.7569,30
SC+X2,base,MTF,11,90.9466,98.2896,94.4204,89.5391,99.8233,100.0000,0.0000,3.7847,30
SC+X2,base,MTF,13,99.0873,92.8182,95.8278,92.0219,99.4791,100.0000,0.0000,2.2117,30
SC+X2,base,MTF,14,98.3020,99.8541,99.0709,98.1620,99.8312,100.0000,0.0000,0.5343,30
SC+X2,base,MTF,2,99.4726,97.1130,98.2280,96.5943,99.7553,100.0000,0.0000,0.5850,200
SC+X2,base,MTF,3,99.4726,97.1130,98.2280,96.5943,99.7553,100.0000,0.0000,0.5850,200
SC+X2,base,MTF,4,100.0000,89.0106,94.1078,89.0106,99.4651,100.0000,0.0000,0.6413,200
SC+X2,base,MTF,5,98.8537,99.7816,99.3144,98.6423,99.9023,100.0000,0.0000,0.1929,200
SC+X2,base,MTF,6,95.7545,99.9913,97.8249,95.7469,99.8908,100.0000,0.0000,0.3372,200
SC+X2,base,MTF,7,69.1112,12.5302,20.0141,11.6482,97.7139,0.0000,0.0000,1.4581,200
SC+X2,base,MTF,8,97.6592,80.1289,86.9629,78.8821,99.4213,91.9598,0.0000,1.6537,200
SC+X2,base,MTF,9,98.0438,99.7556,98.8871,97.8114,99.8886,100.0000,0.0000,1.0544,30
