method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
SF+S2,K30_accept_fresh,N5K,1,94.3364,99.9724,97.0699,94.3119,97.9161,100.0000,0.0000,0.7563,64
SF+S2,K30_accept_fresh,N5K,10,93.2765,99.1530,96.1109,92.5265,98.0867,100.0000,0.0000,1.1953,58
SF+S2,K30_accept_fresh,N5K,2,99.2411,96.0390,97.5956,95.3270,99.2903,100.0000,0.0000,0.7169,61
SF+S2,K30_accept_fresh,N5K,3,97.9932,97.6120,97.7904,95.6828,99.3936,100.0000,0.0000,0.4588,63
SF+S2,K30_accept_fresh,N5K,4,93.8651,99.9315,96.7930,93.8044,99.4744,100.0000,0.0000,0.6355,63
SF+S2,K30_accept_fresh,N5K,5,93.2008,99.5509,96.2629,92.8077,97.9202,100.0000,0.0000,0.8941,61
SF+S2,K30_accept_fresh,N5K,6,91.9891,99.9349,95.7894,91.9334,98.2435,100.0000,0.0000,1.2380,65
SF+S2,K30_accept_fresh,N5K,7,94.8930,99.9352,97.3417,94.8337,99.1953,100.0000,0.0000,1.2401,60
SF+S2,K30_accept_fresh,N5K,8,97.9425,98.0979,98.0031,96.0937,99.3019,100.0000,0.0000,0.7774,63
SF+S2,K30_accept_fresh,N5K,9,95.5855,99.6939,97.5829,95.2995,98.9537,100.0000,0.0000,0.9402,63
SF+S2,K30_accept_fresh,VF,1,99.5779,96.9390,98.1272,96.5659,99.9030,98.8304,1.1696,1.7307,172
SF+S2,K30_accept_fresh,VF,10,95.8074,99.6475,97.6710,95.4770,99.7163,100.0000,0.4854,1.2572,207
SF+S2,K30_accept_fresh,VF,11,41.1633,72.7782,45.7407,32.4948,93.1952,14.5000,5.5000,7.4013,201
SF+S2,K30_accept_fresh,VF,2,96.3160,98.7799,97.5126,95.1888,99.8267,100.0000,0.0000,1.2230,232
SF+S2,K30_accept_fresh,VF,3,96.5693,99.7816,98.1420,96.3815,99.7577,100.0000,0.4525,1.0280,222
SF+S2,K30_accept_fresh,VF,4,97.5835,99.8073,98.6802,97.3980,99.8328,100.0000,0.0000,0.7114,177
SF+S2,K30_accept_fresh,VF,5,98.3020,97.4269,97.6931,95.8102,99.9287,99.0654,1.4019,2.0593,215
SF+S2,K30_accept_fresh,VF,6,96.4404,99.8829,98.1286,96.3331,99.7984,100.0000,0.0000,0.6198,216
SF+S2,K30_accept_fresh,VF,7,96.0382,99.7080,97.8330,95.7669,99.7258,100.0000,0.0000,1.0594,225
SF+S2,K30_accept_fresh,VF,8,98.3345,99.6937,99.0085,98.0391,99.9406,100.0000,0.0000,0.3252,213
SF+S2,K30_accept_fresh,VF,9,97.0966,99.8304,98.4028,96.9376,99.9058,100.0000,0.4405,0.8129,228
SF+S2,K30_accept_fresh,MTF,1,93.3824,99.7081,96.0820,93.1270,99.7052,97.9798,1.5152,2.6968,199
SF+S2,K30_accept_fresh,MTF,10,99.6050,93.6833,96.5473,93.3326,99.6043,100.0000,0.0000,0.8289,30
SF+S2,K30_accept_fresh,MTF,11,92.8573,96.1507,94.4209,89.5713,99.8267,100.0000,0.0000,4.2230,30
SF+S2,K30_accept_fresh,MTF,13,99.6533,97.4722,98.5316,97.1407,99.8130,100.0000,0.0000,1.6848,30
SF+S2,K30_accept_fresh,MTF,14,98.0881,99.6539,98.8622,97.7562,99.8011,100.0000,0.0000,0.7810,30
SF+S2,K30_accept_fresh,MTF,2,99.3273,98.9885,99.1555,98.3266,99.8949,100.0000,0.0000,0.2412,200
SF+S2,K30_accept_fresh,MTF,3,99.3273,98.9885,99.1555,98.3266,99.8949,100.0000,0.0000,0.2412,200
SF+S2,K30_accept_fresh,MTF,4,99.9989,94.2388,97.0308,94.2379,99.7168,100.0000,0.0000,0.2864,200
SF+S2,K30_accept_fresh,MTF,5,99.0073,99.6908,99.3460,98.7044,99.9071,100.0000,0.0000,0.2409,200
SF+S2,K30_accept_fresh,MTF,6,99.2909,97.4048,98.3142,96.7211,99.9227,100.0000,0.0000,0.5731,200
SF+S2,K30_accept_fresh,MTF,7,93.5336,96.5491,94.7474,90.4397,99.7444,100.0000,0.5025,1.6791,200
SF+S2,K30_accept_fresh,MTF,8,99.4430,71.6222,81.6775,71.5816,99.1514,82.4121,0.5025,1.9541,200
SF+S2,K30_accept_fresh,MTF,9,98.8864,98.0615,98.4685,96.9927,99.8469,100.0000,0.0000,1.1265,30
