method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
SF+S3,K20,N5K,1,94.1870,99.9651,96.9864,94.1561,97.8745,100.0000,0.0000,0.7280,64
SF+S3,K20,N5K,10,93.4898,99.1278,96.2156,92.7231,98.1369,100.0000,0.0000,1.1602,58
SF+S3,K20,N5K,2,99.0367,96.4845,97.7367,95.5832,99.3620,100.0000,0.0000,0.5638,61
SF+S3,K20,N5K,3,98.2401,97.8988,98.0619,96.2032,99.4627,100.0000,0.0000,0.5080,63
SF+S3,K20,N5K,4,92.1650,99.9528,95.8919,92.1244,99.3284,100.0000,0.0000,1.2549,63
SF+S3,K20,N5K,5,93.1284,99.6968,96.2943,92.8658,97.9465,100.0000,0.0000,0.7300,61
SF+S3,K20,N5K,6,89.5025,99.9771,94.4419,89.4844,97.6445,100.0000,0.0000,1.1815,65
SF+S3,K20,N5K,7,93.7160,99.9685,96.7311,93.6878,99.0018,100.0000,0.0000,1.2233,60
SF+S3,K20,N5K,8,98.6067,98.1078,98.3474,96.7530,99.4304,100.0000,0.0000,0.6684,63
SF+S3,K20,N5K,9,92.9820,99.9036,96.2924,92.8956,98.4036,100.0000,0.0000,1.2793,63
SF+S3,K20,VF,1,99.6808,97.6878,98.6009,97.3807,99.9304,98.8304,0.5848,0.9863,172
SF+S3,K20,VF,10,94.8364,99.7233,97.2107,94.5822,99.6572,100.0000,0.0000,1.3241,207
SF+S3,K20,VF,11,41.1031,72.8996,45.7362,32.4801,93.1867,13.5000,5.5000,7.3618,201
SF+S3,K20,VF,2,95.7861,99.6810,97.6817,95.4872,99.8323,100.0000,0.0000,0.8205,232
SF+S3,K20,VF,3,96.7234,99.7893,98.2277,96.5374,99.7628,100.0000,0.4525,0.9134,222
SF+S3,K20,VF,4,96.6179,99.9236,98.2390,96.5452,99.7737,100.0000,0.0000,0.9526,177
SF+S3,K20,VF,5,97.5711,96.9227,96.9386,94.5501,99.9130,97.1963,1.4019,2.3904,215
SF+S3,K20,VF,6,95.1349,99.9358,97.4674,95.0764,99.7437,100.0000,0.0000,0.7823,216
SF+S3,K20,VF,7,94.4246,99.9179,97.0870,94.3496,99.6270,100.0000,0.0000,1.2903,225
SF+S3,K20,VF,8,97.8783,99.5910,98.7236,97.4857,99.9202,100.0000,0.0000,0.5651,213
SF+S3,K20,VF,9,98.2571,99.6170,98.9299,97.8851,99.9339,100.0000,0.0000,0.3900,228
SF+S3,K20,MTF,1,91.9266,99.6689,95.1665,91.6382,99.6873,96.4646,1.5152,3.2221,199
SF+S3,K20,MTF,10,99.1746,96.5197,97.8262,95.7507,99.7489,100.0000,0.0000,0.7325,30
SF+S3,K20,MTF,11,92.7250,93.2795,92.8972,86.8944,99.7830,100.0000,0.0000,4.1966,30
SF+S3,K20,MTF,13,96.6420,98.2765,96.8343,94.9522,99.3751,93.1034,3.4483,6.3484,30
SF+S3,K20,MTF,14,97.4286,99.6464,98.5193,97.0924,99.7505,100.0000,0.0000,0.9230,30
SF+S3,K20,MTF,2,99.1838,99.1347,99.1579,98.3308,99.8948,100.0000,0.0000,0.2228,200
SF+S3,K20,MTF,3,99.1838,99.1347,99.1579,98.3308,99.8948,100.0000,0.0000,0.2228,200
SF+S3,K20,MTF,4,99.9875,95.0034,97.4287,94.9920,99.7525,100.0000,0.0000,0.3735,200
SF+S3,K20,MTF,5,99.0113,99.5004,99.2532,98.5221,99.8937,100.0000,0.0000,0.2332,200
SF+S3,K20,MTF,6,98.7659,99.0972,98.9285,97.8817,99.9475,100.0000,0.0000,0.2743,200
SF+S3,K20,MTF,7,98.5286,89.2584,93.3114,87.9058,99.7089,100.0000,0.0000,1.5928,200
SF+S3,K20,MTF,8,99.9143,65.4545,76.8227,65.3909,98.9847,73.3668,1.5075,3.0974,200
SF+S3,K20,MTF,9,98.7498,98.0779,98.4083,96.8766,99.8403,100.0000,0.0000,1.1064,30
