method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
SF+S3,K30_union,N5K,1,93.8653,99.9652,96.8160,93.8345,97.7571,100.0000,0.0000,0.9125,64
SF+S3,K30_union,N5K,10,93.4651,99.1659,96.2207,92.7331,98.1364,100.0000,0.0000,1.1755,58
SF+S3,K30_union,N5K,2,98.1181,97.4804,97.7892,95.6810,99.3618,100.0000,0.0000,0.5008,61
SF+S3,K30_union,N5K,3,97.4857,98.2117,97.8394,95.7747,99.4049,100.0000,0.0000,0.5479,63
SF+S3,K30_union,N5K,4,90.9406,99.9763,95.2358,90.9210,99.2135,100.0000,0.0000,1.0760,63
SF+S3,K30_union,N5K,5,92.5304,99.7296,95.9886,92.2991,97.7720,100.0000,0.0000,0.8055,61
SF+S3,K30_union,N5K,6,89.5344,99.9823,94.4589,89.5196,97.6478,100.0000,0.0000,1.5978,65
SF+S3,K30_union,N5K,7,93.6347,99.9597,96.6847,93.5985,98.9856,100.0000,0.0000,1.2505,60
SF+S3,K30_union,N5K,8,97.8068,98.8594,98.3205,96.7002,99.4212,100.0000,0.0000,0.7816,63
SF+S3,K30_union,N5K,9,92.8765,99.8982,96.2331,92.7851,98.3839,100.0000,0.0000,1.2082,63
SF+S3,K30_union,VF,1,99.4159,98.3671,98.8589,97.8115,99.9347,100.0000,0.5848,0.9346,172
SF+S3,K30_union,VF,10,93.6578,99.7565,96.5507,93.4390,99.5962,100.0000,0.4854,1.4665,207
SF+S3,K30_union,VF,11,41.0255,73.0440,45.7432,32.4894,93.1734,14.5000,5.5000,7.3495,201
SF+S3,K30_union,VF,2,94.3624,99.7647,96.9694,94.1453,99.7690,100.0000,0.0000,1.2072,232
SF+S3,K30_union,VF,3,95.5477,99.8768,97.6513,95.4459,99.6970,100.0000,0.0000,1.2660,222
SF+S3,K30_union,VF,4,96.6515,99.9188,98.2548,96.5743,99.7696,100.0000,0.0000,0.9408,177
SF+S3,K30_union,VF,5,97.9058,98.4219,98.1483,96.3819,99.9377,100.0000,0.4673,0.8648,215
SF+S3,K30_union,VF,6,93.9950,99.9646,96.8760,93.9638,99.6857,100.0000,0.0000,0.8312,216
SF+S3,K30_union,VF,7,93.9046,99.9415,96.8209,93.8529,99.5982,100.0000,0.0000,1.6320,225
SF+S3,K30_union,VF,8,97.0366,99.8288,98.4084,96.8754,99.8993,100.0000,0.0000,0.7047,213
SF+S3,K30_union,VF,9,96.6552,99.8625,98.1785,96.5258,99.8929,100.0000,0.4405,1.0917,228
