method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
SF+S3,base,N5K,1,94.2852,99.9516,97.0322,94.2420,97.9030,100.0000,0.0000,0.7760,64
SF+S3,base,N5K,10,93.5089,98.9682,96.1515,92.6040,98.1053,100.0000,0.0000,1.1514,58
SF+S3,base,N5K,2,99.0621,96.1623,97.5852,95.2924,99.3202,100.0000,0.0000,0.5727,61
SF+S3,base,N5K,3,98.0185,97.6178,97.8072,95.7156,99.3915,100.0000,0.0000,0.6432,63
SF+S3,base,N5K,4,91.4565,99.9598,95.5109,91.4232,99.2645,100.0000,0.0000,1.0141,63
SF+S3,base,N5K,5,93.3383,99.6581,96.3891,93.0422,97.9965,100.0000,0.0000,0.6650,61
SF+S3,base,N5K,6,90.0951,99.9704,94.7670,90.0710,97.7892,100.0000,0.0000,1.3485,65
SF+S3,base,N5K,7,94.1168,99.9521,96.9368,94.0733,99.0645,100.0000,0.0000,1.3170,60
SF+S3,base,N5K,8,98.6285,98.1081,98.3602,96.7774,99.4368,100.0000,0.0000,0.6442,63
SF+S3,base,N5K,9,93.3707,99.8897,96.5026,93.2715,98.4866,100.0000,0.0000,1.0676,63
SF+S3,base,VF,1,99.8347,97.7920,98.8012,97.6340,99.9154,100.0000,0.0000,0.4934,172
SF+S3,base,VF,10,94.8483,99.7027,97.2050,94.5739,99.6520,100.0000,0.0000,1.3289,207
SF+S3,base,VF,11,40.9670,73.1362,45.7119,32.4662,93.1519,13.5000,5.5000,7.3592,201
SF+S3,base,VF,2,95.7580,98.5545,97.0837,94.3953,99.7632,100.0000,0.0000,1.4023,232
SF+S3,base,VF,3,96.5025,99.7804,98.1087,96.3081,99.7379,100.0000,0.4525,1.0177,222
SF+S3,base,VF,4,96.6861,99.9122,98.2679,96.6025,99.7734,100.0000,0.0000,1.1038,177
SF+S3,base,VF,5,97.8164,98.4392,98.1113,96.3001,99.9355,100.0000,0.0000,0.7027,215
SF+S3,base,VF,6,94.8946,99.9334,97.3396,94.8338,99.7207,100.0000,0.0000,0.8716,216
SF+S3,base,VF,7,94.4478,99.9045,97.0908,94.3599,99.6343,100.0000,0.0000,1.5085,225
SF+S3,base,VF,8,97.3338,99.6944,98.4938,97.0429,99.9104,100.0000,0.0000,0.6874,213
SF+S3,base,VF,9,97.8934,99.7168,98.7939,97.6203,99.9233,100.0000,0.0000,0.6161,228
SF+S3,base,MTF,1,95.4546,99.4800,97.4116,94.9675,99.9259,100.0000,0.0000,1.4046,199
SF+S3,base,MTF,10,99.2831,96.1181,97.6693,95.4528,99.7340,100.0000,0.0000,1.1599,30
SF+S3,base,MTF,11,92.5969,94.4442,93.4269,87.8071,99.7992,100.0000,0.0000,3.8683,30
SF+S3,base,MTF,13,99.0762,98.0402,98.5300,97.1378,99.8119,100.0000,0.0000,1.8475,30
SF+S3,base,MTF,14,97.2649,99.6974,98.4618,96.9776,99.7265,100.0000,0.0000,1.0366,30
SF+S3,base,MTF,2,99.1780,99.0530,99.1142,98.2449,99.8891,100.0000,0.0000,0.2052,200
SF+S3,base,MTF,3,99.1780,99.0530,99.1142,98.2449,99.8891,100.0000,0.0000,0.2052,200
SF+S3,base,MTF,4,99.9889,95.0236,97.4394,95.0133,99.7567,100.0000,0.0000,0.5161,200
SF+S3,base,MTF,5,98.9902,99.5257,99.2556,98.5268,99.8940,100.0000,0.0000,0.2168,200
SF+S3,base,MTF,6,98.8453,98.8428,98.8422,97.7126,99.9430,100.0000,0.0000,0.2493,200
SF+S3,base,MTF,7,98.5635,91.7306,94.7472,90.3968,99.7666,100.0000,0.0000,1.4010,200
SF+S3,base,MTF,8,100.0000,36.3786,52.8109,36.3786,98.2108,8.5427,0.0000,1.0392,200
SF+S3,base,MTF,9,98.6595,98.3728,98.5120,97.0792,99.8504,100.0000,0.0000,1.1606,30
