method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
SF+X2,K30_accept_fresh,N5K,1,93.8393,99.9458,96.7930,93.7914,97.7305,100.0000,0.0000,0.7538,64
SF+X2,K30_accept_fresh,N5K,10,93.2928,98.2776,95.7038,91.7771,97.8786,100.0000,0.0000,1.3487,58
SF+X2,K30_accept_fresh,N5K,2,98.9420,95.2266,97.0269,94.2519,99.1405,100.0000,0.0000,0.6387,61
SF+X2,K30_accept_fresh,N5K,3,97.3400,97.0403,97.1805,94.5179,99.2456,100.0000,0.0000,0.4454,63
SF+X2,K30_accept_fresh,N5K,4,93.5167,99.8625,96.5791,93.3939,99.4470,100.0000,0.0000,0.6338,63
SF+X2,K30_accept_fresh,N5K,5,92.3340,99.2474,95.6528,91.6831,97.5854,100.0000,0.0000,0.8572,61
SF+X2,K30_accept_fresh,N5K,6,91.8660,99.8446,95.6820,91.7340,98.2039,100.0000,0.0000,1.0673,65
SF+X2,K30_accept_fresh,N5K,7,94.6187,99.9262,97.1901,94.5520,99.1567,100.0000,0.0000,1.2052,60
SF+X2,K30_accept_fresh,N5K,8,97.4705,98.2510,97.8485,95.7922,99.2512,100.0000,0.0000,0.6271,63
SF+X2,K30_accept_fresh,N5K,9,94.5655,98.6881,96.5614,93.3902,98.5497,100.0000,0.0000,1.1171,63
SF+X2,K30_accept_fresh,VF,1,99.6932,95.0002,97.1720,94.7371,99.8737,98.8304,1.1696,1.7288,172
SF+X2,K30_accept_fresh,VF,10,95.9434,99.3272,97.5579,95.3146,99.6996,100.0000,0.4854,1.1899,207
SF+X2,K30_accept_fresh,VF,11,41.0799,72.9022,45.7157,32.4944,93.1644,15.5000,5.5000,7.3817,201
SF+X2,K30_accept_fresh,VF,2,95.4007,98.0362,96.6707,93.6188,99.7570,100.0000,0.0000,1.5035,232
SF+X2,K30_accept_fresh,VF,3,96.3598,98.9242,97.4819,95.4456,99.7281,98.1900,1.8100,2.1113,222
SF+X2,K30_accept_fresh,VF,4,98.0914,99.5017,98.7879,97.6094,99.8465,100.0000,0.0000,0.6050,177
SF+X2,K30_accept_fresh,VF,5,98.6977,96.2878,97.2881,95.0749,99.9178,99.0654,1.8692,2.3696,215
SF+X2,K30_accept_fresh,VF,6,95.8625,99.7492,97.7614,95.6394,99.7558,100.0000,0.0000,0.9519,216
SF+X2,K30_accept_fresh,VF,7,96.8206,99.3601,98.0666,96.2158,99.7353,100.0000,0.0000,0.9792,225
SF+X2,K30_accept_fresh,VF,8,97.0734,98.7678,97.9068,96.7914,99.9195,98.5849,0.9434,1.2540,213
SF+X2,K30_accept_fresh,VF,9,97.5263,99.6998,98.5707,97.2384,99.9078,100.0000,0.4405,0.8136,228
SF+X2,K30_accept_fresh,MTF,1,82.0618,99.9115,87.6401,81.9941,98.6733,88.3838,3.0303,3.2718,199
SF+X2,K30_accept_fresh,MTF,10,99.4482,96.1641,97.7776,95.6573,99.7473,100.0000,0.0000,0.5520,30
SF+X2,K30_accept_fresh,MTF,11,93.3201,95.2964,94.2408,89.2226,99.8229,100.0000,0.0000,3.8356,30
SF+X2,K30_accept_fresh,MTF,13,98.5134,98.7432,98.6068,97.2924,99.8151,100.0000,0.0000,1.7799,30
SF+X2,K30_accept_fresh,MTF,14,98.4658,99.6943,99.0751,98.1718,99.8355,100.0000,0.0000,0.6575,30
SF+X2,K30_accept_fresh,MTF,2,99.3667,99.3318,99.3472,98.7044,99.9177,100.0000,0.0000,0.2443,200
SF+X2,K30_accept_fresh,MTF,3,99.3667,99.3318,99.3472,98.7044,99.9177,100.0000,0.0000,0.2443,200
SF+X2,K30_accept_fresh,MTF,4,99.9987,94.2718,97.0481,94.2707,99.7203,100.0000,0.0000,0.2421,200
SF+X2,K30_accept_fresh,MTF,5,99.1647,99.7398,99.4496,98.9087,99.9217,100.0000,0.0000,0.2303,200
SF+X2,K30_accept_fresh,MTF,6,99.7161,97.3721,98.5161,97.1013,99.9312,100.0000,0.0000,0.5739,200
SF+X2,K30_accept_fresh,MTF,7,92.0984,96.0789,93.7318,88.6393,99.7035,100.0000,0.0000,1.5695,200
SF+X2,K30_accept_fresh,MTF,8,99.9105,67.4605,78.8583,67.3950,99.0506,77.3869,0.5025,2.0200,200
SF+X2,K30_accept_fresh,MTF,9,98.9705,98.5808,98.7725,97.5836,99.8780,100.0000,0.0000,0.9175,30
