method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
SF+X2,K30_union,N5K,1,93.1902,99.9763,96.4605,93.1694,97.5048,100.0000,0.0000,0.7463,64
SF+X2,K30_union,N5K,10,92.6895,98.9790,95.7161,91.8023,97.8721,100.0000,0.0000,1.3905,58
SF+X2,K30_union,N5K,2,98.5727,96.4596,97.4911,95.1188,99.2699,100.0000,0.0000,0.5005,61
SF+X2,K30_union,N5K,3,96.6450,97.5329,97.0800,94.3286,99.2252,100.0000,0.0000,0.5114,63
SF+X2,K30_union,N5K,4,92.9486,99.8792,96.2830,92.8413,99.4000,100.0000,0.0000,0.6411,63
SF+X2,K30_union,N5K,5,90.9313,99.5013,95.0026,90.5135,97.1896,100.0000,0.0000,0.9456,61
SF+X2,K30_union,N5K,6,91.1848,99.9146,95.3443,91.1134,98.0569,100.0000,0.0000,1.0675,65
SF+X2,K30_union,N5K,7,94.3349,99.9363,97.0452,94.2777,99.1090,100.0000,0.0000,1.1856,60
SF+X2,K30_union,N5K,8,96.4336,98.6245,97.5022,95.1303,99.1386,100.0000,0.0000,0.9169,63
SF+X2,K30_union,N5K,9,93.6704,98.9378,96.2118,92.7440,98.3984,100.0000,0.0000,1.1353,63
SF+X2,K30_union,VF,1,98.9429,99.0108,98.9448,97.9733,99.9329,100.0000,0.5848,0.7457,172
SF+X2,K30_union,VF,10,95.0447,99.6248,97.2353,94.7011,99.6694,100.0000,0.4854,1.3308,207
SF+X2,K30_union,VF,11,40.8645,73.3674,45.7110,32.5085,93.1080,16.0000,5.5000,7.3387,201
SF+X2,K30_union,VF,2,94.9719,99.4909,97.1608,94.5091,99.7818,100.0000,0.0000,1.0211,232
SF+X2,K30_union,VF,3,95.7708,99.1533,97.3008,95.0818,99.6942,98.1900,1.8100,2.1119,222
SF+X2,K30_union,VF,4,97.5243,99.7493,98.6217,97.2855,99.8254,100.0000,0.0000,0.6666,177
SF+X2,K30_union,VF,5,96.5434,99.3502,97.9169,95.9345,99.9257,100.0000,0.0000,0.7848,215
SF+X2,K30_union,VF,6,94.7138,99.8156,97.1900,94.5553,99.6942,100.0000,0.0000,1.0195,216
SF+X2,K30_union,VF,7,96.4471,99.6242,98.0038,96.0934,99.7251,100.0000,0.0000,0.9660,225
SF+X2,K30_union,VF,8,96.4478,98.9133,97.6593,96.3097,99.9077,98.5849,0.4717,1.2240,213
SF+X2,K30_union,VF,9,97.1582,99.8394,98.4516,97.0059,99.8977,100.0000,0.4405,0.7936,228
SF+X2,K30_union,MTF,1,81.5608,99.9667,87.3512,81.5344,98.6577,88.3838,3.0303,3.2464,199
SF+X2,K30_union,MTF,10,99.4482,96.1641,97.7776,95.6573,99.7473,100.0000,0.0000,0.5520,30
SF+X2,K30_union,MTF,11,93.3201,95.2964,94.2408,89.2226,99.8229,100.0000,0.0000,3.8356,30
SF+X2,K30_union,MTF,13,98.5134,98.7432,98.6068,97.2924,99.8151,100.0000,0.0000,1.7799,30
SF+X2,K30_union,MTF,14,98.4658,99.6943,99.0751,98.1718,99.8355,100.0000,0.0000,0.6575,30
SF+X2,K30_union,MTF,2,98.5447,99.9435,99.2380,98.4896,99.9027,100.0000,0.0000,0.1791,200
SF+X2,K30_union,MTF,3,98.5447,99.9435,99.2380,98.4896,99.9027,100.0000,0.0000,0.1791,200
SF+X2,K30_union,MTF,4,99.9987,94.8807,97.3699,94.8795,99.7499,100.0000,0.0000,0.2221,200
SF+X2,K30_union,MTF,5,98.8861,99.9331,99.4055,98.8216,99.9156,100.0000,0.0000,0.2019,200
SF+X2,K30_union,MTF,6,99.1964,99.3538,99.2742,98.5610,99.9632,100.0000,0.0000,0.2282,200
SF+X2,K30_union,MTF,7,91.0395,99.5927,94.8294,90.6883,99.7557,100.0000,0.0000,1.3954,200
SF+X2,K30_union,MTF,8,99.8701,68.2025,79.6149,68.1177,99.0704,80.4020,0.0000,1.3591,200
SF+X2,K30_union,MTF,9,98.9705,98.5808,98.7725,97.5836,99.8780,100.0000,0.0000,0.9175,30
