method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
SF+X2,K45,N5K,1,93.4163,99.9695,96.5782,93.3894,97.5883,100.0000,0.0000,0.7583,64
SF+X2,K45,N5K,10,92.6706,99.1716,95.7983,91.9514,97.9136,100.0000,0.0000,1.2264,58
SF+X2,K45,N5K,2,98.7890,95.8998,97.3101,94.7779,99.2192,100.0000,0.0000,0.5278,61
SF+X2,K45,N5K,3,97.1358,97.1743,97.1477,94.4559,99.2403,100.0000,0.0000,0.4653,63
SF+X2,K45,N5K,4,93.9036,99.8587,96.7847,93.7786,99.4795,100.0000,0.0000,0.5559,63
SF+X2,K45,N5K,5,91.3265,98.8949,94.9381,90.4041,97.1617,100.0000,0.0000,1.0013,61
SF+X2,K45,N5K,6,91.5571,99.8685,95.5253,91.4459,98.1340,100.0000,0.0000,1.1056,65
SF+X2,K45,N5K,7,94.7087,99.9045,97.2292,94.6226,99.1637,100.0000,0.0000,1.2288,60
SF+X2,K45,N5K,8,96.8693,97.9058,97.3734,94.8868,99.1045,100.0000,0.0000,0.8936,63
SF+X2,K45,N5K,9,93.2008,98.2377,95.6358,91.7169,98.1910,100.0000,0.0000,1.0017,63
SF+X2,K45,VF,1,99.1629,99.0051,99.0827,98.1839,99.9371,100.0000,0.0000,0.2650,172
SF+X2,K45,VF,10,96.0056,99.4447,97.6863,95.4866,99.7086,100.0000,0.0000,1.0780,207
SF+X2,K45,VF,11,40.8502,73.3777,45.7024,32.4988,93.1050,15.0000,5.5000,7.3392,201
SF+X2,K45,VF,2,96.3233,99.1477,97.7033,95.5296,99.8146,100.0000,0.0000,0.8743,232
SF+X2,K45,VF,3,96.8888,99.1471,97.9174,96.1024,99.7478,99.0950,0.9050,1.4396,222
SF+X2,K45,VF,4,97.8682,99.6681,98.7570,97.5499,99.8469,100.0000,0.0000,0.6370,177
SF+X2,K45,VF,5,90.3679,97.9625,92.1481,88.5201,99.5893,86.4486,3.2710,3.8188,215
SF+X2,K45,VF,6,95.3154,99.7809,97.4894,95.1219,99.7262,100.0000,0.0000,0.9436,216
SF+X2,K45,VF,7,97.4361,99.2224,98.3136,96.6879,99.7682,100.0000,0.0000,0.7139,225
SF+X2,K45,VF,8,97.7426,99.0188,98.3409,97.2487,99.9370,99.0566,1.4151,1.2491,213
SF+X2,K45,VF,9,98.6050,99.3450,98.9719,97.9659,99.9313,100.0000,0.0000,0.3138,228
SF+X2,K45,MTF,1,92.6277,99.9343,95.5694,92.5696,99.8141,95.9596,1.5152,1.9280,199
SF+X2,K45,MTF,10,99.4482,96.1641,97.7776,95.6573,99.7473,100.0000,0.0000,0.5520,30
SF+X2,K45,MTF,11,93.3201,95.2964,94.2408,89.2226,99.8229,100.0000,0.0000,3.8356,30
SF+X2,K45,MTF,13,98.5134,98.7432,98.6068,97.2924,99.8151,100.0000,0.0000,1.7799,30
SF+X2,K45,MTF,14,98.4658,99.6943,99.0751,98.1718,99.8355,100.0000,0.0000,0.6575,30
SF+X2,K45,MTF,2,98.9117,99.9090,99.4070,98.8224,99.9237,100.0000,0.0000,0.1642,200
SF+X2,K45,MTF,3,98.9117,99.9090,99.4070,98.8224,99.9237,100.0000,0.0000,0.1642,200
SF+X2,K45,MTF,4,99.9999,94.4813,97.1598,94.4812,99.7313,100.0000,0.0000,0.2402,200
SF+X2,K45,MTF,5,99.1731,99.8408,99.5043,99.0169,99.9292,100.0000,0.0000,0.1799,200
SF+X2,K45,MTF,6,99.4430,98.9750,99.2078,98.4299,99.9603,100.0000,0.0000,0.1937,200
SF+X2,K45,MTF,7,95.3206,99.5561,97.2218,94.9075,99.8752,100.0000,0.0000,0.9059,200
SF+X2,K45,MTF,8,99.9983,61.8486,74.1097,61.8473,98.9052,68.3417,0.0000,2.1540,200
SF+X2,K45,MTF,9,98.9705,98.5808,98.7725,97.5836,99.8780,100.0000,0.0000,0.9175,30
