method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
SF+X2,base,N5K,1,93.2409,99.9744,96.4862,93.2184,97.5347,100.0000,0.0000,0.7949,64
SF+X2,base,N5K,10,92.6997,99.0310,95.7477,91.8609,97.8933,100.0000,0.0000,1.3099,58
SF+X2,base,N5K,2,98.8837,95.5808,97.1894,94.5497,99.1940,100.0000,0.0000,0.5538,61
SF+X2,base,N5K,3,97.2090,97.2169,97.2069,94.5685,99.2582,100.0000,0.0000,0.4883,63
SF+X2,base,N5K,4,93.3135,99.8670,96.4735,93.1960,99.4335,100.0000,0.0000,0.6213,63
SF+X2,base,N5K,5,90.8924,99.3209,94.8964,90.3276,97.1326,100.0000,0.0000,0.9782,61
SF+X2,base,N5K,6,91.2357,99.8896,95.3601,91.1437,98.0626,100.0000,0.0000,1.0994,65
SF+X2,base,N5K,7,94.4917,99.9239,97.1226,94.4232,99.1299,100.0000,0.0000,1.2593,60
SF+X2,base,N5K,8,97.2027,96.6229,96.9007,93.9987,98.9450,100.0000,0.0000,0.9073,63
SF+X2,base,N5K,9,93.4396,98.1950,95.7447,91.9014,98.2268,100.0000,0.0000,1.0453,63
SF+X2,base,VF,1,99.0780,98.8660,98.9687,97.9601,99.9263,100.0000,0.0000,0.2982,172
SF+X2,base,VF,10,95.5952,99.5901,97.5435,95.2152,99.6976,100.0000,0.0000,1.0603,207
SF+X2,base,VF,11,40.8316,73.3721,45.6852,32.4737,93.1049,15.5000,5.5000,7.3276,201
SF+X2,base,VF,2,95.5917,98.5544,97.0148,94.2503,99.7545,100.0000,0.0000,1.2174,232
SF+X2,base,VF,3,96.3016,99.0863,97.5832,95.6187,99.7283,98.1900,0.9050,1.7729,222
SF+X2,base,VF,4,97.5422,99.7226,98.6177,97.2772,99.8274,100.0000,0.0000,0.6730,177
SF+X2,base,VF,5,96.4797,99.2921,97.8598,95.8169,99.9258,100.0000,0.0000,0.6374,215
SF+X2,base,VF,6,94.9164,99.8372,97.3088,94.7781,99.7088,100.0000,0.0000,0.9052,216
SF+X2,base,VF,7,96.8778,99.4769,98.1543,96.3802,99.7454,100.0000,0.0000,0.8040,225
SF+X2,base,VF,8,97.0274,98.7658,97.8842,96.7499,99.9291,98.5849,0.9434,1.2516,213
SF+X2,base,VF,9,98.2797,99.5385,98.9041,97.8332,99.9261,100.0000,0.0000,0.3272,228
SF+X2,base,MTF,1,97.8398,99.7469,98.7792,97.5976,99.9643,100.0000,0.0000,0.4745,199
SF+X2,base,MTF,10,99.3435,96.0859,97.6858,95.4812,99.7351,100.0000,0.0000,0.5891,30
SF+X2,base,MTF,11,93.2886,95.4250,94.2909,89.3193,99.8243,100.0000,0.0000,4.0063,30
SF+X2,base,MTF,13,98.5763,98.4963,98.5246,97.1165,99.8100,100.0000,0.0000,2.0462,30
SF+X2,base,MTF,14,98.3456,99.7024,99.0182,98.0596,99.8242,100.0000,0.0000,0.6289,30
SF+X2,base,MTF,2,99.0571,99.8210,99.4360,98.8799,99.9281,100.0000,0.0000,0.1510,200
SF+X2,base,MTF,3,99.0571,99.8210,99.4360,98.8799,99.9281,100.0000,0.0000,0.1510,200
SF+X2,base,MTF,4,99.9999,94.4086,97.1215,94.4085,99.7249,100.0000,0.0000,0.2518,200
SF+X2,base,MTF,5,99.0075,99.8756,99.4385,98.8867,99.9201,100.0000,0.0000,0.1856,200
SF+X2,base,MTF,6,99.4628,98.8682,99.1630,98.3417,99.9588,100.0000,0.0000,0.2109,200
SF+X2,base,MTF,7,96.9805,98.9293,97.8300,95.9385,99.9025,100.0000,0.0000,0.9655,200
SF+X2,base,MTF,8,99.9982,63.5348,75.9868,63.5335,98.9528,73.8693,0.0000,1.7684,200
SF+X2,base,MTF,9,98.9988,98.4694,98.7303,97.5011,99.8729,100.0000,0.0000,0.9289,30
