method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
SeTM+S2,K10,N5K,1,93.7823,99.2694,96.4430,93.2417,97.4558,100.0000,0.0000,2.8753,64
SeTM+S2,K10,N5K,10,90.7603,97.9822,94.1943,89.4438,97.1168,100.0000,3.5088,5.4774,58
SeTM+S2,K10,N5K,2,96.2948,97.2063,96.7347,93.9216,99.0568,100.0000,6.6667,3.9639,61
SeTM+S2,K10,N5K,3,95.0676,97.2421,96.1192,92.7814,98.9476,100.0000,4.8387,4.1200,63
SeTM+S2,K10,N5K,4,95.4168,98.6972,97.0131,94.4667,99.5580,100.0000,3.2258,3.0744,63
SeTM+S2,K10,N5K,5,91.1765,97.5735,94.2207,89.5801,96.7264,100.0000,8.3333,5.9209,61
SeTM+S2,K10,N5K,6,92.3597,98.8412,95.4818,91.5955,98.1350,100.0000,3.1250,3.3566,65
SeTM+S2,K10,N5K,7,92.5646,98.2056,95.2891,91.5546,98.4997,100.0000,6.7797,6.1829,60
SeTM+S2,K10,N5K,8,96.4263,97.8513,97.1230,94.6704,99.0215,100.0000,6.4516,4.4357,63
SeTM+S2,K10,N5K,9,93.8374,97.1442,95.4398,91.8210,97.9646,100.0000,9.6774,6.7228,63
SeTM+S2,K10,VF,1,98.8168,99.6931,99.2521,98.5173,99.9547,100.0000,0.0000,0.2276,172
SeTM+S2,K10,VF,10,95.2267,99.7388,97.4229,94.9839,99.6845,100.0000,0.0000,1.0657,207
SeTM+S2,K10,VF,11,41.1723,72.7456,45.7385,32.4878,93.2002,14.5000,5.5000,7.4003,201
SeTM+S2,K10,VF,2,96.6596,99.2537,97.8093,95.9648,99.8202,99.1342,0.4329,1.6745,232
SeTM+S2,K10,VF,3,96.7401,99.8420,98.2638,96.6048,99.7679,100.0000,0.0000,0.8582,222
SeTM+S2,K10,VF,4,97.5789,99.8317,98.6901,97.4176,99.8429,100.0000,0.0000,0.6704,177
SeTM+S2,K10,VF,5,96.2774,99.7162,97.9609,96.0128,99.9323,100.0000,0.0000,0.7417,215
SeTM+S2,K10,VF,6,98.6462,99.4258,99.0324,98.0880,99.9031,100.0000,0.0000,0.4102,216
SeTM+S2,K10,VF,7,95.5669,99.8922,97.6771,95.4672,99.7131,100.0000,0.0000,0.9912,225
SeTM+S2,K10,VF,8,97.5156,99.5627,98.2904,97.1179,99.8846,96.2264,1.8868,2.5100,213
SeTM+S2,K10,VF,9,97.4531,99.9136,98.6666,97.3714,99.9173,100.0000,0.0000,0.4109,228
SeTM+S2,K10,MTF,1,98.2508,97.5227,97.8706,95.9651,99.9388,100.0000,1.5152,2.2232,199
SeTM+S2,K10,MTF,10,98.8363,90.6130,94.4145,89.5916,99.3541,100.0000,0.0000,2.2415,30
SeTM+S2,K10,MTF,11,93.4743,97.4194,95.3446,91.2118,99.8549,100.0000,0.0000,4.0186,30
SeTM+S2,K10,MTF,13,99.9806,95.7092,97.7762,95.6914,99.7215,100.0000,0.0000,1.9700,30
SeTM+S2,K10,MTF,14,98.8472,99.6362,99.2370,98.4903,99.8695,100.0000,0.0000,0.6933,30
SeTM+S2,K10,MTF,2,98.2611,98.5845,98.4186,97.1578,99.7999,100.0000,3.5176,2.8102,200
SeTM+S2,K10,MTF,3,98.2611,98.5845,98.4186,97.1578,99.7999,100.0000,3.5176,2.8102,200
SeTM+S2,K10,MTF,4,99.8584,93.8858,96.7772,93.8029,99.6933,100.0000,0.5025,0.8286,200
SeTM+S2,K10,MTF,5,96.9223,98.4018,97.6383,95.7681,99.6721,100.0000,5.5276,4.4107,200
SeTM+S2,K10,MTF,6,96.2889,99.3609,97.7897,95.8468,99.8919,100.0000,2.0101,2.0960,200
SeTM+S2,K10,MTF,7,92.6398,96.6970,94.3791,89.7099,99.7218,100.0000,0.5025,1.7754,200
SeTM+S2,K10,MTF,8,99.5119,93.3595,96.1123,92.9388,99.8041,98.9950,4.0201,4.3897,200
SeTM+S2,K10,MTF,9,99.2293,97.5091,98.3572,96.7735,99.8353,100.0000,0.0000,1.0742,30
