method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
SeTM+S2,K30_accept_fresh,N5K,1,94.0040,99.9919,96.9025,93.9969,97.7942,100.0000,0.0000,0.7418,64
SeTM+S2,K30_accept_fresh,N5K,10,93.3124,99.2715,96.1858,92.6651,98.1246,100.0000,0.0000,1.1783,58
SeTM+S2,K30_accept_fresh,N5K,2,96.7576,99.0769,97.8928,95.8787,99.3821,100.0000,0.0000,0.5961,61
SeTM+S2,K30_accept_fresh,N5K,3,95.6773,98.8815,97.2415,94.6353,99.2454,100.0000,0.0000,0.6841,63
SeTM+S2,K30_accept_fresh,N5K,4,97.5821,99.2729,98.4162,96.8857,99.7528,100.0000,0.0000,0.4567,63
SeTM+S2,K30_accept_fresh,N5K,5,94.4095,99.2346,96.7522,93.7192,98.2188,100.0000,0.0000,0.7577,61
SeTM+S2,K30_accept_fresh,N5K,6,93.2383,99.7913,96.3968,93.0553,98.5205,100.0000,0.0000,1.1849,65
SeTM+S2,K30_accept_fresh,N5K,7,94.0563,99.9283,96.8947,93.9921,99.0457,100.0000,0.0000,1.3342,60
SeTM+S2,K30_accept_fresh,N5K,8,98.0581,98.5055,98.2698,96.6048,99.4056,100.0000,0.0000,0.7968,63
SeTM+S2,K30_accept_fresh,N5K,9,97.2713,99.0668,98.1527,96.3793,99.2142,100.0000,0.0000,0.8916,63
SeTM+S2,K30_accept_fresh,VF,1,99.4667,98.9002,99.1788,98.3777,99.9497,100.0000,0.0000,0.4209,172
SeTM+S2,K30_accept_fresh,VF,10,95.3950,99.7032,97.4900,95.1205,99.6874,100.0000,0.0000,1.2395,207
SeTM+S2,K30_accept_fresh,VF,11,41.1984,72.6117,45.7224,32.4781,93.2068,14.5000,5.5000,7.4159,201
SeTM+S2,K30_accept_fresh,VF,2,96.3660,95.9793,96.0980,92.6116,99.6903,100.0000,0.0000,1.4878,232
SeTM+S2,K30_accept_fresh,VF,3,96.4358,99.8062,98.0897,96.2711,99.7453,100.0000,0.0000,0.8979,222
SeTM+S2,K30_accept_fresh,VF,4,96.8987,99.8677,98.3575,96.7744,99.8063,100.0000,0.0000,0.8517,177
SeTM+S2,K30_accept_fresh,VF,5,97.8261,99.0293,98.4182,96.8921,99.9477,100.0000,0.0000,0.6979,215
SeTM+S2,K30_accept_fresh,VF,6,98.9431,99.0786,99.0074,98.0487,99.9039,100.0000,0.0000,0.6711,216
SeTM+S2,K30_accept_fresh,VF,7,95.6229,99.8153,97.6698,95.4521,99.7053,100.0000,0.0000,0.9626,225
SeTM+S2,K30_accept_fresh,VF,8,96.7831,99.6762,98.0236,96.4802,99.7818,98.5849,0.9434,1.4690,213
SeTM+S2,K30_accept_fresh,VF,9,96.6334,99.7952,98.1820,96.4471,99.8890,100.0000,0.0000,0.8278,228
SeTM+S2,K30_accept_fresh,MTF,1,98.4754,98.2145,98.3356,96.7316,99.9522,100.0000,0.0000,0.6403,199
SeTM+S2,K30_accept_fresh,MTF,10,98.8436,92.1624,95.2729,91.1465,99.4459,100.0000,0.0000,1.8550,30
SeTM+S2,K30_accept_fresh,MTF,11,93.4024,98.0246,95.5989,91.6777,99.8621,100.0000,0.0000,3.8892,30
SeTM+S2,K30_accept_fresh,MTF,13,99.8909,96.8271,98.3162,96.7250,99.7871,100.0000,0.0000,1.6807,30
SeTM+S2,K30_accept_fresh,MTF,14,98.9200,99.5592,99.2358,98.4869,99.8677,100.0000,0.0000,0.6670,30
SeTM+S2,K30_accept_fresh,MTF,2,98.9312,99.5266,99.2267,98.4663,99.9016,100.0000,0.0000,0.2362,200
SeTM+S2,K30_accept_fresh,MTF,3,98.9312,99.5266,99.2267,98.4663,99.9016,100.0000,0.0000,0.2362,200
SeTM+S2,K30_accept_fresh,MTF,4,99.9955,94.3851,97.1066,94.3811,99.7250,100.0000,0.0000,0.3355,200
SeTM+S2,K30_accept_fresh,MTF,5,99.0018,99.6541,99.3255,98.6623,99.9052,100.0000,0.0000,0.2554,200
SeTM+S2,K30_accept_fresh,MTF,6,96.5009,99.9320,98.1842,96.4373,99.9092,100.0000,0.0000,0.4689,200
SeTM+S2,K30_accept_fresh,MTF,7,93.0533,97.7943,95.1519,91.0855,99.7615,100.0000,0.0000,1.7019,200
SeTM+S2,K30_accept_fresh,MTF,8,99.6765,90.6232,94.5623,90.3307,99.7245,100.0000,1.0050,1.6734,200
SeTM+S2,K30_accept_fresh,MTF,9,99.6025,97.3604,98.4624,96.9802,99.8476,100.0000,0.0000,1.1990,30
