method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
SeTM+S2,K30_union,N5K,1,93.5740,99.9893,96.6651,93.5648,97.6202,100.0000,0.0000,1.2400,64
SeTM+S2,K30_union,N5K,10,92.2041,99.3957,95.5973,91.6913,97.8214,100.0000,1.7544,2.2550,58
SeTM+S2,K30_union,N5K,2,95.6741,99.3997,97.4783,95.1104,99.2607,100.0000,0.0000,1.1145,61
SeTM+S2,K30_union,N5K,3,94.8314,99.1770,96.9317,94.0798,99.1610,100.0000,0.0000,1.3085,63
SeTM+S2,K30_union,N5K,4,95.1418,99.5938,97.2578,94.7606,99.5648,100.0000,1.6129,1.5489,63
SeTM+S2,K30_union,N5K,5,93.1231,99.4219,96.1373,92.6222,97.8436,100.0000,0.0000,1.8352,61
SeTM+S2,K30_union,N5K,6,91.3988,99.8750,95.4196,91.2966,98.0949,100.0000,0.0000,2.2134,65
SeTM+S2,K30_union,N5K,7,93.2995,99.9572,96.4838,93.2615,98.8906,100.0000,1.6949,2.0530,60
SeTM+S2,K30_union,N5K,8,96.7486,99.0509,97.8615,95.8553,99.2625,100.0000,0.0000,1.7187,63
SeTM+S2,K30_union,N5K,9,95.8093,99.5354,97.6052,95.3781,98.9787,100.0000,0.0000,1.5793,63
SeTM+S2,K30_union,VF,1,98.7152,99.7236,99.2157,98.4459,99.9527,100.0000,0.0000,0.2399,172
SeTM+S2,K30_union,VF,10,94.4312,99.8092,97.0330,94.2551,99.6408,100.0000,0.0000,1.3065,207
SeTM+S2,K30_union,VF,11,41.1075,72.8242,45.7193,32.4754,93.1850,14.5000,5.5000,7.3918,201
SeTM+S2,K30_union,VF,2,95.4178,99.7067,97.5078,95.1525,99.8058,100.0000,0.0000,0.7414,232
SeTM+S2,K30_union,VF,3,95.9323,99.8802,97.8635,95.8362,99.7148,100.0000,0.0000,0.8628,222
SeTM+S2,K30_union,VF,4,96.6134,99.9257,98.2377,96.5435,99.7940,100.0000,0.0000,0.8569,177
SeTM+S2,K30_union,VF,5,95.7653,99.8059,97.7370,95.5857,99.9246,100.0000,0.0000,0.7603,215
SeTM+S2,K30_union,VF,6,98.2866,99.5563,98.9126,97.8602,99.8947,100.0000,0.0000,0.6368,216
SeTM+S2,K30_union,VF,7,94.9291,99.9292,97.3598,94.8645,99.6765,100.0000,0.0000,1.0142,225
SeTM+S2,K30_union,VF,8,96.4313,99.8283,97.9170,96.2715,99.7748,98.5849,0.9434,1.4744,213
SeTM+S2,K30_union,VF,9,96.0097,99.9558,97.9345,95.9693,99.8739,100.0000,0.0000,0.7654,228
SeTM+S2,K30_union,MTF,1,95.0664,99.1888,96.8353,94.3337,99.9018,98.9899,2.5253,2.5935,199
SeTM+S2,K30_union,MTF,10,98.8436,92.1624,95.2729,91.1465,99.4459,100.0000,0.0000,1.8550,30
SeTM+S2,K30_union,MTF,11,93.4024,98.0246,95.5989,91.6777,99.8621,100.0000,0.0000,3.8892,30
SeTM+S2,K30_union,MTF,13,99.8909,96.8271,98.3162,96.7250,99.7871,100.0000,0.0000,1.6807,30
SeTM+S2,K30_union,MTF,14,98.9200,99.5592,99.2358,98.4869,99.8677,100.0000,0.0000,0.6670,30
SeTM+S2,K30_union,MTF,2,96.7253,99.8688,98.1974,96.6126,99.7580,100.0000,2.5126,2.0517,200
SeTM+S2,K30_union,MTF,3,96.7253,99.8688,98.1974,96.6126,99.7580,100.0000,2.5126,2.0517,200
SeTM+S2,K30_union,MTF,4,98.6653,95.4739,96.8885,94.2289,99.6768,98.9950,3.0151,2.4738,200
SeTM+S2,K30_union,MTF,5,97.4741,99.8689,98.6207,97.3500,99.7992,100.0000,1.0050,1.5297,200
SeTM+S2,K30_union,MTF,6,94.5480,99.9547,97.0644,94.5079,99.8423,100.0000,3.0151,2.6318,200
SeTM+S2,K30_union,MTF,7,89.8670,98.9429,93.8185,89.0405,99.6725,97.9899,2.0101,3.4801,200
SeTM+S2,K30_union,MTF,8,98.2096,96.5665,97.2871,95.1119,99.8431,97.9899,3.0151,2.9115,200
SeTM+S2,K30_union,MTF,9,99.6025,97.3604,98.4624,96.9802,99.8476,100.0000,0.0000,1.1990,30
