method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
SeTM+S3,base,N5K,1,93.9916,99.9814,96.8900,93.9751,97.7932,100.0000,0.0000,0.8397,64
SeTM+S3,base,N5K,10,93.3869,99.4235,96.3015,92.8818,98.1791,100.0000,0.0000,1.1288,58
SeTM+S3,base,N5K,2,93.1585,99.5960,96.2574,92.7975,98.8907,100.0000,0.0000,1.0879,61
SeTM+S3,base,N5K,3,94.3942,99.0806,96.6678,93.5587,99.0686,100.0000,0.0000,0.8183,63
SeTM+S3,base,N5K,4,97.3959,99.4060,98.3880,96.8306,99.7449,100.0000,0.0000,0.5266,63
SeTM+S3,base,N5K,5,95.1080,99.1093,97.0632,94.3029,98.4020,100.0000,0.0000,0.7233,61
SeTM+S3,base,N5K,6,92.0289,99.8796,95.7874,91.9268,98.2493,100.0000,0.0000,1.1799,65
SeTM+S3,base,N5K,7,92.8253,99.9523,96.2467,92.7835,98.8526,100.0000,0.0000,1.5079,60
SeTM+S3,base,N5K,8,97.1187,99.2027,98.1441,96.3598,99.3551,100.0000,0.0000,0.9101,63
SeTM+S3,base,N5K,9,97.6935,99.0675,98.3713,96.7985,99.2933,100.0000,0.0000,0.7146,63
SeTM+S3,base,VF,1,99.3253,98.9249,99.1232,98.2642,99.9446,100.0000,0.0000,0.3377,172
SeTM+S3,base,VF,10,94.0318,99.7670,96.8032,93.8201,99.6009,100.0000,0.0000,1.5110,207
SeTM+S3,base,VF,11,41.1029,72.8228,45.7200,32.4646,93.1927,13.5000,5.5000,7.3861,201
SeTM+S3,base,VF,2,95.6689,96.2145,95.8490,92.1282,99.6202,100.0000,0.0000,1.3679,232
SeTM+S3,base,VF,3,95.9758,99.8772,97.8806,95.8729,99.7060,100.0000,0.4525,1.2103,222
SeTM+S3,base,VF,4,98.0067,99.5561,98.7721,97.5776,99.8562,100.0000,0.0000,0.6538,177
SeTM+S3,base,VF,5,96.9382,98.8961,97.8950,95.8846,99.9274,100.0000,0.0000,0.6724,215
SeTM+S3,base,VF,6,98.8732,98.9866,98.9255,97.8795,99.8927,100.0000,0.0000,0.4543,216
SeTM+S3,base,VF,7,93.8609,99.9489,96.8010,93.8146,99.5997,100.0000,0.0000,1.5885,225
SeTM+S3,base,VF,8,97.3855,99.5149,98.4337,96.9249,99.9093,100.0000,0.0000,0.7172,213
SeTM+S3,base,VF,9,97.0018,99.8165,98.3839,96.8273,99.8971,100.0000,0.0000,0.7990,228
SeTM+S3,base,MTF,1,98.2770,98.3136,98.2873,96.6368,99.9512,100.0000,0.0000,0.5725,199
SeTM+S3,base,MTF,10,97.0287,94.9686,95.6124,92.2600,99.4281,93.1034,0.0000,2.9286,30
SeTM+S3,base,MTF,11,93.3212,98.4049,95.7413,91.9382,99.8660,100.0000,0.0000,3.9362,30
SeTM+S3,base,MTF,13,99.9330,96.7490,98.2921,96.6841,99.7835,100.0000,0.0000,1.8736,30
SeTM+S3,base,MTF,14,98.8406,99.5596,99.1956,98.4080,99.8594,100.0000,0.0000,0.6940,30
SeTM+S3,base,MTF,2,98.3242,99.6029,98.9581,97.9389,99.8668,100.0000,0.0000,0.2150,200
SeTM+S3,base,MTF,3,98.3242,99.6029,98.9581,97.9389,99.8668,100.0000,0.0000,0.2150,200
SeTM+S3,base,MTF,4,99.8998,95.5593,97.6762,95.4655,99.7774,100.0000,0.0000,0.6517,200
SeTM+S3,base,MTF,5,99.3414,99.4669,99.4026,98.8140,99.9168,100.0000,0.0000,0.2580,200
SeTM+S3,base,MTF,6,96.4903,99.8644,98.1433,96.3619,99.9076,100.0000,0.0000,0.9561,200
SeTM+S3,base,MTF,7,94.3314,98.2493,96.1403,92.7673,99.8102,100.0000,0.0000,1.3086,200
SeTM+S3,base,MTF,8,99.7799,79.8763,88.5917,79.7299,99.4544,100.0000,0.0000,2.3168,200
SeTM+S3,base,MTF,9,99.6647,94.8141,97.1184,94.4942,99.7180,100.0000,0.0000,3.4257,30
