method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
Seg+S3,K30_accept_fresh,N5K,1,75.3058,99.9667,85.5266,75.2821,88.2857,100.0000,1.5873,1.7795,64
Seg+S3,K30_accept_fresh,N5K,10,89.1840,99.9390,94.2475,89.1361,97.1117,100.0000,0.0000,1.3175,58
Seg+S3,K30_accept_fresh,N5K,2,91.1056,99.0639,94.8741,90.3029,98.4484,100.0000,0.0000,0.9240,61
Seg+S3,K30_accept_fresh,N5K,3,89.5200,98.6199,93.7917,88.4222,98.2355,100.0000,0.0000,2.3864,63
Seg+S3,K30_accept_fresh,N5K,4,93.0683,90.3133,91.0388,84.6723,98.7047,98.3871,0.0000,3.4707,63
Seg+S3,K30_accept_fresh,N5K,5,87.4660,98.5686,92.4529,86.2515,95.5395,100.0000,1.6667,2.1843,61
Seg+S3,K30_accept_fresh,N5K,6,84.7226,95.0188,89.0256,80.8388,95.3974,100.0000,3.1250,3.1570,65
Seg+S3,K30_accept_fresh,N5K,7,84.9144,99.9290,91.5849,84.8601,96.9647,96.6102,1.6949,3.3939,60
Seg+S3,K30_accept_fresh,N5K,8,87.7485,99.5278,93.1775,87.3512,97.5150,100.0000,0.0000,2.5152,63
Seg+S3,K30_accept_fresh,N5K,9,87.3666,99.9460,93.0671,87.3271,96.5963,100.0000,1.6129,2.6210,63
Seg+S3,K30_accept_fresh,VF,1,99.9544,87.1654,92.8518,87.1290,99.5756,100.0000,4.0936,4.9313,172
Seg+S3,K30_accept_fresh,VF,10,98.2766,82.0998,87.8780,80.5059,99.3518,83.4951,3.8835,4.7123,207
Seg+S3,K30_accept_fresh,VF,11,41.8675,0.3317,0.6427,0.3278,94.8596,0.0000,0.0000,0.3203,201
Seg+S3,K30_accept_fresh,VF,2,0.0000,0.0000,0.0000,0.0000,95.0311,0.0000,0.0000,0.0000,232
Seg+S3,K30_accept_fresh,VF,3,99.3920,70.2447,80.2800,70.1521,98.7101,69.2308,2.7149,4.7137,222
Seg+S3,K30_accept_fresh,VF,4,98.5567,71.3889,78.3941,69.9708,99.0216,57.3864,5.6818,6.2301,177
Seg+S3,K30_accept_fresh,VF,5,99.9912,48.5136,63.6078,48.5122,99.1727,42.9907,0.9346,4.6127,215
Seg+S3,K30_accept_fresh,VF,6,99.8996,70.9426,79.8392,70.8550,98.9592,71.6279,2.7907,4.7539,216
Seg+S3,K30_accept_fresh,VF,7,98.5333,80.9323,87.1744,79.5853,99.2774,83.9286,3.5714,4.8550,225
Seg+S3,K30_accept_fresh,VF,8,39.3393,0.6240,1.1840,0.6237,96.2344,0.0000,0.0000,0.4461,213
Seg+S3,K30_accept_fresh,VF,9,100.0000,15.4258,25.8281,15.4258,97.0601,0.0000,0.4405,2.7462,228
