method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
Seg+S3,K30_union,N5K,1,68.3133,99.9969,81.1505,68.3119,84.3244,100.0000,0.0000,0.5981,64
Seg+S3,K30_union,N5K,10,88.4601,99.9757,93.8570,88.4409,96.9181,100.0000,0.0000,1.2396,58
Seg+S3,K30_union,N5K,2,87.6996,99.8766,93.3641,87.6007,97.9902,100.0000,0.0000,1.8465,61
Seg+S3,K30_union,N5K,3,88.5444,99.6058,93.6923,88.2359,98.1938,100.0000,0.0000,2.3054,63
Seg+S3,K30_union,N5K,4,91.9291,94.4621,92.5946,87.1488,98.9124,96.7742,3.2258,3.1862,63
Seg+S3,K30_union,N5K,5,83.2370,99.9442,90.5112,83.1956,94.2101,100.0000,3.3333,2.5338,61
Seg+S3,K30_union,N5K,6,84.2724,99.9703,91.3968,84.2551,96.2310,100.0000,1.5625,2.1391,65
Seg+S3,K30_union,N5K,7,84.9144,99.9290,91.5849,84.8601,96.9647,96.6102,1.6949,3.3939,60
Seg+S3,K30_union,N5K,8,85.9622,99.9814,92.3863,85.9482,97.2107,100.0000,0.0000,2.1939,63
Seg+S3,K30_union,N5K,9,85.9880,99.9917,92.3256,85.9818,96.3514,100.0000,1.6129,2.5601,63
Seg+S3,K30_union,VF,1,99.9544,87.1654,92.8518,87.1290,99.5756,100.0000,4.0936,4.9313,172
Seg+S3,K30_union,VF,10,95.3904,99.4684,97.3768,94.8967,99.6651,100.0000,0.0000,1.0633,207
Seg+S3,K30_union,VF,11,41.8675,0.3317,0.6427,0.3278,94.8596,0.0000,0.0000,0.3203,201
Seg+S3,K30_union,VF,2,0.0000,0.0000,0.0000,0.0000,95.0311,0.0000,0.0000,0.0000,232
Seg+S3,K30_union,VF,3,99.6901,87.6254,93.0257,87.4028,99.3314,98.1900,0.9050,3.7291,222
Seg+S3,K30_union,VF,4,95.8774,99.8284,97.8040,95.7163,99.6705,100.0000,0.0000,0.9707,177
Seg+S3,K30_union,VF,5,99.9370,79.0110,87.8092,78.9697,99.6377,95.3271,0.9346,3.5396,215
Seg+S3,K30_union,VF,6,99.6039,97.1554,98.3524,96.7790,99.8108,100.0000,0.0000,0.8397,216
Seg+S3,K30_union,VF,7,95.6616,99.6503,97.6056,95.3334,99.6881,100.0000,0.0000,1.1279,225
Seg+S3,K30_union,VF,8,39.3393,0.6240,1.1840,0.6237,96.2344,0.0000,0.0000,0.4461,213
Seg+S3,K30_union,VF,9,100.0000,30.6240,45.0052,30.6240,97.7841,10.1322,0.4405,3.3845,228
