method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
Seg+S3,K45,N5K,1,68.2706,99.9909,81.1198,68.2666,84.2850,100.0000,0.0000,0.6537,64
Seg+S3,K45,N5K,10,89.7466,99.9509,94.5656,89.7069,97.2739,100.0000,0.0000,1.1178,58
Seg+S3,K45,N5K,2,88.4407,99.8846,93.7886,88.3476,98.1105,100.0000,0.0000,1.4818,61
Seg+S3,K45,N5K,3,88.0237,99.1882,92.9888,87.3880,97.9034,95.1613,1.6129,2.7152,63
Seg+S3,K45,N5K,4,94.8221,93.0721,93.2802,88.6580,99.0340,93.5484,1.6129,2.4413,63
Seg+S3,K45,N5K,5,58.0158,99.9974,73.2606,58.0147,80.7202,88.3333,0.0000,1.3876,61
Seg+S3,K45,N5K,6,86.1734,99.9652,92.5302,86.1519,96.7470,100.0000,0.0000,1.5764,65
Seg+S3,K45,N5K,7,86.1283,99.9996,92.5229,86.1280,97.6152,100.0000,0.0000,1.4994,60
Seg+S3,K45,N5K,8,87.6832,99.9810,93.3966,87.6687,97.5975,100.0000,0.0000,1.9857,63
Seg+S3,K45,N5K,9,86.6620,99.9827,92.7535,86.6483,96.6560,100.0000,0.0000,1.7941,63
Seg+S3,K45,VF,1,97.5525,75.2156,83.0916,75.1349,99.1489,81.8713,5.2632,6.9725,172
Seg+S3,K45,VF,10,95.8162,99.3858,97.5617,95.2458,99.7147,100.0000,0.0000,0.9370,207
Seg+S3,K45,VF,11,41.8675,0.3317,0.6427,0.3278,94.8596,0.0000,0.0000,0.3203,201
Seg+S3,K45,VF,2,0.0000,0.0000,0.0000,0.0000,95.0311,0.0000,0.0000,0.0000,232
Seg+S3,K45,VF,3,99.7742,84.2523,91.1306,84.0973,98.7484,98.1900,1.3575,4.9997,222
Seg+S3,K45,VF,4,97.1368,99.3537,98.1533,96.5050,99.7895,98.8636,0.5682,1.2670,177
Seg+S3,K45,VF,5,99.9962,36.6495,51.5411,36.6490,98.9129,20.5607,2.3364,5.3292,215
Seg+S3,K45,VF,6,99.7472,87.2908,91.8580,87.0687,99.5795,87.4419,3.2558,4.6422,216
Seg+S3,K45,VF,7,97.7776,98.8336,98.2250,96.6438,99.8064,99.1071,0.4464,1.1918,225
Seg+S3,K45,VF,8,39.3393,0.6240,1.1840,0.6237,96.2344,0.0000,0.0000,0.4461,213
Seg+S3,K45,VF,9,100.0000,15.4258,25.8281,15.4258,97.0601,0.0000,0.4405,2.7462,228
