method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
Seg+S3,base,N5K,1,68.2478,99.9962,81.1024,68.2461,84.2856,100.0000,0.0000,0.7230,64
Seg+S3,base,N5K,10,89.7574,99.9178,94.5566,89.6906,97.2596,100.0000,0.0000,1.1736,58
Seg+S3,base,N5K,2,87.7739,99.9025,93.4201,87.6976,97.9893,100.0000,0.0000,1.1015,61
Seg+S3,base,N5K,3,89.5535,99.3735,94.1712,89.0576,98.3237,100.0000,0.0000,1.1127,63
Seg+S3,base,N5K,4,94.1456,71.7169,78.5828,68.8640,97.2804,66.1290,3.2258,5.8665,63
Seg+S3,base,N5K,5,65.2108,99.9443,78.4366,65.1758,85.3028,100.0000,1.6667,2.7662,61
Seg+S3,base,N5K,6,85.9611,99.9528,92.3914,85.9315,96.6670,100.0000,0.0000,1.3579,65
Seg+S3,base,N5K,7,85.4268,99.9991,92.1164,85.4262,97.4690,100.0000,0.0000,1.4309,60
Seg+S3,base,N5K,8,86.5523,99.9609,92.7185,86.5216,97.2616,100.0000,0.0000,1.7881,63
Seg+S3,base,N5K,9,85.8202,99.9879,92.2869,85.8116,96.4116,100.0000,0.0000,1.5363,63
Seg+S3,base,VF,1,99.9544,87.1654,92.8518,87.1290,99.5756,100.0000,4.0936,4.9313,172
Seg+S3,base,VF,10,95.7073,99.1287,97.3797,94.9022,99.7071,100.0000,0.0000,1.0189,207
Seg+S3,base,VF,11,41.8675,0.3317,0.6427,0.3278,94.8596,0.0000,0.0000,0.3203,201
Seg+S3,base,VF,2,0.0000,0.0000,0.0000,0.0000,95.0311,0.0000,0.0000,0.0000,232
Seg+S3,base,VF,3,99.6967,77.1023,86.7073,76.9540,98.1915,97.7376,1.8100,5.1368,222
Seg+S3,base,VF,4,96.9147,99.5967,98.2312,96.5306,99.7919,100.0000,0.0000,0.7301,177
Seg+S3,base,VF,5,99.9215,72.3347,83.4562,72.2929,99.5213,93.4579,1.4019,3.7265,215
Seg+S3,base,VF,6,99.3360,95.5356,97.3320,94.9146,99.7116,100.0000,0.0000,1.2924,216
Seg+S3,base,VF,7,97.0121,99.0333,97.9975,96.0861,99.7647,100.0000,0.0000,0.7119,225
Seg+S3,base,VF,8,39.3393,0.6240,1.1840,0.6237,96.2344,0.0000,0.0000,0.4461,213
Seg+S3,base,VF,9,99.9996,24.2515,37.6434,24.2514,97.4739,3.0837,2.2026,4.4558,228
Seg+S3,base,MTF,1,87.5832,0.6089,1.2054,0.6083,98.5810,0.0000,0.0000,0.2807,199
Seg+S3,base,MTF,10,0.0000,0.0000,0.0000,0.0000,93.9587,0.0000,0.0000,0.0000,30
Seg+S3,base,MTF,11,99.6917,51.4298,67.3160,51.3446,99.2897,31.0345,0.0000,6.3008,30
Seg+S3,base,MTF,13,100.0000,73.3473,83.8410,73.3473,98.2518,89.6552,3.4483,6.7168,30
Seg+S3,base,MTF,14,99.9645,14.4648,24.5846,14.4640,92.0535,0.0000,3.4483,6.2270,30
Seg+S3,base,MTF,2,50.2310,99.8505,66.7391,50.1873,93.7309,44.7236,0.0000,0.5852,200
Seg+S3,base,MTF,3,50.2310,99.8505,66.7391,50.1873,93.7309,44.7236,0.0000,0.5852,200
Seg+S3,base,MTF,4,100.0000,4.1158,7.7447,4.1158,95.1589,0.0000,0.0000,1.2428,200
Seg+S3,base,MTF,5,99.5951,27.6505,43.1310,27.6194,94.9669,0.0000,0.0000,1.5703,200
Seg+S3,base,MTF,6,90.2072,99.5903,94.6525,89.8842,99.7226,100.0000,0.0000,0.7193,200
Seg+S3,base,MTF,7,90.6985,91.9561,90.9113,84.0691,99.5678,100.0000,1.0050,5.0760,200
Seg+S3,base,MTF,8,92.2556,98.4754,94.6745,90.9543,99.6369,95.9799,1.0050,1.8381,200
Seg+S3,base,MTF,9,99.9830,0.6422,1.2678,0.6422,94.9806,0.0000,0.0000,0.4631,30
