method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
Y+S2,K30_union,N5K,1,93.5341,99.9771,96.6369,93.5143,97.5958,100.0000,0.0000,1.2796,64
Y+S2,K30_union,N5K,10,90.6442,95.5918,92.8442,87.1033,96.5201,100.0000,1.7544,2.7016,58
Y+S2,K30_union,N5K,2,95.9114,98.7775,97.2991,94.7730,99.2051,100.0000,0.0000,1.0524,61
Y+S2,K30_union,N5K,3,94.4126,98.5301,96.4060,93.0988,99.0373,100.0000,0.0000,1.4157,63
Y+S2,K30_union,N5K,4,91.6619,97.8233,94.6141,91.2392,99.2680,98.3871,1.6129,3.6247,63
Y+S2,K30_union,N5K,5,93.6063,22.7065,36.4163,22.3437,79.1776,0.0000,0.0000,1.0541,61
Y+S2,K30_union,N5K,6,90.5023,97.6367,93.8481,88.5396,97.4383,100.0000,1.5625,2.4835,65
Y+S2,K30_union,N5K,7,92.6628,99.9878,96.1574,92.6525,98.7862,100.0000,0.0000,1.8406,60
Y+S2,K30_union,N5K,8,94.3573,98.7561,96.4619,93.2138,98.7566,100.0000,0.0000,1.9770,63
Y+S2,K30_union,N5K,9,94.4306,99.5002,96.8749,93.9762,98.6263,100.0000,0.0000,1.7077,63
Y+S2,K30_union,VF,1,95.4544,99.9910,97.6636,95.4462,99.8475,100.0000,0.0000,0.4431,172
Y+S2,K30_union,VF,10,93.2843,99.8751,96.4406,93.1711,99.5928,100.0000,0.4854,1.5909,207
Y+S2,K30_union,VF,11,40.8036,73.3355,45.6239,32.4142,93.0976,14.5000,5.5000,7.3221,201
Y+S2,K30_union,VF,2,93.6588,99.7032,96.3647,93.4022,99.6687,97.4026,1.7316,2.3368,232
Y+S2,K30_union,VF,3,93.4799,99.9536,96.3860,93.4510,99.4990,98.1900,1.3575,2.6401,222
Y+S2,K30_union,VF,4,95.5511,99.9770,97.7085,95.5300,99.7271,100.0000,0.0000,0.9799,177
Y+S2,K30_union,VF,5,90.1600,99.9753,94.5832,90.1396,99.8033,98.1308,0.9346,2.6881,215
Y+S2,K30_union,VF,6,94.8286,99.9105,97.1076,94.7483,99.6883,97.2093,1.3953,2.2377,216
Y+S2,K30_union,VF,7,92.9788,99.9579,96.1367,92.9417,99.5583,97.7679,1.3393,2.4805,225
Y+S2,K30_union,VF,8,96.2951,99.8484,98.0005,96.1573,99.8830,100.0000,0.4717,1.0136,213
Y+S2,K30_union,VF,9,95.2653,99.8416,97.3466,95.1208,99.8227,98.2379,1.3216,1.8274,228
Y+S2,K30_union,MTF,1,92.8822,99.6294,95.9037,92.5611,99.8732,98.9899,2.5253,2.8045,199
Y+S2,K30_union,MTF,10,99.6950,91.5212,95.4291,91.2656,99.4833,100.0000,0.0000,0.7191,30
Y+S2,K30_union,MTF,11,7.4842,69.9949,13.5116,7.4842,90.9117,0.0000,0.0000,0.8489,30
Y+S2,K30_union,MTF,13,99.7275,97.9427,98.8073,97.6797,99.8491,100.0000,0.0000,1.6237,30
Y+S2,K30_union,MTF,14,93.7481,96.5410,95.1212,93.6293,99.4442,96.5517,0.0000,3.9828,30
Y+S2,K30_union,MTF,2,0.7502,8.7136,1.3793,0.7321,18.2594,0.0000,0.0000,0.3677,200
Y+S2,K30_union,MTF,3,0.7410,8.6038,1.3624,0.7230,18.2509,0.0000,0.0000,0.3677,200
Y+S2,K30_union,MTF,4,98.2324,97.2312,97.5585,95.5226,99.7358,98.9950,3.0151,2.5616,200
Y+S2,K30_union,MTF,5,96.7112,99.8849,98.2278,96.6014,99.7412,100.0000,1.0050,1.6755,200
Y+S2,K30_union,MTF,6,95.0532,99.9492,97.3797,95.0072,99.8615,100.0000,2.0101,1.8095,200
Y+S2,K30_union,MTF,7,76.7539,85.8491,80.6628,75.6040,99.2484,85.9296,2.5126,3.0973,200
Y+S2,K30_union,MTF,8,99.1781,94.2093,96.2970,93.4664,99.7967,100.0000,1.5075,1.4800,200
Y+S2,K30_union,MTF,9,97.9646,98.9252,98.4368,96.9371,99.8430,100.0000,0.0000,1.1999,30
