method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
Y+S2,K60,N5K,1,94.1198,99.7979,96.8709,93.9530,97.7899,100.0000,0.0000,1.1113,64
Y+S2,K60,N5K,10,92.6053,94.1042,93.1468,87.5550,96.6052,100.0000,0.0000,1.4585,58
Y+S2,K60,N5K,2,97.2311,98.3387,97.7767,95.6908,99.3569,100.0000,0.0000,0.8423,61
Y+S2,K60,N5K,3,96.2824,97.5328,96.8839,93.9940,99.1755,100.0000,0.0000,1.1701,63
Y+S2,K60,N5K,4,92.3368,94.4744,92.0483,88.6023,99.1203,93.5484,1.6129,3.9350,63
Y+S2,K60,N5K,5,93.7493,21.6628,35.0858,21.3479,78.9698,0.0000,0.0000,0.6519,61
Y+S2,K60,N5K,6,91.0804,97.0935,93.9016,88.6594,97.5196,100.0000,1.5625,2.3551,65
Y+S2,K60,N5K,7,93.4884,99.9809,96.6188,93.4714,98.9590,100.0000,0.0000,1.2895,60
Y+S2,K60,N5K,8,95.6387,98.1302,96.8425,93.9427,98.9170,100.0000,0.0000,1.7989,63
Y+S2,K60,N5K,9,95.2838,99.2613,97.2192,94.6087,98.7890,100.0000,0.0000,1.2246,63
Y+S2,K60,VF,1,95.5056,99.9823,97.6861,95.4894,99.8492,100.0000,0.0000,0.4803,172
Y+S2,K60,VF,10,94.3947,99.8093,97.0166,94.2191,99.6492,100.0000,0.0000,1.2159,207
Y+S2,K60,VF,11,40.9838,73.0943,45.7128,32.4808,93.1501,13.5000,5.5000,7.3634,201
Y+S2,K60,VF,2,94.6563,99.1968,96.6746,93.9549,99.7169,97.8355,0.8658,2.0394,232
Y+S2,K60,VF,3,95.3005,99.4678,97.3305,95.2370,99.6523,99.0950,0.4525,1.7755,222
Y+S2,K60,VF,4,95.9891,99.9636,97.9317,95.9552,99.7495,100.0000,0.0000,0.9151,177
Y+S2,K60,VF,5,92.4984,99.4422,95.8317,92.4179,99.8512,99.0654,0.4673,1.9249,215
Y+S2,K60,VF,6,95.4029,99.9081,97.5119,95.3208,99.7381,99.0698,0.4651,1.2220,216
Y+S2,K60,VF,7,93.6705,99.9171,96.4781,93.6017,99.5786,96.8750,0.8929,2.0558,225
Y+S2,K60,VF,8,78.6276,80.4896,79.5466,78.3820,98.6880,80.1887,0.4717,1.2305,213
Y+S2,K60,VF,9,85.2365,87.5953,86.3980,85.1174,99.5724,87.2247,0.4405,1.2480,228
Y+S2,K60,MTF,1,96.5690,99.0660,97.7943,95.7057,99.9359,100.0000,0.5051,0.8105,199
Y+S2,K60,MTF,10,99.6950,91.5212,95.4291,91.2656,99.4833,100.0000,0.0000,0.7191,30
Y+S2,K60,MTF,11,7.4842,69.9949,13.5116,7.4842,90.9117,0.0000,0.0000,0.8489,30
Y+S2,K60,MTF,13,99.7275,97.9427,98.8073,97.6797,99.8491,100.0000,0.0000,1.6237,30
Y+S2,K60,MTF,14,93.7481,96.5410,95.1212,93.6293,99.4442,96.5517,0.0000,3.9828,30
Y+S2,K60,MTF,2,84.8756,99.8795,87.5324,84.8590,89.7295,87.4372,0.0000,0.8755,200
Y+S2,K60,MTF,3,84.8755,99.8791,87.5325,84.8589,89.7306,87.4372,0.0000,0.8755,200
Y+S2,K60,MTF,4,99.9797,96.2224,98.0634,96.2036,99.8117,100.0000,0.0000,0.3351,200
Y+S2,K60,MTF,5,97.6229,98.8778,98.2200,96.6611,99.7571,100.0000,1.0050,1.2374,200
Y+S2,K60,MTF,6,96.4081,99.9571,98.1486,96.3680,99.9076,100.0000,0.0000,0.4761,200
Y+S2,K60,MTF,7,65.1547,65.2996,64.8485,60.4568,98.8924,67.8392,0.5025,2.3760,200
Y+S2,K60,MTF,8,99.8776,72.0554,83.4455,71.9865,99.1895,100.0000,0.0000,0.9327,200
Y+S2,K60,MTF,9,97.9646,98.9252,98.4368,96.9371,99.8430,100.0000,0.0000,1.1999,30
