method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
Y+S2,base,N5K,1,73.7090,78.6512,75.6464,63.1690,82.6586,57.1429,6.3492,5.8711,64
Y+S2,base,N5K,10,68.3149,70.6178,68.9787,56.0963,85.1240,54.3860,7.0175,6.6441,58
Y+S2,base,N5K,2,65.0455,67.5985,65.9632,53.6762,90.3829,51.6667,8.3333,7.8788,61
Y+S2,base,N5K,3,65.0780,67.0001,65.6575,52.9421,90.7755,56.4516,9.6774,8.1905,63
Y+S2,base,N5K,4,53.3586,58.0422,55.4550,41.4206,93.0132,37.0968,8.0645,8.3287,63
Y+S2,base,N5K,5,68.3041,16.1118,25.9706,15.1791,75.8520,0.0000,0.0000,1.9953,61
Y+S2,base,N5K,6,58.6784,62.0197,60.0990,45.0946,83.5438,40.6250,4.6875,6.2689,65
Y+S2,base,N5K,7,61.7327,67.1243,64.0675,50.3480,89.1106,67.7966,5.0847,6.8207,60
Y+S2,base,N5K,8,68.5863,71.4315,69.6613,56.9041,89.7331,59.6774,9.6774,7.1372,63
Y+S2,base,N5K,9,66.2222,69.8535,67.7065,54.0525,85.7486,59.6774,6.4516,6.4086,63
Y+S2,base,VF,1,95.5056,99.9823,97.6861,95.4894,99.8492,100.0000,0.0000,0.4803,172
Y+S2,base,VF,10,93.4783,99.8597,96.5540,93.3511,99.6074,100.0000,0.0000,1.3039,207
Y+S2,base,VF,11,40.9354,73.1697,45.6983,32.4655,93.1406,14.5000,5.5000,7.3514,201
Y+S2,base,VF,2,95.5207,96.8141,96.0821,92.5552,99.6431,100.0000,0.0000,1.3182,232
Y+S2,base,VF,3,94.8986,99.9295,97.3400,94.8457,99.6593,100.0000,0.0000,0.9257,222
Y+S2,base,VF,4,95.7925,99.9684,97.8306,95.7633,99.7411,100.0000,0.0000,0.9508,177
Y+S2,base,VF,5,92.2007,99.9220,95.8876,92.1325,99.8571,100.0000,0.0000,1.2916,215
Y+S2,base,VF,6,95.6602,99.9004,97.7303,95.5715,99.7599,100.0000,0.0000,0.7213,216
Y+S2,base,VF,7,94.0424,99.9408,96.8957,93.9895,99.6149,100.0000,0.0000,1.1334,225
Y+S2,base,VF,8,97.1265,99.7237,98.4063,96.8682,99.9052,100.0000,0.0000,0.3389,213
Y+S2,base,VF,9,96.7849,99.6967,98.2153,96.4979,99.8810,100.0000,0.0000,0.5223,228
Y+S2,base,MTF,1,32.9145,34.6881,33.4838,23.2787,98.1422,9.5960,6.0606,8.9773,199
Y+S2,base,MTF,10,8.0056,7.0757,7.4471,6.6231,89.1865,3.4483,3.4483,4.0937,30
Y+S2,base,MTF,11,6.6792,63.5061,12.0451,6.6387,90.6848,0.0000,0.0000,2.4983,30
Y+S2,base,MTF,13,41.4486,39.9789,40.3823,28.5623,92.3832,3.4483,13.7931,14.1190,30
Y+S2,base,MTF,14,14.1519,14.7260,13.0970,8.7744,83.9666,0.0000,6.8966,10.7205,30
Y+S2,base,MTF,2,1.3176,14.3300,2.4082,1.2617,20.0058,0.0000,0.0000,0.4432,200
Y+S2,base,MTF,3,1.3173,14.3258,2.4077,1.2614,20.0058,0.0000,0.0000,0.4431,200
Y+S2,base,MTF,4,39.7434,38.1255,37.5548,24.8162,93.9645,1.0050,1.5075,3.7786,200
Y+S2,base,MTF,5,70.9666,71.1990,70.9029,56.3218,95.9393,53.2663,3.5176,6.9921,200
Y+S2,base,MTF,6,43.1863,44.7722,43.7176,31.5004,97.1349,15.0754,5.5276,9.1583,200
Y+S2,base,MTF,7,37.7561,31.8177,33.4420,22.5104,96.8822,4.0201,4.0201,7.8068,200
Y+S2,base,MTF,8,37.3054,24.5933,29.0946,18.7893,96.6961,1.0050,1.0050,5.3816,200
Y+S2,base,MTF,9,21.2392,22.0983,21.2909,15.4587,91.9691,3.4483,6.8966,11.4417,30
