method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
Y+S3,K30_accept_fresh,N5K,1,93.0138,99.9744,96.3656,92.9916,97.4250,100.0000,0.0000,0.8759,64
Y+S3,K30_accept_fresh,N5K,10,92.3045,93.4438,92.4988,86.5260,96.6708,100.0000,1.7544,2.4299,58
Y+S3,K30_accept_fresh,N5K,2,94.7000,98.4640,96.5362,93.3136,98.9761,100.0000,0.0000,0.6633,61
Y+S3,K30_accept_fresh,N5K,3,93.5763,98.3619,95.9011,92.1341,98.8926,100.0000,0.0000,0.8170,63
Y+S3,K30_accept_fresh,N5K,4,90.2573,97.4244,92.7972,87.8558,99.0004,96.7742,1.6129,2.1642,63
Y+S3,K30_accept_fresh,N5K,5,92.6441,21.6451,34.9783,21.2695,78.8905,0.0000,0.0000,0.6471,61
Y+S3,K30_accept_fresh,N5K,6,90.3964,96.4884,93.2857,87.5349,97.2249,100.0000,0.0000,1.6539,65
Y+S3,K30_accept_fresh,N5K,7,91.8178,99.9939,95.7222,91.8125,98.6764,100.0000,0.0000,1.6027,60
Y+S3,K30_accept_fresh,N5K,8,93.7652,98.7961,96.1963,92.6832,98.6693,100.0000,0.0000,1.4766,63
Y+S3,K30_accept_fresh,N5K,9,94.5351,98.7978,96.6027,93.4551,98.5398,100.0000,0.0000,1.1709,63
Y+S3,K30_accept_fresh,VF,1,94.4394,99.9901,97.1200,94.4301,99.8236,100.0000,0.0000,0.7601,172
Y+S3,K30_accept_fresh,VF,10,91.8537,99.7977,95.6000,91.6844,99.4860,100.0000,0.4854,1.6597,207
Y+S3,K30_accept_fresh,VF,11,40.7639,73.3367,45.5456,32.3474,93.0677,14.5000,5.5000,7.3331,201
Y+S3,K30_accept_fresh,VF,2,93.5064,97.1805,94.9666,91.0278,99.5108,96.9697,1.7316,3.1221,232
Y+S3,K30_accept_fresh,VF,3,86.9226,94.0886,90.3301,86.8789,98.8233,93.6652,1.3575,2.9901,222
Y+S3,K30_accept_fresh,VF,4,95.2110,99.9344,97.5087,95.1512,99.6961,100.0000,0.0000,1.1883,177
Y+S3,K30_accept_fresh,VF,5,76.2575,85.5312,80.6050,76.2156,99.5022,84.5794,0.9346,3.2720,215
Y+S3,K30_accept_fresh,VF,6,79.3648,84.5556,81.6181,79.3006,98.7085,82.3256,0.9302,2.5671,216
Y+S3,K30_accept_fresh,VF,7,75.4942,99.7662,84.2747,75.3479,98.4145,85.2679,1.7857,3.3187,225
Y+S3,K30_accept_fresh,VF,8,94.9523,99.3491,97.0579,94.7899,99.8245,99.0566,0.9434,2.2859,213
Y+S3,K30_accept_fresh,VF,9,82.8121,85.8744,84.1430,81.9141,99.4873,85.4626,0.8811,1.9217,228
