method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
Y+X2,K20,N5K,1,93.1247,99.9464,96.4110,93.0776,97.4643,100.0000,0.0000,0.7405,64
Y+X2,K20,N5K,10,91.5239,69.4482,78.7945,65.1593,91.2651,100.0000,0.0000,1.7787,58
Y+X2,K20,N5K,2,97.0459,97.9776,97.4962,95.1235,99.2644,100.0000,0.0000,0.5048,61
Y+X2,K20,N5K,3,95.0045,98.5187,96.7250,93.6684,99.1295,100.0000,0.0000,0.6834,63
Y+X2,K20,N5K,4,92.6971,96.0202,93.1928,88.9138,99.1313,95.1613,1.6129,2.0009,63
Y+X2,K20,N5K,5,94.7184,23.7300,37.4824,23.3741,79.4877,0.0000,1.6667,1.2912,61
Y+X2,K20,N5K,6,91.6159,86.1530,88.7299,79.8896,95.6976,100.0000,0.0000,1.3924,65
Y+X2,K20,N5K,7,93.5789,99.9742,96.6631,93.5562,98.9831,100.0000,0.0000,1.2367,60
Y+X2,K20,N5K,8,93.8030,97.5941,95.6453,91.6729,98.4926,100.0000,0.0000,1.2529,63
Y+X2,K20,N5K,9,93.9314,95.5404,94.7059,90.0040,97.7402,100.0000,0.0000,1.0970,63
Y+X2,K20,VF,1,90.6407,97.9358,93.4776,90.6213,99.5184,91.8129,4.0936,4.9301,172
Y+X2,K20,VF,10,92.4354,99.7263,95.5223,92.1986,99.4992,96.6019,0.9709,2.7768,207
Y+X2,K20,VF,11,40.8946,73.2904,45.7108,32.5102,93.1168,15.0000,5.5000,7.3506,201
Y+X2,K20,VF,2,86.5972,96.4230,88.9391,83.8099,98.7895,87.4459,2.1645,3.7092,232
Y+X2,K20,VF,3,88.2245,98.3458,91.4727,88.0342,98.8622,89.5928,3.1674,3.9861,222
Y+X2,K20,VF,4,92.2375,99.8787,94.6993,92.1343,99.3568,92.0455,2.8409,3.6560,177
Y+X2,K20,VF,5,78.9466,99.0350,85.0808,78.9233,99.1913,78.9720,5.1402,6.0342,215
Y+X2,K20,VF,6,90.3810,98.4933,93.7101,90.1442,99.4825,92.5581,4.1860,5.1597,216
Y+X2,K20,VF,7,92.4565,99.1843,95.0806,92.1304,99.4767,92.8571,1.7857,3.5092,225
Y+X2,K20,VF,8,89.2653,98.8870,92.0254,88.9687,99.4026,86.3208,4.2453,5.2482,213
Y+X2,K20,VF,9,84.8600,99.0578,88.7545,84.4615,99.0838,79.7357,4.4053,5.5695,228
Y+X2,K20,MTF,1,98.9102,99.5161,99.2101,98.4343,99.9771,100.0000,0.0000,0.3223,199
Y+X2,K20,MTF,10,99.5955,93.2751,96.3295,92.9275,99.5835,100.0000,0.0000,0.7850,30
Y+X2,K20,MTF,11,17.6230,99.4740,27.7525,17.5705,90.9659,0.0000,0.0000,4.9356,30
Y+X2,K20,MTF,13,99.2716,98.5640,98.8983,97.8570,99.8581,100.0000,0.0000,1.7050,30
Y+X2,K20,MTF,14,97.3529,99.9321,98.6227,97.2890,99.7549,100.0000,0.0000,0.6289,30
Y+X2,K20,MTF,2,86.4913,99.9991,89.6668,86.4905,93.4916,90.4523,0.0000,1.0777,200
Y+X2,K20,MTF,3,86.4919,99.9991,89.6672,86.4911,93.4917,90.4523,0.0000,1.0777,200
Y+X2,K20,MTF,4,99.9996,95.7507,97.8274,95.7504,99.7928,100.0000,0.0000,0.2137,200
Y+X2,K20,MTF,5,97.7614,99.2723,98.2670,97.0602,99.4758,98.9950,0.5025,1.1284,200
Y+X2,K20,MTF,6,97.8463,99.9878,98.9040,97.8346,99.9452,100.0000,0.0000,0.2534,200
Y+X2,K20,MTF,7,83.5404,93.9956,86.7015,79.5516,99.1358,81.4070,1.5075,2.7969,200
Y+X2,K20,MTF,8,94.9590,79.3077,84.6748,75.7355,98.2198,94.9749,1.0050,1.2756,200
Y+X2,K20,MTF,9,97.9535,99.3427,98.6381,97.3272,99.8633,100.0000,0.0000,1.1295,30
