method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
Y+X2,K30_accept_fresh,N5K,1,92.8817,99.9429,96.2794,92.8317,97.3628,100.0000,0.0000,0.7378,64
Y+X2,K30_accept_fresh,N5K,10,91.9633,87.0806,89.1259,80.7759,95.0331,100.0000,0.0000,2.7199,58
Y+X2,K30_accept_fresh,N5K,2,96.8542,98.0463,97.4378,95.0105,99.2501,100.0000,0.0000,0.4582,61
Y+X2,K30_accept_fresh,N5K,3,94.7931,98.4483,96.5815,93.3986,99.0905,100.0000,0.0000,0.6537,63
Y+X2,K30_accept_fresh,N5K,4,92.0918,95.8890,92.7366,88.1897,99.0682,95.1613,1.6129,1.9963,63
Y+X2,K30_accept_fresh,N5K,5,94.5721,21.5597,34.9944,21.2842,78.9924,0.0000,0.0000,0.6703,61
Y+X2,K30_accept_fresh,N5K,6,90.8821,92.2065,91.5195,84.4165,96.5851,100.0000,0.0000,1.4312,65
Y+X2,K30_accept_fresh,N5K,7,93.1484,99.9835,96.4358,93.1341,98.9107,100.0000,0.0000,1.2167,60
Y+X2,K30_accept_fresh,N5K,8,93.9507,98.4067,96.1063,92.5228,98.6187,100.0000,0.0000,1.2128,63
Y+X2,K30_accept_fresh,N5K,9,93.6087,95.4495,94.4881,89.6021,97.6340,100.0000,0.0000,1.0774,63
Y+X2,K30_accept_fresh,VF,1,95.6840,99.9976,97.7896,95.6818,99.8460,100.0000,0.0000,0.3970,172
Y+X2,K30_accept_fresh,VF,10,93.2201,99.6613,96.2608,92.9306,99.5671,100.0000,0.4854,1.5394,207
Y+X2,K30_accept_fresh,VF,11,40.5871,73.4952,45.4394,32.3069,92.9556,16.0000,5.5000,7.3128,201
Y+X2,K30_accept_fresh,VF,2,65.6771,98.1804,75.2952,64.7446,97.5822,64.5022,5.1948,6.5451,232
Y+X2,K30_accept_fresh,VF,3,85.2247,98.2522,89.4770,84.7029,98.5671,85.9729,3.1674,3.7509,222
Y+X2,K30_accept_fresh,VF,4,96.0167,99.8922,97.9119,95.9178,99.7467,100.0000,0.0000,0.9277,177
Y+X2,K30_accept_fresh,VF,5,72.6686,98.9927,80.3414,72.6052,98.9566,70.5607,7.4766,7.3600,215
Y+X2,K30_accept_fresh,VF,6,88.3865,98.9467,92.2652,88.2964,99.2368,90.2326,2.7907,4.4836,216
Y+X2,K30_accept_fresh,VF,7,92.4910,99.6888,95.4878,92.2217,99.4803,95.0893,1.7857,2.8213,225
Y+X2,K30_accept_fresh,VF,8,90.5517,98.2573,93.3366,90.2838,99.6487,91.0377,2.3585,3.5516,213
Y+X2,K30_accept_fresh,VF,9,94.2138,98.9427,96.1986,93.6633,99.7370,97.3568,3.0837,3.0851,228
Y+X2,K30_accept_fresh,MTF,1,96.9238,99.1070,97.9952,96.0777,99.9418,100.0000,0.0000,0.5425,199
Y+X2,K30_accept_fresh,MTF,10,99.6215,92.9201,96.1517,92.5966,99.5648,100.0000,0.0000,0.7057,30
Y+X2,K30_accept_fresh,MTF,11,10.9580,99.9600,19.7337,10.9575,87.9128,0.0000,0.0000,0.7086,30
Y+X2,K30_accept_fresh,MTF,13,98.3301,99.3797,98.8291,97.7312,99.8443,100.0000,0.0000,1.7281,30
Y+X2,K30_accept_fresh,MTF,14,96.6213,99.9279,98.2450,96.5545,99.6805,100.0000,0.0000,0.4652,30
Y+X2,K30_accept_fresh,MTF,2,83.5471,99.9960,87.2430,83.5435,92.4288,86.9347,0.0000,1.1945,200
Y+X2,K30_accept_fresh,MTF,3,83.5479,99.9960,87.2436,83.5443,92.4290,86.9347,0.0000,1.1944,200
Y+X2,K30_accept_fresh,MTF,4,99.9679,97.0809,98.5011,97.0505,99.8569,100.0000,0.0000,0.2171,200
Y+X2,K30_accept_fresh,MTF,5,97.6166,99.6665,98.6294,97.3019,99.8059,100.0000,0.0000,0.2656,200
Y+X2,K30_accept_fresh,MTF,6,96.4321,99.9730,98.1687,96.4069,99.9075,100.0000,0.0000,0.3200,200
Y+X2,K30_accept_fresh,MTF,7,87.6225,97.4603,91.7888,86.5478,99.5246,94.9749,1.0050,2.1758,200
Y+X2,K30_accept_fresh,MTF,8,99.6442,76.6457,85.9831,76.3806,99.2903,100.0000,0.0000,0.9878,200
Y+X2,K30_accept_fresh,MTF,9,97.8227,99.5163,98.6577,97.3647,99.8657,100.0000,0.0000,1.0903,30
