method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
Y+X2,K30_union,N5K,1,92.6048,99.9473,96.1320,92.5588,97.2638,100.0000,0.0000,0.7376,64
Y+X2,K30_union,N5K,10,91.5688,87.5964,89.4211,81.0738,94.9241,100.0000,0.0000,2.5492,58
Y+X2,K30_union,N5K,2,96.3669,98.3070,97.3174,94.7810,99.2160,100.0000,0.0000,0.5018,61
Y+X2,K30_union,N5K,3,94.2388,98.6056,96.3689,93.0029,99.0335,100.0000,0.0000,0.7248,63
Y+X2,K30_union,N5K,4,92.1179,99.9343,95.8510,92.0619,99.3108,100.0000,0.0000,0.8377,63
Y+X2,K30_union,N5K,5,93.8841,21.6410,35.0605,21.3306,78.9700,0.0000,0.0000,0.6733,61
Y+X2,K30_union,N5K,6,90.3506,95.4894,92.8070,86.6479,97.0477,100.0000,0.0000,1.2822,65
Y+X2,K30_union,N5K,7,92.9088,99.9882,96.3093,92.8987,98.8710,100.0000,0.0000,1.2066,60
Y+X2,K30_union,N5K,8,93.1910,98.6259,95.8060,91.9653,98.5182,100.0000,0.0000,1.3370,63
Y+X2,K30_union,N5K,9,93.6174,96.4426,94.9807,90.4960,97.8375,100.0000,0.0000,1.1387,63
Y+X2,K30_union,VF,1,95.6509,99.9979,97.7724,95.6490,99.8446,100.0000,0.0000,0.3988,172
Y+X2,K30_union,VF,10,92.2366,99.8281,95.8089,92.0920,99.5255,100.0000,0.4854,1.6192,207
Y+X2,K30_union,VF,11,40.5358,73.6133,45.4413,32.3178,92.9399,16.0000,5.5000,7.3008,201
Y+X2,K30_union,VF,2,65.6433,98.9880,75.5745,65.0568,97.6030,64.9351,5.1948,6.4580,232
Y+X2,K30_union,VF,3,86.2577,99.1863,90.4788,85.7716,98.6894,88.2353,2.7149,3.3596,222
Y+X2,K30_union,VF,4,95.5789,99.9514,97.7112,95.5347,99.7220,100.0000,0.0000,0.9680,177
Y+X2,K30_union,VF,5,80.5879,99.9852,87.2880,80.5770,99.3977,83.1776,5.1402,5.4492,215
Y+X2,K30_union,VF,6,90.7218,99.8287,94.3319,90.5911,99.4181,94.4186,2.3256,3.4507,216
Y+X2,K30_union,VF,7,92.2100,99.8463,95.4146,92.0789,99.4730,95.0893,1.7857,2.8337,225
Y+X2,K30_union,VF,8,90.8901,98.9244,93.8242,90.7708,99.6864,91.9811,1.8868,2.6864,213
Y+X2,K30_union,VF,9,94.4879,99.8335,96.7501,94.3408,99.7603,97.3568,2.2026,2.5122,228
Y+X2,K30_union,MTF,1,96.3134,99.8832,98.0633,96.2042,99.9446,100.0000,0.0000,0.4396,199
Y+X2,K30_union,MTF,10,99.6215,92.9201,96.1517,92.5966,99.5648,100.0000,0.0000,0.7057,30
Y+X2,K30_union,MTF,11,10.9580,99.9600,19.7337,10.9575,87.9128,0.0000,0.0000,0.7086,30
Y+X2,K30_union,MTF,13,98.3301,99.3797,98.8291,97.7312,99.8443,100.0000,0.0000,1.7281,30
Y+X2,K30_union,MTF,14,96.6213,99.9279,98.2450,96.5545,99.6805,100.0000,0.0000,0.4652,30
Y+X2,K30_union,MTF,2,8.4793,100.0000,15.5788,8.4793,30.1326,0.0000,0.0000,0.3673,200
Y+X2,K30_union,MTF,3,8.4805,100.0000,15.5807,8.4805,30.1424,0.0000,0.0000,0.3674,200
Y+X2,K30_union,MTF,4,99.9642,97.3577,98.6415,97.3235,99.8700,100.0000,0.0000,0.2036,200
Y+X2,K30_union,MTF,5,97.5686,99.6693,98.6063,97.2569,99.8025,100.0000,0.0000,0.2665,200
Y+X2,K30_union,MTF,6,96.1029,99.9966,98.0095,96.0997,99.8998,100.0000,0.0000,0.3129,200
Y+X2,K30_union,MTF,7,89.9988,96.6554,92.7859,87.9566,99.5735,94.9749,0.5025,1.9408,200
Y+X2,K30_union,MTF,8,99.3952,79.4392,87.8360,78.9841,99.3698,100.0000,0.0000,0.7158,200
Y+X2,K30_union,MTF,9,97.8227,99.5163,98.6577,97.3647,99.8657,100.0000,0.0000,1.0903,30
