method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
Y+X2,base,N5K,1,92.9162,99.9455,96.2982,92.8683,97.3945,100.0000,0.0000,0.7849,64
Y+X2,base,N5K,10,91.0761,68.9701,78.3276,64.5374,91.1157,96.4912,0.0000,1.8405,58
Y+X2,base,N5K,2,96.7242,97.9492,97.3211,94.7890,99.2201,100.0000,0.0000,0.5233,61
Y+X2,base,N5K,3,95.0692,98.5119,96.7558,93.7249,99.1366,100.0000,0.0000,0.6578,63
Y+X2,base,N5K,4,92.2047,99.9165,95.8911,92.1331,99.3187,100.0000,0.0000,0.8572,63
Y+X2,base,N5K,5,94.5859,21.5905,35.0389,21.3154,79.0008,0.0000,0.0000,0.6634,61
Y+X2,base,N5K,6,91.0247,86.3398,88.5609,79.6080,95.6197,100.0000,0.0000,1.5209,65
Y+X2,base,N5K,7,93.0832,99.9822,96.3995,93.0677,98.8978,100.0000,0.0000,1.2969,60
Y+X2,base,N5K,8,93.7306,97.9531,95.7764,91.9135,98.5236,100.0000,0.0000,1.1865,63
Y+X2,base,N5K,9,93.4624,95.7890,94.5888,89.7940,97.6881,100.0000,0.0000,1.0831,63
Y+X2,base,VF,1,95.8913,99.9906,97.8949,95.8827,99.8526,100.0000,0.0000,0.3859,172
Y+X2,base,VF,10,93.1115,99.8248,96.3397,92.9584,99.5742,100.0000,0.0000,1.3665,207
Y+X2,base,VF,11,40.8579,73.3707,45.7044,32.4956,93.1106,14.5000,5.5000,7.3326,201
Y+X2,base,VF,2,94.5356,96.8835,95.6098,91.6808,99.6184,100.0000,0.0000,1.3706,232
Y+X2,base,VF,3,93.9614,99.2430,96.4757,93.5321,99.5841,98.1900,0.9050,1.8662,222
Y+X2,base,VF,4,96.0409,99.9202,97.9375,95.9663,99.7410,100.0000,0.0000,0.9109,177
Y+X2,base,VF,5,90.8297,99.9574,95.1666,90.7942,99.8164,100.0000,0.0000,0.8837,215
Y+X2,base,VF,6,94.6345,99.8462,97.1642,94.5053,99.6874,100.0000,0.0000,0.9382,216
Y+X2,base,VF,7,95.8136,99.6669,97.6934,95.5002,99.6607,100.0000,0.0000,0.9314,225
Y+X2,base,VF,8,96.3612,98.7767,97.5497,96.0993,99.9026,98.5849,0.9434,1.2807,213
Y+X2,base,VF,9,97.3125,99.6923,98.4869,97.0207,99.8884,100.0000,0.0000,0.4162,228
Y+X2,base,MTF,1,98.5920,99.5192,99.0511,98.1230,99.9719,100.0000,0.0000,0.3466,199
Y+X2,base,MTF,10,99.6024,93.0455,96.2085,92.7047,99.5738,100.0000,0.0000,0.8310,30
Y+X2,base,MTF,11,0.0000,0.0000,0.0000,0.0000,98.5308,0.0000,0.0000,0.0000,30
Y+X2,base,MTF,13,98.4857,99.1447,98.8053,97.6609,99.8463,100.0000,0.0000,1.7242,30
Y+X2,base,MTF,14,96.7941,99.8832,98.3125,96.6864,99.7013,100.0000,0.0000,0.6192,30
Y+X2,base,MTF,2,10.5881,99.8067,19.0641,10.5853,44.2867,0.0000,0.0000,0.7572,200
Y+X2,base,MTF,3,10.5884,99.8067,19.0645,10.5855,44.2877,0.0000,0.0000,0.7572,200
Y+X2,base,MTF,4,99.9994,96.0520,97.9845,96.0514,99.8054,100.0000,0.0000,0.2376,200
Y+X2,base,MTF,5,98.6264,99.2403,98.9300,97.8952,99.8473,100.0000,0.0000,0.2294,200
Y+X2,base,MTF,6,97.2209,99.9809,98.5803,97.2029,99.9295,100.0000,0.0000,0.2823,200
Y+X2,base,MTF,7,94.4855,90.6615,92.1838,86.4889,99.5552,95.9799,0.5025,1.9604,200
Y+X2,base,MTF,8,99.7179,78.4149,87.3928,78.2339,99.3513,100.0000,0.0000,0.6255,200
Y+X2,base,MTF,9,97.9364,99.4105,98.6627,97.3753,99.8658,100.0000,0.0000,1.1544,30
