method,config,partitions_done,mAP,C_gamma,flicker,drift
FoodMem,base,N5K|VF|MTF,94.8177,97.3257,0.2084,1.1635
FoodMem,K10,N5K|VF|MTF,94.7302,96.9703,0.3333,1.2553
FoodMem,K20,N5K|VF|MTF,94.8012,97.0858,0.3035,1.2048
FoodMem,K30,N5K|VF|MTF,94.9264,97.2988,0.2227,1.1394
FoodMem,K45,N5K|VF|MTF,94.9295,97.3131,0.2078,1.1115
FoodMem,K60,N5K|VF|MTF,94.8747,97.2988,0.2370,1.1528
FoodMem,K30_accept_fresh,N5K|VF|MTF,94.9423,97.2382,0.2370,1.2526
FoodMem,K30_union,N5K|VF|MTF,94.2953,97.2382,0.2370,1.2345
S+X2,base,N5K|VF|MTF,67.8840,66.5666,0.2372,1.5934
S+X2,K10,N5K|VF|MTF,70.5462,57.5946,2.3513,3.9194
S+X2,K20,N5K|VF|MTF,69.8664,61.1486,1.1836,2.7269
S+X2,K30,N5K|VF|MTF,70.2793,64.2846,0.5955,2.2486
S+X2,K45,N5K|VF|MTF,69.9532,66.1789,0.7624,2.2970
S+X2,K60,N5K|VF|MTF,70.4611,65.3614,0.4390,1.9980
S+X2,K30_accept_fresh,N5K|VF|MTF,69.6760,66.8265,0.7029,2.5519
S+X2,K30_union,N5K|VF|MTF,67.4602,66.2880,0.2376,1.6881
SC+X2,base,N5K|VF|MTF,78.2819,71.4368,0.2948,1.4740
SC+X2,K10,N5K|VF|MTF,87.1316,75.7252,2.7904,4.3601
SC+X2,K20,N5K|VF|MTF,88.1688,77.2822,1.2184,2.9985
SC+X2,K30,N5K|VF|MTF,82.5221,73.9610,1.0576,2.4106
SC+X2,K45,N5K|VF|MTF,81.2604,73.4848,0.8454,2.1569
SC+X2,K60,N5K|VF|MTF,83.4584,73.8854,0.7814,2.1853
SC+X2,K30_accept_fresh,N5K|VF|MTF,82.5633,73.7787,1.1170,2.5206
SC+X2,K30_union,N5K|VF|MTF,83.2156,77.1243,0.5182,1.7373
SF+X2,base,N5K|VF|MTF,94.8009,96.6716,0.2227,1.1120
SF+X2,K10,N5K|VF|MTF,94.3383,95.4471,0.5909,1.5118
SF+X2,K20,N5K|VF|MTF,94.7359,95.9978,0.5088,1.3630
SF+X2,K30,N5K|VF|MTF,94.7194,96.2178,0.3179,1.1878
SF+X2,K45,N5K|VF|MTF,94.5983,96.0422,0.3749,1.2086
SF+X2,K60,N5K|VF|MTF,94.9945,96.3608,0.2816,1.1404
SF+X2,K30_accept_fresh,N5K|VF|MTF,94.5941,96.4002,0.4608,1.3366
SF+X2,K30_union,N5K|VF|MTF,94.0050,96.5565,0.3593,1.2252
Y+X2,base,N5K|VF|MTF,86.8182,86.0657,0.2356,1.1272
Y+X2,K10,N5K|VF|MTF,88.4866,84.4080,1.8204,3.0777
Y+X2,K20,N5K|VF|MTF,89.0110,86.8488,1.3533,2.4173
Y+X2,K30,N5K|VF|MTF,89.9394,88.7160,0.8006,1.7196
Y+X2,K45,N5K|VF|MTF,89.7527,88.2365,0.7415,1.7423
Y+X2,K60,N5K|VF|MTF,88.1597,86.6516,0.8331,1.7775
Y+X2,K30_accept_fresh,N5K|VF|MTF,88.3297,87.4076,1.0445,1.9690
Y+X2,K30_union,N5K|VF|MTF,84.6848,83.7302,0.8382,1.7274
FLMM+X2,base,N5K|VF|MTF,68.4404,68.2056,0.2730,1.1055
FLMM+X2,K10,N5K|VF|MTF,87.4692,85.3263,1.2688,2.1555
FLMM+X2,K20,N5K|VF|MTF,87.1966,86.9630,0.5688,1.5932
FLMM+X2,K30,N5K|VF|MTF,87.3908,84.8391,0.7999,1.8286
FLMM+X2,K45,N5K|VF|MTF,87.5838,88.5875,0.6029,1.5169
FLMM+X2,K60,N5K|VF|MTF,87.0381,86.5715,0.4800,1.4526
FLMM+X2,K30_accept_fresh,N5K|VF|MTF,88.1769,85.7961,0.7886,1.8499
FLMM+X2,K30_union,N5K|VF|MTF,86.5184,86.7662,0.6235,1.6450
SeTM+S2,base,N5K|VF|MTF,65.1247,53.1539,4.8108,5.6816
SeTM+S2,K10,N5K|VF|MTF,94.4858,97.2427,2.5319,2.8552
SeTM+S2,K20,N5K|VF|MTF,94.7807,97.2856,1.2367,1.8193
SeTM+S2,K30,N5K|VF|MTF,94.7823,97.3805,0.9646,1.6619
SeTM+S2,K45,N5K|VF|MTF,95.0032,97.3817,0.5961,1.4092
SeTM+S2,K60,N5K|VF|MTF,94.9659,97.3359,0.4478,1.2549
SeTM+S2,K30_accept_fresh,N5K|VF|MTF,95.1639,97.3662,0.2210,1.1813
SeTM+S2,K30_union,N5K|VF|MTF,94.0617,97.2115,0.8668,1.7926
Seg+S2,base,N5K|VF|MTF,54.3021,40.4565,3.6467,4.7280
Seg+S2,K10,N5K|VF|MTF,75.7463,63.9897,4.5781,5.7895
Seg+S2,K20,N5K|VF|MTF,75.3125,65.8534,3.0066,4.2740
Seg+S2,K30,N5K|VF|MTF,74.7430,65.6767,2.0449,3.2567
Seg+S2,K45,N5K|VF|MTF,74.1245,65.7756,1.9065,3.0932
Seg+S2,K60,N5K|VF|MTF,74.4631,67.0681,1.4261,2.8258
Seg+S2,K30_accept_fresh,N5K|VF|MTF,75.4182,65.5018,2.2807,3.5560
Seg+S2,K30_union,N5K|VF|MTF,73.4203,66.5468,1.6358,2.9914
SC+S2,base,N5K|VF|MTF,50.4269,31.7427,4.4835,5.7736
SC+S2,K10,N5K|VF|MTF,82.2054,74.5367,5.1497,6.5002
SC+S2,K20,N5K|VF|MTF,85.2756,77.0091,2.8651,4.5405
SC+S2,K30,N5K|VF|MTF,77.7177,67.7159,1.7467,3.0060
SC+S2,K45,N5K|VF|MTF,78.9200,69.9613,1.5771,2.9842
SC+S2,K60,N5K|VF|MTF,79.9740,68.1881,1.7867,3.2724
SC+S2,K30_accept_fresh,N5K|VF|MTF,77.6162,67.9431,1.4235,2.8973
SC+S2,K30_union,N5K|VF|MTF,79.1929,73.4236,1.3169,2.5712
SF+S2,base,N5K|VF|MTF,65.0419,53.0811,4.7890,5.5565
SF+S2,K10,N5K|VF|MTF,94.1808,96.3276,2.7640,3.3393
SF+S2,K20,N5K|VF|MTF,94.6956,96.5846,1.2835,2.1023
SF+S2,K30,N5K|VF|MTF,94.6590,96.7221,1.0759,1.7586
SF+S2,K45,N5K|VF|MTF,94.8862,96.6023,0.6881,1.4995
SF+S2,K60,N5K|VF|MTF,94.9433,96.6753,0.5265,1.3508
SF+S2,K30_accept_fresh,N5K|VF|MTF,95.0737,96.8426,0.3510,1.2720
SF+S2,K30_union,N5K|VF|MTF,94.0133,97.0092,0.8561,1.8008
Y+S2,base,N5K|VF|MTF,60.8223,49.3114,3.6954,4.8813
Y+S2,K10,N5K|VF|MTF,89.9604,87.0569,2.9027,3.9825
Y+S2,K20,N5K|VF|MTF,88.1636,86.9847,1.6061,2.6856
Y+S2,K30,N5K|VF|MTF,89.8359,89.0718,1.0063,1.9937
Y+S2,K45,N5K|VF|MTF,90.3029,91.1792,0.7112,1.7367
Y+S2,K60,N5K|VF|MTF,89.3735,88.4773,0.4470,1.5963
Y+S2,K30_accept_fresh,N5K|VF|MTF,89.0755,88.5815,0.6069,1.7058
Y+S2,K30_union,N5K|VF|MTF,85.3955,85.4330,0.9273,1.9904
FLMM+S2,base,N5K|VF|MTF,61.0943,47.1815,3.2997,4.8317
FLMM+S2,K10,N5K|VF|MTF,86.7601,87.0985,2.0774,3.1802
FLMM+S2,K20,N5K|VF|MTF,86.8644,86.9879,0.8798,2.0648
FLMM+S2,K30,N5K|VF|MTF,83.2046,81.1253,1.0714,2.1883
FLMM+S2,K45,N5K|VF|MTF,85.5563,86.1663,0.5333,1.9073
FLMM+S2,K60,N5K|VF|MTF,87.0288,84.9119,0.6444,1.7673
FLMM+S2,K30_accept_fresh,N5K|VF|MTF,83.2049,80.8409,0.8432,2.1139
FLMM+S2,K30_union,N5K|VF|MTF,86.2238,87.3958,0.8119,1.9956
SeTM+S3,base,N5K|VF|MTF,94.7760,97.2020,0.1804,1.3168
SeTM+S3,K10,N5K|VF|MTF,94.7647,97.1410,0.2779,1.2716
SeTM+S3,K20,N5K|VF|MTF,94.8123,97.2424,0.2350,1.2500
SeTM+S3,K30,N5K|VF,93.3379,96.0253,0.2920,1.1974
SeTM+S3,K45,N5K|VF,93.2355,96.0270,0.2706,1.2030
SeTM+S3,K60,N5K|VF,93.4016,96.0253,0.2714,1.2029
SeTM+S3,K30_accept_fresh,N5K|VF,93.0320,95.8109,0.3572,1.3605
SeTM+S3,K30_union,N5K|VF,92.2003,95.8083,0.3572,1.4125
Seg+S3,base,N5K|VF|MTF,81.4951,66.2204,0.6796,2.1290
