partition,method,scene,frame,iou
MTF,FoodMem,1,0,0.933161
MTF,FoodMem,1,1,0.956208
MTF,FoodMem,1,2,0.962806
MTF,FoodMem,1,3,0.953363
MTF,FoodMem,1,4,0.960840
MTF,FoodMem,1,5,0.962704
MTF,FoodMem,1,6,0.959452
MTF,FoodMem,1,7,0.943846
MTF,FoodMem,1,8,0.950611
MTF,FoodMem,1,9,0.955718
MTF,FoodMem,1,10,0.943140
MTF,FoodMem,1,11,0.935953
MTF,FoodMem,1,12,0.953887
MTF,FoodMem,1,13,0.958783
MTF,FoodMem,1,14,0.969546
MTF,FoodMem,1,15,0.967021
MTF,FoodMem,1,16,0.951112
MTF,FoodMem,1,17,0.935805
MTF,FoodMem,1,18,0.962907
MTF,FoodMem,1,19,0.935234
MTF,FoodMem,1,20,0.961137
MTF,FoodMem,1,21,0.968897
MTF,FoodMem,1,22,0.964501
MTF,FoodMem,1,23,0.961972
MTF,FoodMem,1,24,0.962282
MTF,FoodMem,1,25,0.964227
MTF,FoodMem,1,26,0.960775
MTF,FoodMem,1,27,0.953918
MTF,FoodMem,1,28,0.955992
MTF,FoodMem,1,29,0.969750
MTF,FoodMem,1,30,0.975004
MTF,FoodMem,1,31,0.980808
MTF,FoodMem,1,32,0.972084
MTF,FoodMem,1,33,0.976571
MTF,FoodMem,1,34,0.983133
MTF,FoodMem,1,35,0.981800
MTF,FoodMem,1,36,0.971824
MTF,FoodMem,1,37,0.978344
MTF,FoodMem,1,38,0.973855
MTF,FoodMem,1,39,0.970153
MTF,FoodMem,1,40,0.968952
MTF,FoodMem,1,41,0.984647
MTF,FoodMem,1,42,0.986414
MTF,FoodMem,1,43,0.983984
MTF,FoodMem,1,44,0.982506
MTF,FoodMem,1,45,0.984930
MTF,FoodMem,1,46,0.987455
MTF,FoodMem,1,47,0.985284
MTF,FoodMem,1,48,0.978694
MTF,FoodMem,1,49,0.977343
MTF,FoodMem,1,50,0.979384
MTF,FoodMem,1,51,0.984880
MTF,FoodMem,1,52,0.984478
MTF,FoodMem,1,53,0.981283
MTF,FoodMem,1,54,0.984482
MTF,FoodMem,1,55,0.985388
MTF,FoodMem,1,56,0.983251
MTF,FoodMem,1,57,0.981715
MTF,FoodMem,1,58,0.979705
MTF,FoodMem,1,59,0.979108
MTF,FoodMem,1,60,0.972283
MTF,FoodMem,1,61,0.973010
MTF,FoodMem,1,62,0.972170
MTF,FoodMem,1,63,0.976691
MTF,FoodMem,1,64,0.973828
MTF,FoodMem,1,65,0.972707
MTF,FoodMem,1,66,0.973383
MTF,FoodMem,1,67,0.971345
MTF,FoodMem,1,68,0.976333
MTF,FoodMem,1,69,0.980405
MTF,FoodMem,1,70,0.977265
MTF,FoodMem,1,71,0.975739
MTF,FoodMem,1,72,0.975580
MTF,FoodMem,1,73,0.976304
MTF,FoodMem,1,74,0.976573
MTF,FoodMem,1,75,0.975642
MTF,FoodMem,1,76,0.944505
MTF,FoodMem,1,77,0.978608
MTF,FoodMem,1,78,0.970067
MTF,FoodMem,1,79,0.969682
MTF,FoodMem,1,80,0.969055
MTF,FoodMem,1,81,0.972218
MTF,FoodMem,1,82,0.965577
MTF,FoodMem,1,83,0.961492
MTF,FoodMem,1,84,0.961891
MTF,FoodMem,1,85,0.964922
MTF,FoodMem,1,86,0.966077
MTF,FoodMem,1,87,0.965043
MTF,FoodMem,1,88,0.971299
MTF,FoodMem,1,89,0.957983
MTF,FoodMem,1,90,0.959217
MTF,FoodMem,1,91,0.957638
MTF,FoodMem,1,92,0.970963
MTF,FoodMem,1,93,0.969955
MTF,FoodMem,1,94,0.952125
MTF,FoodMem,1,95,0.948852
MTF,FoodMem,1,96,0.958648
MTF,FoodMem,1,97,0.959294
MTF,FoodMem,1,98,0.939058
MTF,FoodMem,1,99,0.958376
MTF,FoodMem,1,100,0.940933
MTF,FoodMem,1,101,0.924498
MTF,FoodMem,1,102,0.927937
MTF,FoodMem,1,103,0.933479
MTF,FoodMem,1,104,0.937988
MTF,FoodMem,1,105,0.935375
MTF,FoodMem,1,106,0.936318
MTF,FoodMem,1,107,0.930494
MTF,FoodMem,1,108,0.941570
MTF,FoodMem,1,109,0.948422
MTF,FoodMem,1,110,0.923738
MTF,FoodMem,1,111,0.940834
MTF,FoodMem,1,112,0.939602
MTF,FoodMem,1,113,0.964121
MTF,FoodMem,1,114,0.948109
MTF,FoodMem,1,115,0.937314
MTF,FoodMem,1,116,0.941590
MTF,FoodMem,1,117,0.975518
MTF,FoodMem,1,118,0.966441
MTF,FoodMem,1,119,0.970385
MTF,FoodMem,1,120,0.968598
MTF,FoodMem,1,121,0.981841
MTF,FoodMem,1,122,0.985731
