partition,method,scene,frame,iou
MTF,FoodMem_mem20,1,0,0.933161
MTF,FoodMem_mem20,1,1,0.956208
MTF,FoodMem_mem20,1,2,0.958089
MTF,FoodMem_mem20,1,3,0.949312
MTF,FoodMem_mem20,1,4,0.953135
MTF,FoodMem_mem20,1,5,0.955748
MTF,FoodMem_mem20,1,6,0.947085
MTF,FoodMem_mem20,1,7,0.939815
MTF,FoodMem_mem20,1,8,0.942309
MTF,FoodMem_mem20,1,9,0.944670
MTF,FoodMem_mem20,1,10,0.943849
MTF,FoodMem_mem20,1,11,0.942812
MTF,FoodMem_mem20,1,12,0.951544
MTF,FoodMem_mem20,1,13,0.951608
MTF,FoodMem_mem20,1,14,0.964520
MTF,FoodMem_mem20,1,15,0.960826
MTF,FoodMem_mem20,1,16,0.934224
MTF,FoodMem_mem20,1,17,0.919586
MTF,FoodMem_mem20,1,18,0.942673
MTF,FoodMem_mem20,1,19,0.942386
MTF,FoodMem_mem20,1,20,0.934052
MTF,FoodMem_mem20,1,21,0.939903
MTF,FoodMem_mem20,1,22,0.947196
MTF,FoodMem_mem20,1,23,0.944869
MTF,FoodMem_mem20,1,24,0.941786
MTF,FoodMem_mem20,1,25,0.941014
MTF,FoodMem_mem20,1,26,0.937655
MTF,FoodMem_mem20,1,27,0.939805
MTF,FoodMem_mem20,1,28,0.942433
MTF,FoodMem_mem20,1,29,0.944025
MTF,FoodMem_mem20,1,30,0.938856
MTF,FoodMem_mem20,1,31,0.954507
MTF,FoodMem_mem20,1,32,0.960735
MTF,FoodMem_mem20,1,33,0.963700
MTF,FoodMem_mem20,1,34,0.975510
MTF,FoodMem_mem20,1,35,0.976592
MTF,FoodMem_mem20,1,36,0.972595
MTF,FoodMem_mem20,1,37,0.980606
MTF,FoodMem_mem20,1,38,0.978484
MTF,FoodMem_mem20,1,39,0.975620
MTF,FoodMem_mem20,1,40,0.971312
MTF,FoodMem_mem20,1,41,0.981537
MTF,FoodMem_mem20,1,42,0.983632
MTF,FoodMem_mem20,1,43,0.978203
MTF,FoodMem_mem20,1,44,0.970985
MTF,FoodMem_mem20,1,45,0.979516
MTF,FoodMem_mem20,1,46,0.987234
MTF,FoodMem_mem20,1,47,0.985252
MTF,FoodMem_mem20,1,48,0.980097
MTF,FoodMem_mem20,1,49,0.979398
MTF,FoodMem_mem20,1,50,0.981462
MTF,FoodMem_mem20,1,51,0.985847
MTF,FoodMem_mem20,1,52,0.987245
MTF,FoodMem_mem20,1,53,0.985634
MTF,FoodMem_mem20,1,54,0.987229
MTF,FoodMem_mem20,1,55,0.986404
MTF,FoodMem_mem20,1,56,0.983374
MTF,FoodMem_mem20,1,57,0.984654
MTF,FoodMem_mem20,1,58,0.983140
MTF,FoodMem_mem20,1,59,0.977509
MTF,FoodMem_mem20,1,60,0.977824
MTF,FoodMem_mem20,1,61,0.975191
MTF,FoodMem_mem20,1,62,0.978522
MTF,FoodMem_mem20,1,63,0.982608
MTF,FoodMem_mem20,1,64,0.985772
MTF,FoodMem_mem20,1,65,0.982086
MTF,FoodMem_mem20,1,66,0.981523
MTF,FoodMem_mem20,1,67,0.978724
MTF,FoodMem_mem20,1,68,0.982443
MTF,FoodMem_mem20,1,69,0.982077
MTF,FoodMem_mem20,1,70,0.982236
