partition,method,scene,frame,iou
MTF,S+X2_M6,1,0,0.069429
MTF,S+X2_M6,1,1,0.076801
MTF,S+X2_M6,1,2,0.141197
MTF,S+X2_M6,1,3,0.093245
MTF,S+X2_M6,1,4,0.068495
MTF,S+X2_M6,1,5,0.034028
MTF,S+X2_M6,1,6,0.021836
MTF,S+X2_M6,1,7,0.028935
MTF,S+X2_M6,1,8,0.042452
MTF,S+X2_M6,1,9,0.025320
MTF,S+X2_M6,1,10,0.044227
MTF,S+X2_M6,1,11,0.048856
MTF,S+X2_M6,1,12,0.042374
MTF,S+X2_M6,1,13,0.006103
MTF,S+X2_M6,1,14,0.065645
MTF,S+X2_M6,1,15,0.048516
MTF,S+X2_M6,1,16,0.049880
MTF,S+X2_M6,1,17,0.051559
MTF,S+X2_M6,1,18,0.096878
MTF,S+X2_M6,1,19,0.142146
MTF,S+X2_M6,1,20,0.121268
MTF,S+X2_M6,1,21,0.132596
MTF,S+X2_M6,1,22,0.138846
MTF,S+X2_M6,1,23,0.132486
MTF,S+X2_M6,1,24,0.158747
MTF,S+X2_M6,1,25,0.167260
MTF,S+X2_M6,1,26,0.186572
MTF,S+X2_M6,1,27,0.178343
MTF,S+X2_M6,1,28,0.130927
MTF,S+X2_M6,1,29,0.140849
MTF,S+X2_M6,1,30,0.134576
MTF,S+X2_M6,1,31,0.124713
MTF,S+X2_M6,1,32,0.113320
MTF,S+X2_M6,1,33,0.111954
MTF,S+X2_M6,1,34,0.068198
MTF,S+X2_M6,1,35,0.020567
MTF,S+X2_M6,1,36,0.033976
MTF,S+X2_M6,1,37,0.000000
MTF,S+X2_M6,1,38,0.000000
MTF,S+X2_M6,1,39,0.000000
MTF,S+X2_M6,1,40,0.000000
MTF,S+X2_M6,1,41,0.000000
MTF,S+X2_M6,1,42,0.000000
MTF,S+X2_M6,1,43,0.000000
MTF,S+X2_M6,1,44,0.000000
MTF,S+X2_M6,1,45,0.000000
MTF,S+X2_M6,1,46,0.003156
MTF,S+X2_M6,1,47,0.005785
MTF,S+X2_M6,1,48,0.016833
MTF,S+X2_M6,1,49,0.016118
MTF,S+X2_M6,1,50,0.002831
MTF,S+X2_M6,1,51,0.030882
MTF,S+X2_M6,1,52,0.063649
MTF,S+X2_M6,1,53,0.047733
MTF,S+X2_M6,1,54,0.054734
MTF,S+X2_M6,1,55,0.080584
MTF,S+X2_M6,1,56,0.074713
MTF,S+X2_M6,1,57,0.064345
MTF,S+X2_M6,1,58,0.092296
MTF,S+X2_M6,1,59,0.020983
MTF,S+X2_M6,1,60,0.126485
MTF,S+X2_M6,1,61,0.052577
MTF,S+X2_M6,1,62,0.130967
MTF,S+X2_M6,1,63,0.113568
MTF,S+X2_M6,1,64,0.071161
MTF,S+X2_M6,1,65,0.088566
MTF,S+X2_M6,1,66,0.098150
MTF,S+X2_M6,1,67,0.110384
MTF,S+X2_M6,1,68,0.111139
MTF,S+X2_M6,1,69,0.106092
MTF,S+X2_M6,1,70,0.122259
MTF,S+X2_M6,1,71,0.098274
MTF,S+X2_M6,1,72,0.100391
MTF,S+X2_M6,1,73,0.104646
MTF,S+X2_M6,1,74,0.097560
MTF,S+X2_M6,1,75,0.083838
MTF,S+X2_M6,1,76,0.075526
MTF,S+X2_M6,1,77,0.071953
MTF,S+X2_M6,1,78,0.067813
MTF,S+X2_M6,1,79,0.077238
MTF,S+X2_M6,1,80,0.065382
MTF,S+X2_M6,1,81,0.056155
MTF,S+X2_M6,1,82,0.097074
MTF,S+X2_M6,1,83,0.049932
MTF,S+X2_M6,1,84,0.000000
MTF,S+X2_M6,1,85,0.000000
MTF,S+X2_M6,1,86,0.000000
MTF,S+X2_M6,1,87,0.000000
MTF,S+X2_M6,1,88,0.000000
MTF,S+X2_M6,1,89,0.018298
MTF,S+X2_M6,1,90,0.000000
MTF,S+X2_M6,1,91,0.000000
MTF,S+X2_M6,1,92,0.000000
MTF,S+X2_M6,1,93,0.006481
MTF,S+X2_M6,1,94,0.000000
MTF,S+X2_M6,1,95,0.000000
MTF,S+X2_M6,1,96,0.000932
MTF,S+X2_M6,1,97,0.000000
MTF,S+X2_M6,1,98,0.000000
MTF,S+X2_M6,1,99,0.000000
MTF,S+X2_M6,1,100,0.005529
MTF,S+X2_M6,1,101,0.024069
MTF,S+X2_M6,1,102,0.034270
MTF,S+X2_M6,1,103,0.019033
MTF,S+X2_M6,1,104,0.027374
MTF,S+X2_M6,1,105,0.000000
MTF,S+X2_M6,1,106,0.000000
MTF,S+X2_M6,1,107,0.069622
MTF,S+X2_M6,1,108,0.000000
MTF,S+X2_M6,1,109,0.134253
MTF,S+X2_M6,1,110,0.091532
MTF,S+X2_M6,1,111,0.068325
MTF,S+X2_M6,1,112,0.113959
MTF,S+X2_M6,1,113,0.147679
MTF,S+X2_M6,1,114,0.112674
MTF,S+X2_M6,1,115,0.020747
MTF,S+X2_M6,1,116,0.087329
