partition,method,scene,frame,iou
MTF,S+X2_M6_r1,1,0,0.408383
MTF,S+X2_M6_r1,1,1,0.409991
MTF,S+X2_M6_r1,1,2,0.419669
MTF,S+X2_M6_r1,1,3,0.415168
MTF,S+X2_M6_r1,1,4,0.485592
MTF,S+X2_M6_r1,1,5,0.482680
MTF,S+X2_M6_r1,1,6,0.526244
MTF,S+X2_M6_r1,1,7,0.502534
MTF,S+X2_M6_r1,1,8,0.466438
MTF,S+X2_M6_r1,1,9,0.488208
MTF,S+X2_M6_r1,1,10,0.484227
MTF,S+X2_M6_r1,1,11,0.497138
MTF,S+X2_M6_r1,1,12,0.516663
MTF,S+X2_M6_r1,1,13,0.521004
MTF,S+X2_M6_r1,1,14,0.513982
MTF,S+X2_M6_r1,1,15,0.436470
MTF,S+X2_M6_r1,1,16,0.446622
MTF,S+X2_M6_r1,1,17,0.447959
MTF,S+X2_M6_r1,1,18,0.472487
MTF,S+X2_M6_r1,1,19,0.421798
MTF,S+X2_M6_r1,1,20,0.409982
MTF,S+X2_M6_r1,1,21,0.425439
MTF,S+X2_M6_r1,1,22,0.404109
MTF,S+X2_M6_r1,1,23,0.420633
MTF,S+X2_M6_r1,1,24,0.392918
MTF,S+X2_M6_r1,1,25,0.381296
MTF,S+X2_M6_r1,1,26,0.355317
MTF,S+X2_M6_r1,1,27,0.302617
MTF,S+X2_M6_r1,1,28,0.313362
MTF,S+X2_M6_r1,1,29,0.294348
MTF,S+X2_M6_r1,1,30,0.246237
MTF,S+X2_M6_r1,1,31,0.238572
MTF,S+X2_M6_r1,1,32,0.219449
MTF,S+X2_M6_r1,1,33,0.213443
MTF,S+X2_M6_r1,1,34,0.191491
MTF,S+X2_M6_r1,1,35,0.164653
MTF,S+X2_M6_r1,1,36,0.085433
MTF,S+X2_M6_r1,1,37,0.046648
MTF,S+X2_M6_r1,1,38,0.022802
MTF,S+X2_M6_r1,1,39,0.024786
MTF,S+X2_M6_r1,1,40,0.023857
MTF,S+X2_M6_r1,1,41,0.000000
MTF,S+X2_M6_r1,1,42,0.000000
MTF,S+X2_M6_r1,1,43,0.000000
MTF,S+X2_M6_r1,1,44,0.000000
MTF,S+X2_M6_r1,1,45,0.000000
MTF,S+X2_M6_r1,1,46,0.004577
MTF,S+X2_M6_r1,1,47,0.022151
MTF,S+X2_M6_r1,1,48,0.039369
MTF,S+X2_M6_r1,1,49,0.044838
MTF,S+X2_M6_r1,1,50,0.040296
MTF,S+X2_M6_r1,1,51,0.025106
MTF,S+X2_M6_r1,1,52,0.072925
MTF,S+X2_M6_r1,1,53,0.075738
MTF,S+X2_M6_r1,1,54,0.060447
MTF,S+X2_M6_r1,1,55,0.080896
MTF,S+X2_M6_r1,1,56,0.064412
MTF,S+X2_M6_r1,1,57,0.041979
MTF,S+X2_M6_r1,1,58,0.066448
MTF,S+X2_M6_r1,1,59,0.020983
MTF,S+X2_M6_r1,1,60,0.053786
MTF,S+X2_M6_r1,1,61,0.052577
MTF,S+X2_M6_r1,1,62,0.081242
MTF,S+X2_M6_r1,1,63,0.098567
MTF,S+X2_M6_r1,1,64,0.112474
MTF,S+X2_M6_r1,1,65,0.132721
MTF,S+X2_M6_r1,1,66,0.137434
MTF,S+X2_M6_r1,1,67,0.174786
MTF,S+X2_M6_r1,1,68,0.176440
MTF,S+X2_M6_r1,1,69,0.182498
MTF,S+X2_M6_r1,1,70,0.229958
MTF,S+X2_M6_r1,1,71,0.217661
MTF,S+X2_M6_r1,1,72,0.296390
MTF,S+X2_M6_r1,1,73,0.297715
MTF,S+X2_M6_r1,1,74,0.327276
