partition,method,scene,frame,iou
MTF,SF+X2,1,0,0.875502
MTF,SF+X2,1,1,0.881112
MTF,SF+X2,1,2,0.983530
MTF,SF+X2,1,3,0.983114
MTF,SF+X2,1,4,0.978653
MTF,SF+X2,1,5,0.981634
MTF,SF+X2,1,6,0.982089
MTF,SF+X2,1,7,0.980178
MTF,SF+X2,1,8,0.985779
MTF,SF+X2,1,9,0.987624
MTF,SF+X2,1,10,0.980800
MTF,SF+X2,1,11,0.978989
MTF,SF+X2,1,12,0.974168
MTF,SF+X2,1,13,0.978267
MTF,SF+X2,1,14,0.967360
MTF,SF+X2,1,15,0.971866
MTF,SF+X2,1,16,0.977248
MTF,SF+X2,1,17,0.979380
MTF,SF+X2,1,18,0.971650
MTF,SF+X2,1,19,0.958756
MTF,SF+X2,1,20,0.969897
MTF,SF+X2,1,21,0.973504
MTF,SF+X2,1,22,0.976194
MTF,SF+X2,1,23,0.976222
MTF,SF+X2,1,24,0.968751
MTF,SF+X2,1,25,0.978308
MTF,SF+X2,1,26,0.975761
MTF,SF+X2,1,27,0.972845
MTF,SF+X2,1,28,0.974122
MTF,SF+X2,1,29,0.973112
MTF,SF+X2,1,30,0.971694
MTF,SF+X2,1,31,0.976417
MTF,SF+X2,1,32,0.986120
MTF,SF+X2,1,33,0.979608
MTF,SF+X2,1,34,0.977468
MTF,SF+X2,1,35,0.980453
MTF,SF+X2,1,36,0.987672
MTF,SF+X2,1,37,0.988433
MTF,SF+X2,1,38,0.990514
MTF,SF+X2,1,39,0.987370
MTF,SF+X2,1,40,0.987666
MTF,SF+X2,1,41,0.988083
MTF,SF+X2,1,42,0.988630
MTF,SF+X2,1,43,0.987976
MTF,SF+X2,1,44,0.989646
MTF,SF+X2,1,45,0.985451
MTF,SF+X2,1,46,0.984308
MTF,SF+X2,1,47,0.990545
MTF,SF+X2,1,48,0.993438
MTF,SF+X2,1,49,0.988187
MTF,SF+X2,1,50,0.992442
MTF,SF+X2,1,51,0.989104
MTF,SF+X2,1,52,0.988705
MTF,SF+X2,1,53,0.989114
MTF,SF+X2,1,54,0.987841
MTF,SF+X2,1,55,0.988449
MTF,SF+X2,1,56,0.989660
MTF,SF+X2,1,57,0.987401
MTF,SF+X2,1,58,0.987999
MTF,SF+X2,1,59,0.984192
MTF,SF+X2,1,60,0.974681
MTF,SF+X2,1,61,0.961303
MTF,SF+X2,1,62,0.974975
MTF,SF+X2,1,63,0.966246
MTF,SF+X2,1,64,0.971802
MTF,SF+X2,1,65,0.986748
MTF,SF+X2,1,66,0.984472
MTF,SF+X2,1,67,0.984373
MTF,SF+X2,1,68,0.987804
MTF,SF+X2,1,69,0.986829
MTF,SF+X2,1,70,0.992323
MTF,SF+X2,1,71,0.990882
MTF,SF+X2,1,72,0.988315
MTF,SF+X2,1,73,0.988243
MTF,SF+X2,1,74,0.989344
MTF,SF+X2,1,75,0.985115
MTF,SF+X2,1,76,0.964650
MTF,SF+X2,1,77,0.982787
