partition,method,scene,frame,iou
MTF,SF+X2_M3_r0,1,0,0.929364
MTF,SF+X2_M3_r0,1,1,0.911158
MTF,SF+X2_M3_r0,1,2,0.923111
MTF,SF+X2_M3_r0,1,3,0.915410
MTF,SF+X2_M3_r0,1,4,0.911897
MTF,SF+X2_M3_r0,1,5,0.922306
MTF,SF+X2_M3_r0,1,6,0.918556
MTF,SF+X2_M3_r0,1,7,0.916426
MTF,SF+X2_M3_r0,1,8,0.921088
MTF,SF+X2_M3_r0,1,9,0.917330
MTF,SF+X2_M3_r0,1,10,0.911635
MTF,SF+X2_M3_r0,1,11,0.912350
MTF,SF+X2_M3_r0,1,12,0.907401
MTF,SF+X2_M3_r0,1,13,0.917803
MTF,SF+X2_M3_r0,1,14,0.915895
MTF,SF+X2_M3_r0,1,15,0.913404
MTF,SF+X2_M3_r0,1,16,0.916994
MTF,SF+X2_M3_r0,1,17,0.915579
MTF,SF+X2_M3_r0,1,18,0.896165
MTF,SF+X2_M3_r0,1,19,0.911086
MTF,SF+X2_M3_r0,1,20,0.905730
MTF,SF+X2_M3_r0,1,21,0.915803
MTF,SF+X2_M3_r0,1,22,0.920751
MTF,SF+X2_M3_r0,1,23,0.881461
MTF,SF+X2_M3_r0,1,24,0.920263
MTF,SF+X2_M3_r0,1,25,0.926443
MTF,SF+X2_M3_r0,1,26,0.926060
MTF,SF+X2_M3_r0,1,27,0.921350
MTF,SF+X2_M3_r0,1,28,0.918943
MTF,SF+X2_M3_r0,1,29,0.915878
MTF,SF+X2_M3_r0,1,30,0.911187
MTF,SF+X2_M3_r0,1,31,0.929481
MTF,SF+X2_M3_r0,1,32,0.927066
MTF,SF+X2_M3_r0,1,33,0.930498
MTF,SF+X2_M3_r0,1,34,0.925532
MTF,SF+X2_M3_r0,1,35,0.937088
MTF,SF+X2_M3_r0,1,36,0.944202
MTF,SF+X2_M3_r0,1,37,0.942455
MTF,SF+X2_M3_r0,1,38,0.934175
MTF,SF+X2_M3_r0,1,39,0.939438
MTF,SF+X2_M3_r0,1,40,0.937607
MTF,SF+X2_M3_r0,1,41,0.949137
MTF,SF+X2_M3_r0,1,42,0.952401
MTF,SF+X2_M3_r0,1,43,0.953906
MTF,SF+X2_M3_r0,1,44,0.950945
MTF,SF+X2_M3_r0,1,45,0.949553
MTF,SF+X2_M3_r0,1,46,0.944031
MTF,SF+X2_M3_r0,1,47,0.937665
MTF,SF+X2_M3_r0,1,48,0.935267
MTF,SF+X2_M3_r0,1,49,0.929326
MTF,SF+X2_M3_r0,1,50,0.929135
MTF,SF+X2_M3_r0,1,51,0.945956
MTF,SF+X2_M3_r0,1,52,0.940059
MTF,SF+X2_M3_r0,1,53,0.943525
MTF,SF+X2_M3_r0,1,54,0.942951
MTF,SF+X2_M3_r0,1,55,0.940223
MTF,SF+X2_M3_r0,1,56,0.938348
MTF,SF+X2_M3_r0,1,57,0.938831
MTF,SF+X2_M3_r0,1,58,0.937975
MTF,SF+X2_M3_r0,1,59,0.930848
MTF,SF+X2_M3_r0,1,60,0.935075
MTF,SF+X2_M3_r0,1,61,0.936421
MTF,SF+X2_M3_r0,1,62,0.942584
MTF,SF+X2_M3_r0,1,63,0.934328
MTF,SF+X2_M3_r0,1,64,0.935825
MTF,SF+X2_M3_r0,1,65,0.940268
MTF,SF+X2_M3_r0,1,66,0.940496
MTF,SF+X2_M3_r0,1,67,0.931095
MTF,SF+X2_M3_r0,1,68,0.940233
MTF,SF+X2_M3_r0,1,69,0.941095
MTF,SF+X2_M3_r0,1,70,0.944716
MTF,SF+X2_M3_r0,1,71,0.954897
MTF,SF+X2_M3_r0,1,72,0.695366
MTF,SF+X2_M3_r0,1,73,0.869547
MTF,SF+X2_M3_r0,1,74,0.879324
MTF,SF+X2_M3_r0,1,75,0.949814
MTF,SF+X2_M3_r0,1,76,0.935460
MTF,SF+X2_M3_r0,1,77,0.946084
