partition,method,scene,frame,iou
MTF,SF+X2_M9,1,0,0.875502
MTF,SF+X2_M9,1,1,0.905185
MTF,SF+X2_M9,1,2,0.951006
MTF,SF+X2_M9,1,3,0.937077
MTF,SF+X2_M9,1,4,0.948826
MTF,SF+X2_M9,1,5,0.955457
MTF,SF+X2_M9,1,6,0.938400
MTF,SF+X2_M9,1,7,0.944332
MTF,SF+X2_M9,1,8,0.949867
MTF,SF+X2_M9,1,9,0.964820
MTF,SF+X2_M9,1,10,0.962268
MTF,SF+X2_M9,1,11,0.966532
MTF,SF+X2_M9,1,12,0.960979
MTF,SF+X2_M9,1,13,0.957285
MTF,SF+X2_M9,1,14,0.952619
MTF,SF+X2_M9,1,15,0.953551
MTF,SF+X2_M9,1,16,0.961019
MTF,SF+X2_M9,1,17,0.950815
MTF,SF+X2_M9,1,18,0.956114
MTF,SF+X2_M9,1,19,0.959805
MTF,SF+X2_M9,1,20,0.956618
MTF,SF+X2_M9,1,21,0.950855
MTF,SF+X2_M9,1,22,0.957839
MTF,SF+X2_M9,1,23,0.959803
MTF,SF+X2_M9,1,24,0.951760
MTF,SF+X2_M9,1,25,0.965254
MTF,SF+X2_M9,1,26,0.962300
MTF,SF+X2_M9,1,27,0.953766
MTF,SF+X2_M9,1,28,0.956215
MTF,SF+X2_M9,1,29,0.961295
MTF,SF+X2_M9,1,30,0.956330
MTF,SF+X2_M9,1,31,0.957054
MTF,SF+X2_M9,1,32,0.966108
MTF,SF+X2_M9,1,33,0.956623
MTF,SF+X2_M9,1,34,0.955623
MTF,SF+X2_M9,1,35,0.957310
MTF,SF+X2_M9,1,36,0.964707
MTF,SF+X2_M9,1,37,0.962092
MTF,SF+X2_M9,1,38,0.963149
MTF,SF+X2_M9,1,39,0.979131
MTF,SF+X2_M9,1,40,0.980458
MTF,SF+X2_M9,1,41,0.962104
MTF,SF+X2_M9,1,42,0.962032
MTF,SF+X2_M9,1,43,0.961836
MTF,SF+X2_M9,1,44,0.963365
MTF,SF+X2_M9,1,45,0.965434
MTF,SF+X2_M9,1,46,0.964900
MTF,SF+X2_M9,1,47,0.962043
MTF,SF+X2_M9,1,48,0.964380
MTF,SF+X2_M9,1,49,0.972248
MTF,SF+X2_M9,1,50,0.975091
MTF,SF+X2_M9,1,51,0.969559
MTF,SF+X2_M9,1,52,0.965961
MTF,SF+X2_M9,1,53,0.973277
MTF,SF+X2_M9,1,54,0.969819
MTF,SF+X2_M9,1,55,0.966931
MTF,SF+X2_M9,1,56,0.964872
MTF,SF+X2_M9,1,57,0.963585
MTF,SF+X2_M9,1,58,0.961907
MTF,SF+X2_M9,1,59,0.961668
MTF,SF+X2_M9,1,60,0.954453
MTF,SF+X2_M9,1,61,0.949117
MTF,SF+X2_M9,1,62,0.965130
MTF,SF+X2_M9,1,63,0.956936
MTF,SF+X2_M9,1,64,0.957941
MTF,SF+X2_M9,1,65,0.961008
MTF,SF+X2_M9,1,66,0.958386
MTF,SF+X2_M9,1,67,0.962897
MTF,SF+X2_M9,1,68,0.968294
MTF,SF+X2_M9,1,69,0.975380
MTF,SF+X2_M9,1,70,0.976970
MTF,SF+X2_M9,1,71,0.975874
MTF,SF+X2_M9,1,72,0.973987
MTF,SF+X2_M9,1,73,0.973835
MTF,SF+X2_M9,1,74,0.970967
MTF,SF+X2_M9,1,75,0.963951
MTF,SF+X2_M9,1,76,0.953982
MTF,SF+X2_M9,1,77,0.964985
MTF,SF+X2_M9,1,78,0.967089
MTF,SF+X2_M9,1,79,0.949416
MTF,SF+X2_M9,1,80,0.965944
MTF,SF+X2_M9,1,81,0.962378
MTF,SF+X2_M9,1,82,0.954874
MTF,SF+X2_M9,1,83,0.963485
MTF,SF+X2_M9,1,84,0.964433
MTF,SF+X2_M9,1,85,0.963542
MTF,SF+X2_M9,1,86,0.964327
MTF,SF+X2_M9,1,87,0.965440
MTF,SF+X2_M9,1,88,0.960382
MTF,SF+X2_M9,1,89,0.963734
MTF,SF+X2_M9,1,90,0.964558
MTF,SF+X2_M9,1,91,0.964445
MTF,SF+X2_M9,1,92,0.962979
MTF,SF+X2_M9,1,93,0.963212
MTF,SF+X2_M9,1,94,0.963193
MTF,SF+X2_M9,1,95,0.962887
MTF,SF+X2_M9,1,96,0.964985
MTF,SF+X2_M9,1,97,0.962602
MTF,SF+X2_M9,1,98,0.961676
MTF,SF+X2_M9,1,99,0.962397
MTF,SF+X2_M9,1,100,0.954350
MTF,SF+X2_M9,1,101,0.943439
MTF,SF+X2_M9,1,102,0.947717
MTF,SF+X2_M9,1,103,0.957031
MTF,SF+X2_M9,1,104,0.963600
MTF,SF+X2_M9,1,105,0.963385
MTF,SF+X2_M9,1,106,0.959042
MTF,SF+X2_M9,1,107,0.949770
MTF,SF+X2_M9,1,108,0.961558
MTF,SF+X2_M9,1,109,0.953312
MTF,SF+X2_M9,1,110,0.971673
MTF,SF+X2_M9,1,111,0.967552
MTF,SF+X2_M9,1,112,0.970493
MTF,SF+X2_M9,1,113,0.964085
MTF,SF+X2_M9,1,114,0.970791
MTF,SF+X2_M9,1,115,0.971647
MTF,SF+X2_M9,1,116,0.964183
MTF,SF+X2_M9,1,117,0.964503
MTF,SF+X2_M9,1,118,0.965573
MTF,SF+X2_M9,1,119,0.977377
MTF,SF+X2_M9,1,120,0.973273
MTF,SF+X2_M9,1,121,0.973380
MTF,SF+X2_M9,1,122,0.967504
MTF,SF+X2_M9,1,123,0.965523
MTF,SF+X2_M9,1,124,0.971063
MTF,SF+X2_M9,1,125,0.965593
MTF,SF+X2_M9,1,126,0.967606
MTF,SF+X2_M9,1,127,0.966313
MTF,SF+X2_M9,1,128,0.964797
MTF,SF+X2_M9,1,129,0.976524
MTF,SF+X2_M9,1,130,0.975650
MTF,SF+X2_M9,1,131,0.974698
MTF,SF+X2_M9,1,132,0.963050
MTF,SF+X2_M9,1,133,0.959831
MTF,SF+X2_M9,1,134,0.966504
MTF,SF+X2_M9,1,135,0.954197
MTF,SF+X2_M9,1,136,0.961110
MTF,SF+X2_M9,1,137,0.959290
MTF,SF+X2_M9,1,138,0.965410
MTF,SF+X2_M9,1,139,0.975667
MTF,SF+X2_M9,1,140,0.972400
MTF,SF+X2_M9,1,141,0.965465
MTF,SF+X2_M9,1,142,0.966461
MTF,SF+X2_M9,1,143,0.969504
MTF,SF+X2_M9,1,144,0.966587
MTF,SF+X2_M9,1,145,0.964835
MTF,SF+X2_M9,1,146,0.967001
MTF,SF+X2_M9,1,147,0.970757
MTF,SF+X2_M9,1,148,0.971096
MTF,SF+X2_M9,1,149,0.971331
MTF,SF+X2_M9,1,150,0.968687
MTF,SF+X2_M9,1,151,0.970796
MTF,SF+X2_M9,1,152,0.970564
MTF,SF+X2_M9,1,153,0.972085
MTF,SF+X2_M9,1,154,0.973604
MTF,SF+X2_M9,1,155,0.968883
MTF,SF+X2_M9,1,156,0.972047
MTF,SF+X2_M9,1,157,0.973209
MTF,SF+X2_M9,1,158,0.969984
MTF,SF+X2_M9,1,159,0.970914
MTF,SF+X2_M9,1,160,0.964156
MTF,SF+X2_M9,1,161,0.956596
MTF,SF+X2_M9,1,162,0.963537
MTF,SF+X2_M9,1,163,0.962201
MTF,SF+X2_M9,1,164,0.957511
MTF,SF+X2_M9,1,165,0.955787
MTF,SF+X2_M9,1,166,0.957386
MTF,SF+X2_M9,1,167,0.950106
MTF,SF+X2_M9,1,168,0.952000
MTF,SF+X2_M9,1,169,0.956102
MTF,SF+X2_M9,1,170,0.952030
MTF,SF+X2_M9,1,171,0.947590
MTF,SF+X2_M9,1,172,0.951571
MTF,SF+X2_M9,1,173,0.948997
MTF,SF+X2_M9,1,174,0.954489
MTF,SF+X2_M9,1,175,0.947339
MTF,SF+X2_M9,1,176,0.949560
MTF,SF+X2_M9,1,177,0.947445
MTF,SF+X2_M9,1,178,0.946118
MTF,SF+X2_M9,1,179,0.953702
MTF,SF+X2_M9,1,180,0.954072
MTF,SF+X2_M9,1,181,0.953412
MTF,SF+X2_M9,1,182,0.951472
MTF,SF+X2_M9,1,183,0.954242
MTF,SF+X2_M9,1,184,0.954087
MTF,SF+X2_M9,1,185,0.956268
MTF,SF+X2_M9,1,186,0.956587
MTF,SF+X2_M9,1,187,0.956584
MTF,SF+X2_M9,1,188,0.955410
MTF,SF+X2_M9,1,189,0.952777
MTF,SF+X2_M9,1,190,0.957954
MTF,SF+X2_M9,1,191,0.960826
MTF,SF+X2_M9,1,192,0.959432
MTF,SF+X2_M9,1,193,0.955505
MTF,SF+X2_M9,1,194,0.961525
MTF,SF+X2_M9,1,195,0.962710
MTF,SF+X2_M9,1,196,0.966759
MTF,SF+X2_M9,1,197,0.958483
MTF,SF+X2_M9,1,198,0.961765
MTF,SF+X2_M9,10,0,0.928615
MTF,SF+X2_M9,10,1,0.952064
MTF,SF+X2_M9,10,2,0.929756
MTF,SF+X2_M9,10,3,0.944305
MTF,SF+X2_M9,10,4,0.951897
MTF,SF+X2_M9,10,5,0.948498
MTF,SF+X2_M9,10,6,0.949507
MTF,SF+X2_M9,10,7,0.953555
MTF,SF+X2_M9,10,8,0.936783
MTF,SF+X2_M9,10,9,0.936841
MTF,SF+X2_M9,10,10,0.933659
MTF,SF+X2_M9,10,11,0.944282
MTF,SF+X2_M9,10,12,0.941289
MTF,SF+X2_M9,10,13,0.948598
MTF,SF+X2_M9,10,14,0.952990
MTF,SF+X2_M9,10,15,0.945679
MTF,SF+X2_M9,10,16,0.954588
MTF,SF+X2_M9,10,17,0.952290
MTF,SF+X2_M9,10,18,0.962236
MTF,SF+X2_M9,10,19,0.950299
MTF,SF+X2_M9,10,20,0.936923
MTF,SF+X2_M9,10,21,0.946213
MTF,SF+X2_M9,10,22,0.952442
MTF,SF+X2_M9,10,23,0.943986
MTF,SF+X2_M9,10,24,0.944070
MTF,SF+X2_M9,10,25,0.946028
MTF,SF+X2_M9,10,26,0.953262
MTF,SF+X2_M9,10,27,0.957691
MTF,SF+X2_M9,10,28,0.965038
MTF,SF+X2_M9,10,29,0.960891
MTF,SF+X2_M9,11,0,0.782534
MTF,SF+X2_M9,11,1,0.868770
MTF,SF+X2_M9,11,2,0.883962
MTF,SF+X2_M9,11,3,0.431556
MTF,SF+X2_M9,11,4,0.893791
MTF,SF+X2_M9,11,5,0.858347
MTF,SF+X2_M9,11,6,0.869150
MTF,SF+X2_M9,11,7,0.858220
MTF,SF+X2_M9,11,8,0.918667
MTF,SF+X2_M9,11,9,0.912837
MTF,SF+X2_M9,11,10,0.896974
MTF,SF+X2_M9,11,11,0.840969
MTF,SF+X2_M9,11,12,0.809840
MTF,SF+X2_M9,11,13,0.913156
MTF,SF+X2_M9,11,14,0.890257
MTF,SF+X2_M9,11,15,0.944162
MTF,SF+X2_M9,11,16,0.951378
MTF,SF+X2_M9,11,17,0.818180
MTF,SF+X2_M9,11,18,0.861387
MTF,SF+X2_M9,11,19,0.940627
MTF,SF+X2_M9,11,20,0.926343
MTF,SF+X2_M9,11,21,0.954158
MTF,SF+X2_M9,11,22,0.872398
MTF,SF+X2_M9,11,23,0.885790
MTF,SF+X2_M9,11,24,0.913356
MTF,SF+X2_M9,11,25,0.941653
