partition,method,scene,frame,iou
MTF,Y+X2,1,0,0.956167
MTF,Y+X2,1,1,0.970558
MTF,Y+X2,1,2,0.974457
MTF,Y+X2,1,3,0.976432
MTF,Y+X2,1,4,0.973574
MTF,Y+X2,1,5,0.979960
MTF,Y+X2,1,6,0.980596
MTF,Y+X2,1,7,0.978017
MTF,Y+X2,1,8,0.982835
MTF,Y+X2,1,9,0.984496
MTF,Y+X2,1,10,0.972841
MTF,Y+X2,1,11,0.976757
MTF,Y+X2,1,12,0.979507
MTF,Y+X2,1,13,0.982732
MTF,Y+X2,1,14,0.979168
MTF,Y+X2,1,15,0.983561
MTF,Y+X2,1,16,0.980834
MTF,Y+X2,1,17,0.981695
MTF,Y+X2,1,18,0.978575
MTF,Y+X2,1,19,0.963090
MTF,Y+X2,1,20,0.971905
MTF,Y+X2,1,21,0.978022
MTF,Y+X2,1,22,0.986420
MTF,Y+X2,1,23,0.985927
MTF,Y+X2,1,24,0.976346
MTF,Y+X2,1,25,0.985426
MTF,Y+X2,1,26,0.987562
MTF,Y+X2,1,27,0.985132
MTF,Y+X2,1,28,0.988312
MTF,Y+X2,1,29,0.981844
MTF,Y+X2,1,30,0.983535
MTF,Y+X2,1,31,0.986968
MTF,Y+X2,1,32,0.988334
MTF,Y+X2,1,33,0.987679
MTF,Y+X2,1,34,0.986368
MTF,Y+X2,1,35,0.989624
MTF,Y+X2,1,36,0.989381
MTF,Y+X2,1,37,0.989243
MTF,Y+X2,1,38,0.986983
MTF,Y+X2,1,39,0.983705
MTF,Y+X2,1,40,0.982550
MTF,Y+X2,1,41,0.988891
MTF,Y+X2,1,42,0.992203
MTF,Y+X2,1,43,0.990443
MTF,Y+X2,1,44,0.991114
MTF,Y+X2,1,45,0.990088
MTF,Y+X2,1,46,0.987392
MTF,Y+X2,1,47,0.990664
MTF,Y+X2,1,48,0.990962
MTF,Y+X2,1,49,0.987269
MTF,Y+X2,1,50,0.991344
MTF,Y+X2,1,51,0.992600
MTF,Y+X2,1,52,0.992754
MTF,Y+X2,1,53,0.991825
MTF,Y+X2,1,54,0.991922
MTF,Y+X2,1,55,0.992390
MTF,Y+X2,1,56,0.990489
MTF,Y+X2,1,57,0.987184
MTF,Y+X2,1,58,0.988000
MTF,Y+X2,1,59,0.985080
MTF,Y+X2,1,60,0.978993
MTF,Y+X2,1,61,0.974757
MTF,Y+X2,1,62,0.982764
MTF,Y+X2,1,63,0.975722
MTF,Y+X2,1,64,0.981711
MTF,Y+X2,1,65,0.987894
MTF,Y+X2,1,66,0.985006
MTF,Y+X2,1,67,0.985486
MTF,Y+X2,1,68,0.990767
MTF,Y+X2,1,69,0.990065
MTF,Y+X2,1,70,0.991237
MTF,Y+X2,1,71,0.991024
MTF,Y+X2,1,72,0.990362
MTF,Y+X2,1,73,0.990227
MTF,Y+X2,1,74,0.985756
MTF,Y+X2,1,75,0.980782
MTF,Y+X2,1,76,0.958163
MTF,Y+X2,1,77,0.983769
MTF,Y+X2,1,78,0.984587
MTF,Y+X2,1,79,0.983080
MTF,Y+X2,1,80,0.986093
MTF,Y+X2,1,81,0.982440
MTF,Y+X2,1,82,0.978465
MTF,Y+X2,1,83,0.982627
MTF,Y+X2,1,84,0.981763
MTF,Y+X2,1,85,0.979814
MTF,Y+X2,1,86,0.978920
MTF,Y+X2,1,87,0.977342
MTF,Y+X2,1,88,0.975825
MTF,Y+X2,1,89,0.979364
MTF,Y+X2,1,90,0.978309
MTF,Y+X2,1,91,0.973607
MTF,Y+X2,1,92,0.977935
MTF,Y+X2,1,93,0.980333
MTF,Y+X2,1,94,0.980549
MTF,Y+X2,1,95,0.980281
MTF,Y+X2,1,96,0.979691
MTF,Y+X2,1,97,0.985277
MTF,Y+X2,1,98,0.984288
MTF,Y+X2,1,99,0.985055
MTF,Y+X2,1,100,0.976306
MTF,Y+X2,1,101,0.967812
MTF,Y+X2,1,102,0.973177
MTF,Y+X2,1,103,0.970875
MTF,Y+X2,1,104,0.973143
MTF,Y+X2,1,105,0.976199
MTF,Y+X2,1,106,0.974936
MTF,Y+X2,1,107,0.977824
MTF,Y+X2,1,108,0.976968
MTF,Y+X2,1,109,0.969529
MTF,Y+X2,1,110,0.972418
MTF,Y+X2,1,111,0.979922
MTF,Y+X2,1,112,0.975329
MTF,Y+X2,1,113,0.980307
MTF,Y+X2,1,114,0.982349
MTF,Y+X2,1,115,0.975263
MTF,Y+X2,1,116,0.973613
MTF,Y+X2,1,117,0.983034
MTF,Y+X2,1,118,0.985298
MTF,Y+X2,1,119,0.986784
MTF,Y+X2,1,120,0.980055
MTF,Y+X2,1,121,0.982776
