partition,method,scene,frame,iou
MTF,Y+X2_M3,1,0,0.956167
MTF,Y+X2_M3,1,1,0.957650
MTF,Y+X2_M3,1,2,0.954839
MTF,Y+X2_M3,1,3,0.968075
MTF,Y+X2_M3,1,4,0.966202
MTF,Y+X2_M3,1,5,0.974506
MTF,Y+X2_M3,1,6,0.972775
MTF,Y+X2_M3,1,7,0.968834
MTF,Y+X2_M3,1,8,0.972125
MTF,Y+X2_M3,1,9,0.972467
MTF,Y+X2_M3,1,10,0.968395
MTF,Y+X2_M3,1,11,0.972826
MTF,Y+X2_M3,1,12,0.973467
MTF,Y+X2_M3,1,13,0.973563
MTF,Y+X2_M3,1,14,0.973347
MTF,Y+X2_M3,1,15,0.974221
MTF,Y+X2_M3,1,16,0.962648
MTF,Y+X2_M3,1,17,0.973146
MTF,Y+X2_M3,1,18,0.976925
MTF,Y+X2_M3,1,19,0.966124
MTF,Y+X2_M3,1,20,0.977776
MTF,Y+X2_M3,1,21,0.975037
MTF,Y+X2_M3,1,22,0.974502
MTF,Y+X2_M3,1,23,0.983723
MTF,Y+X2_M3,1,24,0.967897
MTF,Y+X2_M3,1,25,0.982648
MTF,Y+X2_M3,1,26,0.982145
MTF,Y+X2_M3,1,27,0.980848
MTF,Y+X2_M3,1,28,0.982441
MTF,Y+X2_M3,1,29,0.980596
MTF,Y+X2_M3,1,30,0.977170
MTF,Y+X2_M3,1,31,0.973840
MTF,Y+X2_M3,1,32,0.974224
MTF,Y+X2_M3,1,33,0.980643
MTF,Y+X2_M3,1,34,0.981556
MTF,Y+X2_M3,1,35,0.984253
MTF,Y+X2_M3,1,36,0.988146
MTF,Y+X2_M3,1,37,0.984397
MTF,Y+X2_M3,1,38,0.985614
MTF,Y+X2_M3,1,39,0.983646
MTF,Y+X2_M3,1,40,0.985570
MTF,Y+X2_M3,1,41,0.972279
MTF,Y+X2_M3,1,42,0.971677
MTF,Y+X2_M3,1,43,0.987217
MTF,Y+X2_M3,1,44,0.987545
MTF,Y+X2_M3,1,45,0.985233
MTF,Y+X2_M3,1,46,0.984386
MTF,Y+X2_M3,1,47,0.987112
MTF,Y+X2_M3,1,48,0.989445
MTF,Y+X2_M3,1,49,0.985780
MTF,Y+X2_M3,1,50,0.990255
MTF,Y+X2_M3,1,51,0.984565
MTF,Y+X2_M3,1,52,0.985080
MTF,Y+X2_M3,1,53,0.989671
MTF,Y+X2_M3,1,54,0.990045
MTF,Y+X2_M3,1,55,0.988247
MTF,Y+X2_M3,1,56,0.986964
MTF,Y+X2_M3,1,57,0.988918
MTF,Y+X2_M3,1,58,0.989252
MTF,Y+X2_M3,1,59,0.985292
MTF,Y+X2_M3,1,60,0.982724
MTF,Y+X2_M3,1,61,0.955267
MTF,Y+X2_M3,1,62,0.983238
MTF,Y+X2_M3,1,63,0.977725
MTF,Y+X2_M3,1,64,0.974865
MTF,Y+X2_M3,1,65,0.987612
MTF,Y+X2_M3,1,66,0.982473
MTF,Y+X2_M3,1,67,0.982398
MTF,Y+X2_M3,1,68,0.988781
MTF,Y+X2_M3,1,69,0.984708
MTF,Y+X2_M3,1,70,0.991181
MTF,Y+X2_M3,1,71,0.989153
MTF,Y+X2_M3,1,72,0.989103
MTF,Y+X2_M3,1,73,0.987151
MTF,Y+X2_M3,1,74,0.983309
MTF,Y+X2_M3,1,75,0.975016
MTF,Y+X2_M3,1,76,0.956187
MTF,Y+X2_M3,1,77,0.981718
MTF,Y+X2_M3,1,78,0.973470
MTF,Y+X2_M3,1,79,0.971501
MTF,Y+X2_M3,1,80,0.973146
MTF,Y+X2_M3,1,81,0.966855
MTF,Y+X2_M3,1,82,0.964986
MTF,Y+X2_M3,1,83,0.971575
MTF,Y+X2_M3,1,84,0.969697
MTF,Y+X2_M3,1,85,0.969344
MTF,Y+X2_M3,1,86,0.971828
MTF,Y+X2_M3,1,87,0.966026
MTF,Y+X2_M3,1,88,0.966531
MTF,Y+X2_M3,1,89,0.968970
MTF,Y+X2_M3,1,90,0.965942
MTF,Y+X2_M3,1,91,0.963148
MTF,Y+X2_M3,1,92,0.968648
MTF,Y+X2_M3,1,93,0.972089
MTF,Y+X2_M3,1,94,0.974339
MTF,Y+X2_M3,1,95,0.973579
MTF,Y+X2_M3,1,96,0.972090
MTF,Y+X2_M3,1,97,0.974607
MTF,Y+X2_M3,1,98,0.977161
MTF,Y+X2_M3,1,99,0.973325
MTF,Y+X2_M3,1,100,0.973290
MTF,Y+X2_M3,1,101,0.969772
MTF,Y+X2_M3,1,102,0.969596
MTF,Y+X2_M3,1,103,0.972674
MTF,Y+X2_M3,1,104,0.973803
MTF,Y+X2_M3,1,105,0.975589
MTF,Y+X2_M3,1,106,0.974988
MTF,Y+X2_M3,1,107,0.969585
MTF,Y+X2_M3,1,108,0.972668
MTF,Y+X2_M3,1,109,0.968120
MTF,Y+X2_M3,1,110,0.978734
MTF,Y+X2_M3,1,111,0.978220
MTF,Y+X2_M3,1,112,0.973209
MTF,Y+X2_M3,1,113,0.977085
MTF,Y+X2_M3,1,114,0.981244
MTF,Y+X2_M3,1,115,0.981781
MTF,Y+X2_M3,1,116,0.981711
MTF,Y+X2_M3,1,117,0.977610
MTF,Y+X2_M3,1,118,0.982898
MTF,Y+X2_M3,1,119,0.979565
MTF,Y+X2_M3,1,120,0.975814
MTF,Y+X2_M3,1,121,0.973647
MTF,Y+X2_M3,1,122,0.971542
MTF,Y+X2_M3,1,123,0.973523
MTF,Y+X2_M3,1,124,0.982163
MTF,Y+X2_M3,1,125,0.978132
MTF,Y+X2_M3,1,126,0.980639
MTF,Y+X2_M3,1,127,0.982300
MTF,Y+X2_M3,1,128,0.981134
MTF,Y+X2_M3,1,129,0.977473
MTF,Y+X2_M3,1,130,0.978857
MTF,Y+X2_M3,1,131,0.973609
MTF,Y+X2_M3,1,132,0.970081
MTF,Y+X2_M3,1,133,0.980490
MTF,Y+X2_M3,1,134,0.988231
MTF,Y+X2_M3,1,135,0.982230
MTF,Y+X2_M3,1,136,0.983867
MTF,Y+X2_M3,1,137,0.982461
MTF,Y+X2_M3,1,138,0.979752
MTF,Y+X2_M3,1,139,0.979276
MTF,Y+X2_M3,1,140,0.982170
MTF,Y+X2_M3,1,141,0.977246
MTF,Y+X2_M3,1,142,0.979816
MTF,Y+X2_M3,1,143,0.981650
MTF,Y+X2_M3,1,144,0.983847
MTF,Y+X2_M3,1,145,0.984482
MTF,Y+X2_M3,1,146,0.982738
MTF,Y+X2_M3,1,147,0.986005
MTF,Y+X2_M3,1,148,0.986409
MTF,Y+X2_M3,1,149,0.982855
MTF,Y+X2_M3,1,150,0.984463
MTF,Y+X2_M3,1,151,0.984533
MTF,Y+X2_M3,1,152,0.978288
MTF,Y+X2_M3,1,153,0.984532
MTF,Y+X2_M3,1,154,0.982712
MTF,Y+X2_M3,1,155,0.981835
MTF,Y+X2_M3,1,156,0.982153
MTF,Y+X2_M3,1,157,0.979049
MTF,Y+X2_M3,1,158,0.980879
MTF,Y+X2_M3,1,159,0.977576
MTF,Y+X2_M3,1,160,0.970694
MTF,Y+X2_M3,1,161,0.966921
MTF,Y+X2_M3,1,162,0.964561
MTF,Y+X2_M3,1,163,0.966989
MTF,Y+X2_M3,1,164,0.963911
MTF,Y+X2_M3,1,165,0.962027
MTF,Y+X2_M3,1,166,0.966269
MTF,Y+X2_M3,1,167,0.960288
MTF,Y+X2_M3,1,168,0.965498
MTF,Y+X2_M3,1,169,0.955939
MTF,Y+X2_M3,1,170,0.958634
MTF,Y+X2_M3,1,171,0.958222
MTF,Y+X2_M3,1,172,0.956568
MTF,Y+X2_M3,1,173,0.959089
MTF,Y+X2_M3,1,174,0.961573
MTF,Y+X2_M3,1,175,0.959418
MTF,Y+X2_M3,1,176,0.961063
MTF,Y+X2_M3,1,177,0.964938
MTF,Y+X2_M3,1,178,0.960762
MTF,Y+X2_M3,1,179,0.958544
MTF,Y+X2_M3,1,180,0.958467
MTF,Y+X2_M3,1,181,0.958901
MTF,Y+X2_M3,1,182,0.961370
MTF,Y+X2_M3,1,183,0.968338
MTF,Y+X2_M3,1,184,0.969455
MTF,Y+X2_M3,1,185,0.963751
MTF,Y+X2_M3,1,186,0.963307
MTF,Y+X2_M3,1,187,0.959682
MTF,Y+X2_M3,1,188,0.963381
MTF,Y+X2_M3,1,189,0.964048
MTF,Y+X2_M3,1,190,0.956688
MTF,Y+X2_M3,1,191,0.966521
MTF,Y+X2_M3,1,192,0.966772
MTF,Y+X2_M3,1,193,0.965843
MTF,Y+X2_M3,1,194,0.968208
MTF,Y+X2_M3,1,195,0.969617
MTF,Y+X2_M3,1,196,0.975199
MTF,Y+X2_M3,1,197,0.970505
MTF,Y+X2_M3,1,198,0.967152
MTF,Y+X2_M3,10,0,0.898376
MTF,Y+X2_M3,10,1,0.919153
MTF,Y+X2_M3,10,2,0.912411
MTF,Y+X2_M3,10,3,0.920986
MTF,Y+X2_M3,10,4,0.924595
MTF,Y+X2_M3,10,5,0.934714
MTF,Y+X2_M3,10,6,0.938816
MTF,Y+X2_M3,10,7,0.943569
MTF,Y+X2_M3,10,8,0.931997
MTF,Y+X2_M3,10,9,0.916985
MTF,Y+X2_M3,10,10,0.905331
MTF,Y+X2_M3,10,11,0.909218
MTF,Y+X2_M3,10,12,0.903347
MTF,Y+X2_M3,10,13,0.909843
MTF,Y+X2_M3,10,14,0.913531
MTF,Y+X2_M3,10,15,0.912748
MTF,Y+X2_M3,10,16,0.923505
MTF,Y+X2_M3,10,17,0.935473
MTF,Y+X2_M3,10,18,0.942316
MTF,Y+X2_M3,10,19,0.935180
MTF,Y+X2_M3,10,20,0.925079
MTF,Y+X2_M3,10,21,0.919613
MTF,Y+X2_M3,10,22,0.923157
MTF,Y+X2_M3,10,23,0.915664
MTF,Y+X2_M3,10,24,0.907998
MTF,Y+X2_M3,10,25,0.906729
MTF,Y+X2_M3,10,26,0.915002
MTF,Y+X2_M3,10,27,0.923891
MTF,Y+X2_M3,10,28,0.929487
MTF,Y+X2_M3,10,29,0.927118
MTF,Y+X2_M3,11,0,0.817268
MTF,Y+X2_M3,11,1,0.860574
MTF,Y+X2_M3,11,2,0.885987
MTF,Y+X2_M3,11,3,0.952269
MTF,Y+X2_M3,11,4,0.942784
MTF,Y+X2_M3,11,5,0.794448
MTF,Y+X2_M3,11,6,0.881667
MTF,Y+X2_M3,11,7,0.924720
MTF,Y+X2_M3,11,8,0.953268
MTF,Y+X2_M3,11,9,0.102073
MTF,Y+X2_M3,11,10,0.738652
MTF,Y+X2_M3,11,11,0.830878
MTF,Y+X2_M3,11,12,0.816419
MTF,Y+X2_M3,11,13,0.919913
MTF,Y+X2_M3,11,14,0.966552
MTF,Y+X2_M3,11,15,0.974462
MTF,Y+X2_M3,11,16,0.962608
MTF,Y+X2_M3,11,17,0.820771
MTF,Y+X2_M3,11,18,0.876955
MTF,Y+X2_M3,11,19,0.957748
MTF,Y+X2_M3,11,20,0.946919
MTF,Y+X2_M3,11,21,0.967401
MTF,Y+X2_M3,11,22,0.879809
MTF,Y+X2_M3,11,23,0.898199
MTF,Y+X2_M3,11,24,0.979769
MTF,Y+X2_M3,11,25,0.976609
MTF,Y+X2_M3,11,26,0.974815
MTF,Y+X2_M3,11,27,0.927366
MTF,Y+X2_M3,11,28,0.904870
MTF,Y+X2_M3,11,29,0.941779
MTF,Y+X2_M3,13,0,0.971467
MTF,Y+X2_M3,13,1,0.981623
MTF,Y+X2_M3,13,2,0.980965
MTF,Y+X2_M3,13,3,0.985796
MTF,Y+X2_M3,13,4,0.974983
MTF,Y+X2_M3,13,5,0.959372
MTF,Y+X2_M3,13,6,0.983457
MTF,Y+X2_M3,13,7,0.981918
MTF,Y+X2_M3,13,8,0.977236
MTF,Y+X2_M3,13,9,0.885665
MTF,Y+X2_M3,13,10,0.927762
MTF,Y+X2_M3,13,11,0.978402
