partition,method,scene,frame,iou
MTF,Y+X2_M3_r0,1,0,0.964437
MTF,Y+X2_M3_r0,1,1,0.960384
MTF,Y+X2_M3_r0,1,2,0.966569
MTF,Y+X2_M3_r0,1,3,0.961475
MTF,Y+X2_M3_r0,1,4,0.959917
MTF,Y+X2_M3_r0,1,5,0.964455
MTF,Y+X2_M3_r0,1,6,0.961387
MTF,Y+X2_M3_r0,1,7,0.956821
MTF,Y+X2_M3_r0,1,8,0.959359
MTF,Y+X2_M3_r0,1,9,0.958129
MTF,Y+X2_M3_r0,1,10,0.954907
MTF,Y+X2_M3_r0,1,11,0.964896
MTF,Y+X2_M3_r0,1,12,0.959773
MTF,Y+X2_M3_r0,1,13,0.958039
MTF,Y+X2_M3_r0,1,14,0.953053
MTF,Y+X2_M3_r0,1,15,0.944366
MTF,Y+X2_M3_r0,1,16,0.947870
MTF,Y+X2_M3_r0,1,17,0.923965
MTF,Y+X2_M3_r0,1,18,0.940342
MTF,Y+X2_M3_r0,1,19,0.949453
MTF,Y+X2_M3_r0,1,20,0.944226
MTF,Y+X2_M3_r0,1,21,0.951739
MTF,Y+X2_M3_r0,1,22,0.950864
MTF,Y+X2_M3_r0,1,23,0.954592
MTF,Y+X2_M3_r0,1,24,0.949421
MTF,Y+X2_M3_r0,1,25,0.958062
MTF,Y+X2_M3_r0,1,26,0.960449
MTF,Y+X2_M3_r0,1,27,0.960357
MTF,Y+X2_M3_r0,1,28,0.961240
MTF,Y+X2_M3_r0,1,29,0.961103
MTF,Y+X2_M3_r0,1,30,0.963400
MTF,Y+X2_M3_r0,1,31,0.959462
MTF,Y+X2_M3_r0,1,32,0.967524
MTF,Y+X2_M3_r0,1,33,0.966890
MTF,Y+X2_M3_r0,1,34,0.962506
MTF,Y+X2_M3_r0,1,35,0.961641
MTF,Y+X2_M3_r0,1,36,0.970355
MTF,Y+X2_M3_r0,1,37,0.970158
MTF,Y+X2_M3_r0,1,38,0.977744
MTF,Y+X2_M3_r0,1,39,0.979985
MTF,Y+X2_M3_r0,1,40,0.981010
MTF,Y+X2_M3_r0,1,41,0.963824
MTF,Y+X2_M3_r0,1,42,0.963928
MTF,Y+X2_M3_r0,1,43,0.963915
MTF,Y+X2_M3_r0,1,44,0.961676
MTF,Y+X2_M3_r0,1,45,0.957254
MTF,Y+X2_M3_r0,1,46,0.954385
MTF,Y+X2_M3_r0,1,47,0.949874
MTF,Y+X2_M3_r0,1,48,0.959974
MTF,Y+X2_M3_r0,1,49,0.952731
MTF,Y+X2_M3_r0,1,50,0.950159
MTF,Y+X2_M3_r0,1,51,0.928276
MTF,Y+X2_M3_r0,1,52,0.948868
MTF,Y+X2_M3_r0,1,53,0.956466
MTF,Y+X2_M3_r0,1,54,0.947260
MTF,Y+X2_M3_r0,1,55,0.948361
MTF,Y+X2_M3_r0,1,56,0.951415
MTF,Y+X2_M3_r0,1,57,0.953074
MTF,Y+X2_M3_r0,1,58,0.957573
MTF,Y+X2_M3_r0,1,59,0.956337
MTF,Y+X2_M3_r0,1,60,0.952997
MTF,Y+X2_M3_r0,1,61,0.945082
MTF,Y+X2_M3_r0,1,62,0.961798
MTF,Y+X2_M3_r0,1,63,0.966445
MTF,Y+X2_M3_r0,1,64,0.962368
MTF,Y+X2_M3_r0,1,65,0.959396
MTF,Y+X2_M3_r0,1,66,0.950915
MTF,Y+X2_M3_r0,1,67,0.945285
MTF,Y+X2_M3_r0,1,68,0.934124
MTF,Y+X2_M3_r0,1,69,0.950435
MTF,Y+X2_M3_r0,1,70,0.958509
MTF,Y+X2_M3_r0,1,71,0.961929
MTF,Y+X2_M3_r0,1,72,0.964976
MTF,Y+X2_M3_r0,1,73,0.965728
MTF,Y+X2_M3_r0,1,74,0.960558
MTF,Y+X2_M3_r0,1,75,0.956653
MTF,Y+X2_M3_r0,1,76,0.944886
MTF,Y+X2_M3_r0,1,77,0.961330
MTF,Y+X2_M3_r0,1,78,0.961000
MTF,Y+X2_M3_r0,1,79,0.950867
MTF,Y+X2_M3_r0,1,80,0.965222
MTF,Y+X2_M3_r0,1,81,0.967967
MTF,Y+X2_M3_r0,1,82,0.966520
MTF,Y+X2_M3_r0,1,83,0.965348
MTF,Y+X2_M3_r0,1,84,0.965990
MTF,Y+X2_M3_r0,1,85,0.964543
MTF,Y+X2_M3_r0,1,86,0.963630
MTF,Y+X2_M3_r0,1,87,0.959940
MTF,Y+X2_M3_r0,1,88,0.959248
MTF,Y+X2_M3_r0,1,89,0.950282
MTF,Y+X2_M3_r0,1,90,0.964611
