partition,method,scene,frame,iou
N5K,FoodMem,1,0,0.921483
N5K,FoodMem,1,1,0.925466
N5K,FoodMem,1,2,0.932995
N5K,FoodMem,1,3,0.939250
N5K,FoodMem,1,4,0.943649
N5K,FoodMem,1,5,0.958863
N5K,FoodMem,1,6,0.934875
N5K,FoodMem,1,7,0.933166
N5K,FoodMem,1,8,0.927886
N5K,FoodMem,1,9,0.918233
N5K,FoodMem,1,10,0.939089
N5K,FoodMem,1,11,0.931357
N5K,FoodMem,1,12,0.916477
N5K,FoodMem,1,13,0.912138
N5K,FoodMem,1,14,0.898862
N5K,FoodMem,1,15,0.885655
N5K,FoodMem,1,16,0.898004
N5K,FoodMem,1,17,0.949829
N5K,FoodMem,1,18,0.941652
N5K,FoodMem,1,19,0.945539
N5K,FoodMem,1,20,0.947707
N5K,FoodMem,1,21,0.942384
N5K,FoodMem,1,22,0.946710
N5K,FoodMem,1,23,0.946003
N5K,FoodMem,1,24,0.939754
N5K,FoodMem,1,25,0.943079
N5K,FoodMem,1,26,0.933440
N5K,FoodMem,1,27,0.931674
N5K,FoodMem,1,28,0.929337
N5K,FoodMem,1,29,0.930510
N5K,FoodMem,1,30,0.921051
N5K,FoodMem,1,31,0.922315
N5K,FoodMem,1,32,0.927302
N5K,FoodMem,1,33,0.911957
N5K,FoodMem,1,34,0.912909
N5K,FoodMem,1,35,0.928861
N5K,FoodMem,1,36,0.909976
N5K,FoodMem,1,37,0.909338
N5K,FoodMem,1,38,0.909521
N5K,FoodMem,1,39,0.916631
N5K,FoodMem,1,40,0.919274
N5K,FoodMem,1,41,0.922954
N5K,FoodMem,1,42,0.934397
N5K,FoodMem,1,43,0.935531
N5K,FoodMem,1,44,0.922050
N5K,FoodMem,1,45,0.930523
N5K,FoodMem,1,46,0.937346
N5K,FoodMem,1,47,0.931458
N5K,FoodMem,1,48,0.931190
N5K,FoodMem,1,49,0.922350
N5K,FoodMem,1,50,0.935588
N5K,FoodMem,1,51,0.924574
N5K,FoodMem,1,52,0.927440
N5K,FoodMem,1,53,0.940463
N5K,FoodMem,1,54,0.918267
N5K,FoodMem,1,55,0.930600
N5K,FoodMem,1,56,0.929391
N5K,FoodMem,1,57,0.919371
N5K,FoodMem,1,58,0.915872
N5K,FoodMem,1,59,0.921268
N5K,FoodMem,1,60,0.923315
N5K,FoodMem,1,61,0.922957
N5K,FoodMem,1,62,0.925712
N5K,FoodMem,1,63,0.926473
N5K,FoodMem,10,0,0.897473
N5K,FoodMem,10,1,0.910871
N5K,FoodMem,10,2,0.905253
N5K,FoodMem,10,3,0.931679
N5K,FoodMem,10,4,0.923582
N5K,FoodMem,10,5,0.919157
N5K,FoodMem,10,6,0.925375
N5K,FoodMem,10,7,0.899889
N5K,FoodMem,10,8,0.905071
N5K,FoodMem,10,9,0.910190
N5K,FoodMem,10,10,0.909574
N5K,FoodMem,10,11,0.928408
N5K,FoodMem,10,12,0.917498
N5K,FoodMem,10,13,0.918140
N5K,FoodMem,10,14,0.913154
N5K,FoodMem,10,15,0.918238
N5K,FoodMem,10,16,0.937841
N5K,FoodMem,10,17,0.929740
N5K,FoodMem,10,18,0.923767
N5K,FoodMem,10,19,0.925682
N5K,FoodMem,10,20,0.925277
N5K,FoodMem,10,21,0.914404
N5K,FoodMem,10,22,0.918307
N5K,FoodMem,10,23,0.928789
N5K,FoodMem,10,24,0.928983
N5K,FoodMem,10,25,0.926535
N5K,FoodMem,10,26,0.911584
N5K,FoodMem,10,27,0.941991
N5K,FoodMem,10,28,0.930444
N5K,FoodMem,10,29,0.925051
N5K,FoodMem,10,30,0.936316
N5K,FoodMem,10,31,0.930603
N5K,FoodMem,10,32,0.933090
N5K,FoodMem,10,33,0.923893
N5K,FoodMem,10,34,0.932032
N5K,FoodMem,10,35,0.942824
N5K,FoodMem,10,36,0.943246
N5K,FoodMem,10,37,0.939028
N5K,FoodMem,10,38,0.934899
N5K,FoodMem,10,39,0.935999
N5K,FoodMem,10,40,0.940165
N5K,FoodMem,10,41,0.927205
N5K,FoodMem,10,42,0.930690
N5K,FoodMem,10,43,0.852937
N5K,FoodMem,10,44,0.903176
N5K,FoodMem,10,45,0.933530
N5K,FoodMem,10,46,0.930746
N5K,FoodMem,10,47,0.912492
N5K,FoodMem,10,48,0.922091
N5K,FoodMem,10,49,0.925911
N5K,FoodMem,10,50,0.922490
N5K,FoodMem,10,51,0.887768
N5K,FoodMem,10,52,0.888214
N5K,FoodMem,10,53,0.910055
N5K,FoodMem,10,54,0.896287
N5K,FoodMem,10,55,0.893437
N5K,FoodMem,10,56,0.882624
N5K,FoodMem,10,57,0.905591
N5K,FoodMem,2,0,0.916037
N5K,FoodMem,2,1,0.927704
N5K,FoodMem,2,2,0.933448
N5K,FoodMem,2,3,0.931087
N5K,FoodMem,2,4,0.942630
N5K,FoodMem,2,5,0.945578
N5K,FoodMem,2,6,0.939469
N5K,FoodMem,2,7,0.940792
N5K,FoodMem,2,8,0.948991
N5K,FoodMem,2,9,0.944775
N5K,FoodMem,2,10,0.952861
N5K,FoodMem,2,11,0.943556
N5K,FoodMem,2,12,0.941792
N5K,FoodMem,2,13,0.946634
N5K,FoodMem,2,14,0.938594
N5K,FoodMem,2,15,0.942857
N5K,FoodMem,2,16,0.939510
N5K,FoodMem,2,17,0.930891
N5K,FoodMem,2,18,0.946972
N5K,FoodMem,2,19,0.953183
N5K,FoodMem,2,20,0.944440
N5K,FoodMem,2,21,0.946489
N5K,FoodMem,2,22,0.944290
N5K,FoodMem,2,23,0.939053
N5K,FoodMem,2,24,0.941352
N5K,FoodMem,2,25,0.942940
