partition,method,scene,frame,iou
N5K,S+X2,1,0,0.709680
N5K,S+X2,1,1,0.716204
N5K,S+X2,1,2,0.723709
N5K,S+X2,1,3,0.729570
N5K,S+X2,1,4,0.740576
N5K,S+X2,1,5,0.746495
N5K,S+X2,1,6,0.740020
N5K,S+X2,1,7,0.750425
N5K,S+X2,1,8,0.724205
N5K,S+X2,1,9,0.714866
N5K,S+X2,1,10,0.722145
N5K,S+X2,1,11,0.719190
N5K,S+X2,1,12,0.712688
N5K,S+X2,1,13,0.720561
N5K,S+X2,1,14,0.702326
N5K,S+X2,1,15,0.705714
N5K,S+X2,1,16,0.718326
N5K,S+X2,1,17,0.835652
N5K,S+X2,1,18,0.816540
N5K,S+X2,1,19,0.845046
N5K,S+X2,1,20,0.841302
N5K,S+X2,1,21,0.823468
N5K,S+X2,1,22,0.838588
N5K,S+X2,1,23,0.842369
N5K,S+X2,1,24,0.847095
N5K,S+X2,1,25,0.852055
N5K,S+X2,1,26,0.850457
N5K,S+X2,1,27,0.834337
N5K,S+X2,1,28,0.811115
N5K,S+X2,1,29,0.821392
N5K,S+X2,1,30,0.759340
N5K,S+X2,1,31,0.757417
N5K,S+X2,1,32,0.768695
N5K,S+X2,1,33,0.753956
N5K,S+X2,1,34,0.754075
N5K,S+X2,1,35,0.769957
N5K,S+X2,1,36,0.786651
N5K,S+X2,1,37,0.805601
N5K,S+X2,1,38,0.804143
N5K,S+X2,1,39,0.816021
N5K,S+X2,1,40,0.819362
N5K,S+X2,1,41,0.818430
N5K,S+X2,1,42,0.817073
N5K,S+X2,1,43,0.819950
N5K,S+X2,1,44,0.820421
N5K,S+X2,1,45,0.823788
N5K,S+X2,1,46,0.827864
N5K,S+X2,1,47,0.811126
N5K,S+X2,1,48,0.832995
N5K,S+X2,1,49,0.817302
N5K,S+X2,1,50,0.830221
N5K,S+X2,1,51,0.825992
N5K,S+X2,1,52,0.817931
N5K,S+X2,1,53,0.810607
N5K,S+X2,1,54,0.808139
N5K,S+X2,1,55,0.832876
N5K,S+X2,1,56,0.840894
N5K,S+X2,1,57,0.830683
N5K,S+X2,1,58,0.824231
N5K,S+X2,1,59,0.830052
N5K,S+X2,1,60,0.836431
N5K,S+X2,1,61,0.844112
N5K,S+X2,1,62,0.857305
N5K,S+X2,1,63,0.856497
N5K,S+X2,10,0,0.882320
N5K,S+X2,10,1,0.884531
N5K,S+X2,10,2,0.881639
N5K,S+X2,10,3,0.903777
N5K,S+X2,10,4,0.892402
N5K,S+X2,10,5,0.884667
N5K,S+X2,10,6,0.897421
N5K,S+X2,10,7,0.866049
N5K,S+X2,10,8,0.874154
N5K,S+X2,10,9,0.881213
N5K,S+X2,10,10,0.876065
N5K,S+X2,10,11,0.895375
N5K,S+X2,10,12,0.884883
N5K,S+X2,10,13,0.888333
N5K,S+X2,10,14,0.877415
N5K,S+X2,10,15,0.882688
N5K,S+X2,10,16,0.891163
N5K,S+X2,10,17,0.883784
N5K,S+X2,10,18,0.883614
N5K,S+X2,10,19,0.888672
N5K,S+X2,10,20,0.894360
N5K,S+X2,10,21,0.875705
N5K,S+X2,10,22,0.877522
N5K,S+X2,10,23,0.889089
N5K,S+X2,10,24,0.880879
N5K,S+X2,10,25,0.878967
N5K,S+X2,10,26,0.861618
N5K,S+X2,10,27,0.888978
N5K,S+X2,10,28,0.882370
N5K,S+X2,10,29,0.872391
N5K,S+X2,10,30,0.887855
N5K,S+X2,10,31,0.874765
N5K,S+X2,10,32,0.882904
N5K,S+X2,10,33,0.876112
N5K,S+X2,10,34,0.888824
N5K,S+X2,10,35,0.895672
N5K,S+X2,10,36,0.891321
N5K,S+X2,10,37,0.899768
N5K,S+X2,10,38,0.896789
N5K,S+X2,10,39,0.893545
N5K,S+X2,10,40,0.897086
