partition,method,scene,frame,iou
N5K,S+X2_M3,1,0,0.709680
N5K,S+X2_M3,1,1,0.615210
N5K,S+X2_M3,1,2,0.658056
N5K,S+X2_M3,1,3,0.668744
N5K,S+X2_M3,1,4,0.675501
N5K,S+X2_M3,1,5,0.700657
N5K,S+X2_M3,1,6,0.681644
N5K,S+X2_M3,1,7,0.680693
N5K,S+X2_M3,1,8,0.684050
N5K,S+X2_M3,1,9,0.680342
N5K,S+X2_M3,1,10,0.697909
N5K,S+X2_M3,1,11,0.683613
N5K,S+X2_M3,1,12,0.693019
N5K,S+X2_M3,1,13,0.720706
N5K,S+X2_M3,1,14,0.710425
N5K,S+X2_M3,1,15,0.709115
N5K,S+X2_M3,1,16,0.721942
N5K,S+X2_M3,1,17,0.850776
N5K,S+X2_M3,1,18,0.833749
N5K,S+X2_M3,1,19,0.839892
N5K,S+X2_M3,1,20,0.823218
N5K,S+X2_M3,1,21,0.816252
N5K,S+X2_M3,1,22,0.832014
N5K,S+X2_M3,1,23,0.839142
N5K,S+X2_M3,1,24,0.821474
N5K,S+X2_M3,1,25,0.829889
N5K,S+X2_M3,1,26,0.824605
N5K,S+X2_M3,1,27,0.791222
N5K,S+X2_M3,1,28,0.776249
N5K,S+X2_M3,1,29,0.769073
N5K,S+X2_M3,1,30,0.734784
N5K,S+X2_M3,1,31,0.743422
N5K,S+X2_M3,1,32,0.750768
N5K,S+X2_M3,1,33,0.782978
N5K,S+X2_M3,1,34,0.779611
N5K,S+X2_M3,1,35,0.786043
N5K,S+X2_M3,1,36,0.762793
N5K,S+X2_M3,1,37,0.753245
N5K,S+X2_M3,1,38,0.757662
N5K,S+X2_M3,1,39,0.762054
N5K,S+X2_M3,1,40,0.770597
N5K,S+X2_M3,1,41,0.766175
N5K,S+X2_M3,1,42,0.776037
N5K,S+X2_M3,1,43,0.782663
N5K,S+X2_M3,1,44,0.775571
N5K,S+X2_M3,1,45,0.778476
N5K,S+X2_M3,1,46,0.768078
N5K,S+X2_M3,1,47,0.759453
N5K,S+X2_M3,1,48,0.799092
N5K,S+X2_M3,1,49,0.811048
N5K,S+X2_M3,1,50,0.820567
N5K,S+X2_M3,1,51,0.810891
N5K,S+X2_M3,1,52,0.777833
N5K,S+X2_M3,1,53,0.785317
N5K,S+X2_M3,1,54,0.768958
N5K,S+X2_M3,1,55,0.777055
N5K,S+X2_M3,1,56,0.773653
N5K,S+X2_M3,1,57,0.767558
N5K,S+X2_M3,1,58,0.748971
N5K,S+X2_M3,1,59,0.756708
N5K,S+X2_M3,1,60,0.779581
N5K,S+X2_M3,1,61,0.786450
N5K,S+X2_M3,1,62,0.814827
N5K,S+X2_M3,1,63,0.845336
N5K,S+X2_M3,10,0,0.882320
N5K,S+X2_M3,10,1,0.759853
N5K,S+X2_M3,10,2,0.844145
N5K,S+X2_M3,10,3,0.865328
N5K,S+X2_M3,10,4,0.849331
N5K,S+X2_M3,10,5,0.868051
N5K,S+X2_M3,10,6,0.865266
N5K,S+X2_M3,10,7,0.846579
N5K,S+X2_M3,10,8,0.856347
N5K,S+X2_M3,10,9,0.866018
N5K,S+X2_M3,10,10,0.862187
N5K,S+X2_M3,10,11,0.878285
N5K,S+X2_M3,10,12,0.871568
N5K,S+X2_M3,10,13,0.878971
N5K,S+X2_M3,10,14,0.856897
N5K,S+X2_M3,10,15,0.855613
N5K,S+X2_M3,10,16,0.867911
N5K,S+X2_M3,10,17,0.850145
N5K,S+X2_M3,10,18,0.858648
N5K,S+X2_M3,10,19,0.857369
N5K,S+X2_M3,10,20,0.862156
N5K,S+X2_M3,10,21,0.840478
N5K,S+X2_M3,10,22,0.844307
N5K,S+X2_M3,10,23,0.861440
N5K,S+X2_M3,10,24,0.859242
N5K,S+X2_M3,10,25,0.854174
N5K,S+X2_M3,10,26,0.840364
N5K,S+X2_M3,10,27,0.864216
N5K,S+X2_M3,10,28,0.854635
N5K,S+X2_M3,10,29,0.853237
N5K,S+X2_M3,10,30,0.867872
N5K,S+X2_M3,10,31,0.856850
N5K,S+X2_M3,10,32,0.863969
N5K,S+X2_M3,10,33,0.872715
N5K,S+X2_M3,10,34,0.885660
N5K,S+X2_M3,10,35,0.889400
N5K,S+X2_M3,10,36,0.890645
N5K,S+X2_M3,10,37,0.884938
N5K,S+X2_M3,10,38,0.877757
N5K,S+X2_M3,10,39,0.869344
N5K,S+X2_M3,10,40,0.872207
N5K,S+X2_M3,10,41,0.862858
N5K,S+X2_M3,10,42,0.863473
N5K,S+X2_M3,10,43,0.791054
N5K,S+X2_M3,10,44,0.848906
N5K,S+X2_M3,10,45,0.863104
N5K,S+X2_M3,10,46,0.863298
N5K,S+X2_M3,10,47,0.843484
N5K,S+X2_M3,10,48,0.859469
N5K,S+X2_M3,10,49,0.869889
N5K,S+X2_M3,10,50,0.863192
N5K,S+X2_M3,10,51,0.825813
N5K,S+X2_M3,10,52,0.827122
N5K,S+X2_M3,10,53,0.857598
N5K,S+X2_M3,10,54,0.842224
N5K,S+X2_M3,10,55,0.841084
N5K,S+X2_M3,10,56,0.822321
N5K,S+X2_M3,10,57,0.849882
N5K,S+X2_M3,2,0,0.753488
N5K,S+X2_M3,2,1,0.745816
N5K,S+X2_M3,2,2,0.804901
N5K,S+X2_M3,2,3,0.795606
N5K,S+X2_M3,2,4,0.799431
N5K,S+X2_M3,2,5,0.801358
N5K,S+X2_M3,2,6,0.794916
N5K,S+X2_M3,2,7,0.793712
N5K,S+X2_M3,2,8,0.799042
N5K,S+X2_M3,2,9,0.801800
N5K,S+X2_M3,2,10,0.800837
N5K,S+X2_M3,2,11,0.805758
N5K,S+X2_M3,2,12,0.809623
N5K,S+X2_M3,2,13,0.812009
N5K,S+X2_M3,2,14,0.810248
N5K,S+X2_M3,2,15,0.813052
N5K,S+X2_M3,2,16,0.829623
