partition,method,scene,frame,iou
N5K,S+X2_M6_r1,1,0,0.706951
N5K,S+X2_M6_r1,1,1,0.704407
N5K,S+X2_M6_r1,1,2,0.691645
N5K,S+X2_M6_r1,1,3,0.693877
N5K,S+X2_M6_r1,1,4,0.684049
N5K,S+X2_M6_r1,1,5,0.678350
N5K,S+X2_M6_r1,1,6,0.646120
N5K,S+X2_M6_r1,1,7,0.638252
N5K,S+X2_M6_r1,1,8,0.637975
N5K,S+X2_M6_r1,1,9,0.621253
N5K,S+X2_M6_r1,1,10,0.638823
N5K,S+X2_M6_r1,1,11,0.628414
N5K,S+X2_M6_r1,1,12,0.619889
N5K,S+X2_M6_r1,1,13,0.613006
N5K,S+X2_M6_r1,1,14,0.617483
N5K,S+X2_M6_r1,1,15,0.610188
N5K,S+X2_M6_r1,1,16,0.616524
N5K,S+X2_M6_r1,1,17,0.791231
N5K,S+X2_M6_r1,1,18,0.790021
N5K,S+X2_M6_r1,1,19,0.772545
N5K,S+X2_M6_r1,1,20,0.812947
N5K,S+X2_M6_r1,1,21,0.821411
N5K,S+X2_M6_r1,1,22,0.838425
N5K,S+X2_M6_r1,1,23,0.832851
N5K,S+X2_M6_r1,1,24,0.830921
N5K,S+X2_M6_r1,1,25,0.829733
N5K,S+X2_M6_r1,1,26,0.823539
N5K,S+X2_M6_r1,1,27,0.807276
N5K,S+X2_M6_r1,1,28,0.799524
N5K,S+X2_M6_r1,1,29,0.782899
N5K,S+X2_M6_r1,1,30,0.778276
N5K,S+X2_M6_r1,1,31,0.792424
N5K,S+X2_M6_r1,1,32,0.794829
N5K,S+X2_M6_r1,1,33,0.767301
N5K,S+X2_M6_r1,1,34,0.731149
N5K,S+X2_M6_r1,1,35,0.694854
N5K,S+X2_M6_r1,1,36,0.689371
N5K,S+X2_M6_r1,1,37,0.710655
N5K,S+X2_M6_r1,1,38,0.707740
N5K,S+X2_M6_r1,1,39,0.805460
N5K,S+X2_M6_r1,1,40,0.831445
N5K,S+X2_M6_r1,1,41,0.836286
N5K,S+X2_M6_r1,1,42,0.853349
N5K,S+X2_M6_r1,1,43,0.828247
N5K,S+X2_M6_r1,1,44,0.760165
N5K,S+X2_M6_r1,1,45,0.808164
N5K,S+X2_M6_r1,1,46,0.839889
N5K,S+X2_M6_r1,1,47,0.835635
