partition,method,scene,frame,iou
N5K,SF+X2,1,0,0.928007
N5K,SF+X2,1,1,0.930996
N5K,SF+X2,1,2,0.937337
N5K,SF+X2,1,3,0.944614
N5K,SF+X2,1,4,0.947123
N5K,SF+X2,1,5,0.962878
N5K,SF+X2,1,6,0.938782
N5K,SF+X2,1,7,0.937618
N5K,SF+X2,1,8,0.934481
N5K,SF+X2,1,9,0.922979
N5K,SF+X2,1,10,0.944750
N5K,SF+X2,1,11,0.936695
N5K,SF+X2,1,12,0.922747
N5K,SF+X2,1,13,0.919355
N5K,SF+X2,1,14,0.905463
N5K,SF+X2,1,15,0.891348
N5K,SF+X2,1,16,0.903852
N5K,SF+X2,1,17,0.951811
N5K,SF+X2,1,18,0.943845
N5K,SF+X2,1,19,0.947464
N5K,SF+X2,1,20,0.949539
N5K,SF+X2,1,21,0.944086
N5K,SF+X2,1,22,0.948454
N5K,SF+X2,1,23,0.947521
N5K,SF+X2,1,24,0.941021
N5K,SF+X2,1,25,0.943897
N5K,SF+X2,1,26,0.935225
N5K,SF+X2,1,27,0.933906
N5K,SF+X2,1,28,0.931689
N5K,SF+X2,1,29,0.932597
N5K,SF+X2,1,30,0.923262
N5K,SF+X2,1,31,0.924876
N5K,SF+X2,1,32,0.932461
N5K,SF+X2,1,33,0.918201
N5K,SF+X2,1,34,0.918721
N5K,SF+X2,1,35,0.933304
N5K,SF+X2,1,36,0.916813
N5K,SF+X2,1,37,0.917570
N5K,SF+X2,1,38,0.916758
N5K,SF+X2,1,39,0.925172
N5K,SF+X2,1,40,0.930652
N5K,SF+X2,1,41,0.929626
N5K,SF+X2,1,42,0.937426
N5K,SF+X2,1,43,0.939836
N5K,SF+X2,1,44,0.925383
N5K,SF+X2,1,45,0.933568
N5K,SF+X2,1,46,0.939953
N5K,SF+X2,1,47,0.933941
N5K,SF+X2,1,48,0.935342
N5K,SF+X2,1,49,0.926188
N5K,SF+X2,1,50,0.939869
N5K,SF+X2,1,51,0.928794
N5K,SF+X2,1,52,0.932074
N5K,SF+X2,1,53,0.947052
N5K,SF+X2,1,54,0.925103
N5K,SF+X2,1,55,0.938354
N5K,SF+X2,1,56,0.935492
N5K,SF+X2,1,57,0.927031
N5K,SF+X2,1,58,0.922177
N5K,SF+X2,1,59,0.927301
N5K,SF+X2,1,60,0.929310
N5K,SF+X2,1,61,0.927354
N5K,SF+X2,1,62,0.930068
N5K,SF+X2,1,63,0.930674
N5K,SF+X2,10,0,0.891127
N5K,SF+X2,10,1,0.891968
N5K,SF+X2,10,2,0.892246
N5K,SF+X2,10,3,0.919214
N5K,SF+X2,10,4,0.925678
N5K,SF+X2,10,5,0.905863
N5K,SF+X2,10,6,0.928168
N5K,SF+X2,10,7,0.898991
N5K,SF+X2,10,8,0.910341
N5K,SF+X2,10,9,0.912290
N5K,SF+X2,10,10,0.905705
N5K,SF+X2,10,11,0.934304
N5K,SF+X2,10,12,0.914114
N5K,SF+X2,10,13,0.916576
N5K,SF+X2,10,14,0.891438
N5K,SF+X2,10,15,0.911540
N5K,SF+X2,10,16,0.930706
N5K,SF+X2,10,17,0.931914
N5K,SF+X2,10,18,0.920597
N5K,SF+X2,10,19,0.921077
N5K,SF+X2,10,20,0.928115
N5K,SF+X2,10,21,0.916544
N5K,SF+X2,10,22,0.922067
N5K,SF+X2,10,23,0.930427
N5K,SF+X2,10,24,0.929686
N5K,SF+X2,10,25,0.927735
N5K,SF+X2,10,26,0.911659
N5K,SF+X2,10,27,0.939690
N5K,SF+X2,10,28,0.927199
N5K,SF+X2,10,29,0.930179
N5K,SF+X2,10,30,0.945449
N5K,SF+X2,10,31,0.935976
N5K,SF+X2,10,32,0.939781
N5K,SF+X2,10,33,0.926327
N5K,SF+X2,10,34,0.935445
N5K,SF+X2,10,35,0.945100
N5K,SF+X2,10,36,0.945008
N5K,SF+X2,10,37,0.939645
N5K,SF+X2,10,38,0.935111
N5K,SF+X2,10,39,0.934733
N5K,SF+X2,10,40,0.938068
N5K,SF+X2,10,41,0.924757
N5K,SF+X2,10,42,0.927992
N5K,SF+X2,10,43,0.848377
N5K,SF+X2,10,44,0.906459
N5K,SF+X2,10,45,0.938063
N5K,SF+X2,10,46,0.934081
N5K,SF+X2,10,47,0.916392
N5K,SF+X2,10,48,0.925698
N5K,SF+X2,10,49,0.926045
N5K,SF+X2,10,50,0.925244
N5K,SF+X2,10,51,0.891655
N5K,SF+X2,10,52,0.889276
N5K,SF+X2,10,53,0.909765
N5K,SF+X2,10,54,0.896760
N5K,SF+X2,10,55,0.892916
N5K,SF+X2,10,56,0.883060
N5K,SF+X2,10,57,0.904953
N5K,SF+X2,2,0,0.941536
N5K,SF+X2,2,1,0.948252
N5K,SF+X2,2,2,0.947483
N5K,SF+X2,2,3,0.944063
N5K,SF+X2,2,4,0.945244
N5K,SF+X2,2,5,0.945946
N5K,SF+X2,2,6,0.938833
N5K,SF+X2,2,7,0.944170
N5K,SF+X2,2,8,0.941055
N5K,SF+X2,2,9,0.940044
N5K,SF+X2,2,10,0.933279
N5K,SF+X2,2,11,0.942977
N5K,SF+X2,2,12,0.943105
N5K,SF+X2,2,13,0.935662
N5K,SF+X2,2,14,0.942172
N5K,SF+X2,2,15,0.944349
N5K,SF+X2,2,16,0.908731
N5K,SF+X2,2,17,0.936419
N5K,SF+X2,2,18,0.930104
N5K,SF+X2,2,19,0.929313
N5K,SF+X2,2,20,0.918670
N5K,SF+X2,2,21,0.917850
N5K,SF+X2,2,22,0.917823
N5K,SF+X2,2,23,0.915231
N5K,SF+X2,2,24,0.918541
N5K,SF+X2,2,25,0.918982
N5K,SF+X2,2,26,0.937803
N5K,SF+X2,2,27,0.936343
N5K,SF+X2,2,28,0.924366
N5K,SF+X2,2,29,0.943911
N5K,SF+X2,2,30,0.922714
N5K,SF+X2,2,31,0.938020
N5K,SF+X2,2,32,0.936494
N5K,SF+X2,2,33,0.939349
N5K,SF+X2,2,34,0.936182
N5K,SF+X2,2,35,0.937501
N5K,SF+X2,2,36,0.933346
N5K,SF+X2,2,37,0.939961
N5K,SF+X2,2,38,0.944662
N5K,SF+X2,2,39,0.948188
N5K,SF+X2,2,40,0.942917
N5K,SF+X2,2,41,0.941653
N5K,SF+X2,2,42,0.944198
N5K,SF+X2,2,43,0.940059
N5K,SF+X2,2,44,0.940711
N5K,SF+X2,2,45,0.960181
N5K,SF+X2,2,46,0.962891
N5K,SF+X2,2,47,0.966776
N5K,SF+X2,2,48,0.965600
N5K,SF+X2,2,49,0.970568
N5K,SF+X2,2,50,0.970570
N5K,SF+X2,2,51,0.972096
N5K,SF+X2,2,52,0.976885
N5K,SF+X2,2,53,0.976394
N5K,SF+X2,2,54,0.979859
N5K,SF+X2,2,55,0.976901
N5K,SF+X2,2,56,0.977984
N5K,SF+X2,2,57,0.976758
N5K,SF+X2,2,58,0.975904
N5K,SF+X2,2,59,0.975174
N5K,SF+X2,2,60,0.972575
N5K,SF+X2,3,0,0.932512
N5K,SF+X2,3,1,0.932980
N5K,SF+X2,3,2,0.931306
N5K,SF+X2,3,3,0.936205
N5K,SF+X2,3,4,0.937811
N5K,SF+X2,3,5,0.941097
N5K,SF+X2,3,6,0.942474
N5K,SF+X2,3,7,0.942865
N5K,SF+X2,3,8,0.955222
N5K,SF+X2,3,9,0.947545
N5K,SF+X2,3,10,0.958526
N5K,SF+X2,3,11,0.959837
N5K,SF+X2,3,12,0.957204
N5K,SF+X2,3,13,0.959009
N5K,SF+X2,3,14,0.951029
N5K,SF+X2,3,15,0.945604
N5K,SF+X2,3,16,0.941013
N5K,SF+X2,3,17,0.944091
N5K,SF+X2,3,18,0.943783
N5K,SF+X2,3,19,0.946049
N5K,SF+X2,3,20,0.943766
N5K,SF+X2,3,21,0.949804
N5K,SF+X2,3,22,0.952884
N5K,SF+X2,3,23,0.952406
N5K,SF+X2,3,24,0.953272
N5K,SF+X2,3,25,0.956760
N5K,SF+X2,3,26,0.957480
N5K,SF+X2,3,27,0.957697
N5K,SF+X2,3,28,0.956612
N5K,SF+X2,3,29,0.948196
N5K,SF+X2,3,30,0.954731
N5K,SF+X2,3,31,0.937026
N5K,SF+X2,3,32,0.950268
N5K,SF+X2,3,33,0.941659
N5K,SF+X2,3,34,0.951294
N5K,SF+X2,3,35,0.955093
N5K,SF+X2,3,36,0.943172
N5K,SF+X2,3,37,0.939586
N5K,SF+X2,3,38,0.950954
N5K,SF+X2,3,39,0.939201
N5K,SF+X2,3,40,0.943196
N5K,SF+X2,3,41,0.948011
N5K,SF+X2,3,42,0.935958
N5K,SF+X2,3,43,0.934572
N5K,SF+X2,3,44,0.940735
N5K,SF+X2,3,45,0.941635
N5K,SF+X2,3,46,0.929036
N5K,SF+X2,3,47,0.940568
N5K,SF+X2,3,48,0.942519
N5K,SF+X2,3,49,0.941951
N5K,SF+X2,3,50,0.943549
N5K,SF+X2,3,51,0.933998
N5K,SF+X2,3,52,0.944217
N5K,SF+X2,3,53,0.945821
N5K,SF+X2,3,54,0.944954
N5K,SF+X2,3,55,0.942315
N5K,SF+X2,3,56,0.946423
N5K,SF+X2,3,57,0.946311
N5K,SF+X2,3,58,0.945222
N5K,SF+X2,3,59,0.944424
N5K,SF+X2,3,60,0.948685
N5K,SF+X2,3,61,0.944566
N5K,SF+X2,3,62,0.951474
N5K,SF+X2,4,0,0.905461
N5K,SF+X2,4,1,0.907717
